VariableName,sceneName_cn,sceneName_tw,sceneName,sceneName_vn,sceneName_th,sceneName_in,sceneName_en,sceneName_ma,sceneName_ph,_beizhu,languages,monsters,boss,icon,gateType,sceneType,roundLimit,backMusic,backGround,bg_boss,bg_boss_pos,openLevel,desc,sceneCount,showLevel,sceneLevel,skillLevel,sceneLevelCorrect,demonCorrect,demonCorrectSelf,limitType,limitArg,firstAward,firstAwardShow,saodangAward,saodangAwardShow,lowestFightingPoint,gateDesc,gateDesc_tw,gateDesc_ma,gateDesc_ph,gateDesc_th,gateDesc_in,gateDesc_en,gateDesc_vn,gateDesc_kr
100191,,,Level 191,Cấp 191,Level 191,Level 191,Level 191,Level 191,Level 191,,,<{level=206;unitId=230163;advance=29};{level=347;unitId=233251;advance=29};{level=206;unitId=231911;advance=29};{level=206;unitId=230883;advance=29};{level=206;unitId=230493;advance=29}>,<{level=347;unitId=251191;advance=30}>,config/portrait/jinglingtouxiang2/img_242.png,,22,,,battle/scene/bg_grass.jpg,,,,,,347,821,821,,,,3,<<9;1;6%>;<10;1;6%>>,{gold=210000;451=30;452=20},<<gold;210000;1>;<451;30;1>;<452;20;1>>,{libs=<110;111>;451=2;gold=5800},<<gold;5800;0>;<451;1;1>;<452;1;1>>,429005,,,,,,,,,
100192,,,Level 192,Cấp 192,Level 192,Level 192,Level 192,Level 192,Level 192,,,<{level=207;unitId=230242;advance=29};{level=349;unitId=233283;advance=29};{level=207;unitId=231931;advance=29};{level=207;unitId=230972;advance=29};{level=207;unitId=230503;advance=29}>,<{level=349;unitId=251192;advance=30}>,config/portrait/jinglingtouxiang2/img_263.png,,22,,,battle/scene/bg_night.jpg,,,,,,349,825,825,,,,4,<<9;0;6%>;<10;0;6%>;<17;0;6%>>,{502=1;451=30;gold=210000},<<gold;210000;1>;<451;30;1>;<502;1;1>>,{libs=<110;111>;451=2;gold=5800},<<gold;5800;0>;<451;1;1>;<452;1;1>>,429005,,,,,,,,,
100193,,,Level 193,Cấp 193,Level 193,Level 193,Level 193,Level 193,Level 193,,,<{level=208;unitId=230273;advance=29};{level=351;unitId=233293;advance=29};{level=208;unitId=232013;advance=29};{level=208;unitId=231071;advance=29};{level=208;unitId=230552;advance=29}>,<{level=351;unitId=251193;advance=30}>,config/portrait/jinglingtouxiang2/img_333.png,,22,,,battle/scene/bg_sd.jpg,,,,,,351,829,829,,,,5,<<27;0;7%>;<26;0;7%>>,{rmb=100;451=30;gold=210000},<<gold;210000;1>;<451;30;1>;<rmb;100;1>>,{libs=<110;111>;451=2;gold=5800},<<gold;5800;0>;<451;1;1>;<452;1;1>>,429005,,,,,,,,,
100194,,,Level 194,Cấp 194,Level 194,Level 194,Level 194,Level 194,Level 194,,,<{level=209;unitId=230333;advance=29};{level=353;unitId=233342;advance=29};{level=209;unitId=232023;advance=29};{level=209;unitId=231032;advance=29};{level=209;unitId=230593;advance=29}>,<{level=353;unitId=251194;advance=30}>,config/portrait/jinglingtouxiang2/img_393.png,,22,,,battle/scene/bg_tower.jpg,,,,,,353,833,833,,,,5,<<1;0;7%>>,{gold=210000;451=30;452=20},<<gold;210000;1>;<451;30;1>;<452;20;1>>,{libs=<110;111>;451=2;gold=5800},<<gold;5800;0>;<451;1;1>;<452;1;1>>,429005,,,,,,,,,
100195,,,Level 195,Cấp 195,Level 195,Level 195,Level 195,Level 195,Level 195,,,<{level=210;unitId=230402;advance=29};{level=355;unitId=233432;advance=29};{level=210;unitId=232033;advance=29};{level=210;unitId=231082;advance=29};{level=210;unitId=230603;advance=29}>,<{level=355;unitId=251195;advance=30}>,config/portrait/jinglingtouxiang2/img_503.png,,22,,,battle/scene/bg_grass.jpg,,,,,,355,837,837,,,,5,<<27;0;10%>;<24;0;10%>>,{gold=210000;451=30;519=1},<<gold;210000;1>;<451;30;1>;<519;1;1>>,{gold=5800;452=1;libs=<110;111;112>},<<gold;5800;0>;<451;1;1>;<452;1;1>>,429005,,,"At the start of each round, if aura units are alive, all monsters will focus on the highest-stat target.","At the start of each round, if aura units are alive, all monsters will focus on the highest-stat target.","At the start of each round, if aura units are alive, all monsters will focus on the highest-stat target.","At the start of each round, if aura units are alive, all monsters will focus on the highest-stat target.","At the start of each round, if aura units are alive, all monsters will focus on the highest-stat target.","Khi bắt đầu vòng lớn, nếu đơn vị trong hào quang còn sống, toàn bộ quái vật sẽ tập trung tấn công đơn vị có chỉ số cao nhất",
100196,,,Level 196,Cấp 196,Level 196,Level 196,Level 196,Level 196,Level 196,,,<{level=211;unitId=230493;advance=30};{level=357;unitId=233472;advance=30};{level=211;unitId=232073;advance=30};{level=211;unitId=231221;advance=30};{level=211;unitId=230611;advance=30}>,<{level=357;unitId=251196;advance=31}>,config/portrait/jinglingtouxiang2/img_572.png,,22,,,battle/scene/bg_night.jpg,,,,,,357,841,841,,,,3,<<13;1;6%>>,{gold=215000;451=30;452=20},<<gold;215000;1>;<451;30;1>;<452;20;1>>,{libs=<110;111>;451=2;gold=5900},<<gold;5900;0>;<451;1;1>;<452;1;1>>,429005,,,,,,,,,
100197,,,Level 197,Cấp 197,Level 197,Level 197,Level 197,Level 197,Level 197,,,<{level=212;unitId=230503;advance=30};{level=359;unitId=233511;advance=30};{level=212;unitId=232242;advance=30};{level=212;unitId=231253;advance=30};{level=212;unitId=230632;advance=30}>,<{level=359;unitId=251197;advance=31}>,config/portrait/jinglingtouxiang2/img_593.png,,22,,,battle/scene/bg_sd.jpg,,,,,,359,845,845,,,,4,<<13;0;6%>;<24;0;6%>>,{502=1;451=30;gold=215000},<<gold;215000;1>;<451;30;1>;<502;1;1>>,{libs=<110;111>;451=2;gold=5900},<<gold;5900;0>;<451;1;1>;<452;1;1>>,429005,,,,,,,,,
100198,,,Level 198,Cấp 198,Level 198,Level 198,Level 198,Level 198,Level 198,,,<{level=213;unitId=230552;advance=30};{level=361;unitId=233543;advance=30};{level=213;unitId=232593;advance=30};{level=213;unitId=231293;advance=30};{level=213;unitId=230641;advance=30}>,<{level=361;unitId=251198;advance=31}>,config/portrait/jinglingtouxiang2/img_603.png,,22,,,battle/scene/bg_tower.jpg,,,,,,361,849,849,,,,5,<<27;0;7%>;<26;0;7%>>,{rmb=100;451=30;gold=215000},<<gold;215000;1>;<451;30;1>;<rmb;100;1>>,{libs=<110;111>;451=2;gold=5900},<<gold;5900;0>;<451;1;1>;<452;1;1>>,429005,,,,,,,,,
100199,,,Level 199,Cấp 199,Level 199,Level 199,Level 199,Level 199,Level 199,,,<{level=214;unitId=230593;advance=30};{level=363;unitId=233592;advance=30};{level=214;unitId=232612;advance=30};{level=214;unitId=231303;advance=30};{level=214;unitId=230692;advance=30}>,<{level=363;unitId=251199;advance=31}>,config/portrait/jinglingtouxiang2/img_611.png,,22,,,battle/scene/bg_grass.jpg,,,,,,363,853,853,,,,5,<<1;0;7%>>,{gold=215000;451=30;452=20},<<gold;215000;1>;<451;30;1>;<452;20;1>>,{libs=<110;111>;451=2;gold=5900},<<gold;5900;0>;<451;1;1>;<452;1;1>>,429005,,,,,,,,,
100200,,,Level 200,Cấp 200,Level 200,Level 200,Level 200,Level 200,Level 200,,,<{level=215;unitId=230603;advance=30};{level=365;unitId=233663;advance=30};{level=215;unitId=232633;advance=30};{level=215;unitId=231394;advance=30};{level=215;unitId=230712;advance=30}>,<{level=365;unitId=251200;advance=31}>,config/portrait/jinglingtouxiang2/img_631.png,,22,,,battle/scene/bg_night.jpg,,,,,,365,857,857,,,,5,<<27;0;20%>;<24;0;20%>>,{501=1;451=30;gold=215000},<<gold;215000;1>;<451;30;1>;<501;1;1>>,{gold=5900;452=2;libs=<110;111;112>},<<gold;5900;0>;<451;1;1>;<452;1;1>>,429005,,,All monsters have increased dodge chance; killing aura units removes this.,All monsters have increased dodge chance; killing aura units removes this.,All monsters have increased dodge chance; killing aura units removes this.,All monsters have increased dodge chance; killing aura units removes this.,All monsters have increased dodge chance; killing aura units removes this.,"Toàn bộ quái vật tăng cường xác suất né tránh, tiêu diệt đơn vị trong hào quang sẽ xóa bỏ hiệu ứng",
100201,,,Level 201,Cấp 201,Level 201,Level 201,Level 201,Level 201,Level 201,,,<{level=216;unitId=230611;advance=31};{level=367;unitId=233683;advance=31};{level=216;unitId=232683;advance=31};{level=216;unitId=231612;advance=31};{level=216;unitId=230731;advance=31}>,<{level=367;unitId=251201;advance=32}>,config/portrait/jinglingtouxiang2/img_641.png,,22,,,battle/scene/bg_sd.jpg,,,,,,367,861,861,,,,3,<<1;1;7%>>,{gold=220000;451=30;452=20},<<gold;220000;1>;<451;30;1>;<452;20;1>>,{libs=<110;111>;451=2;gold=6000},<<gold;6000;0>;<451;1;1>;<452;1;1>>,429005,,,,,,,,,
100202,,,Level 202,Cấp 202,Level 202,Level 202,Level 202,Level 202,Level 202,,,<{level=217;unitId=230632;advance=31};{level=369;unitId=233772;advance=31};{level=217;unitId=232723;advance=31};{level=217;unitId=231772;advance=31};{level=217;unitId=230741;advance=31}>,<{level=369;unitId=251202;advance=32}>,config/portrait/jinglingtouxiang2/img_701.png,,22,,,battle/scene/bg_tower.jpg,,,,,,369,865,865,,,,4,<<1;0;7%>;<28;0;7%>>,{502=1;451=30;gold=220000},<<gold;220000;1>;<451;30;1>;<502;1;1>>,{libs=<110;111>;451=2;gold=6000},<<gold;6000;0>;<451;1;1>;<452;1;1>>,429005,,,,,,,,,
100203,,,Level 203,Cấp 203,Level 203,Level 203,Level 203,Level 203,Level 203,,,<{level=218;unitId=230641;advance=31};{level=371;unitId=230013;advance=31};{level=218;unitId=232843;advance=31};{level=218;unitId=231813;advance=31};{level=218;unitId=230793;advance=31}>,<{level=371;unitId=251203;advance=32}>,config/portrait/jinglingtouxiang2/img_712.png,,22,,,battle/scene/bg_grass.jpg,,,,,,371,869,869,,,,5,<<1;0;8%>>,{rmb=100;451=30;gold=220000},<<gold;220000;1>;<451;30;1>;<rmb;100;1>>,{libs=<110;111>;451=2;gold=6000},<<gold;6000;0>;<451;1;1>;<452;1;1>>,429005,,,,,,,,,
100204,,,Level 204,Cấp 204,Level 204,Level 204,Level 204,Level 204,Level 204,,,<{level=219;unitId=230692;advance=31};{level=373;unitId=230044;advance=31};{level=219;unitId=232963;advance=31};{level=219;unitId=231841;advance=31};{level=219;unitId=230863;advance=31}>,<{level=373;unitId=251204;advance=32}>,config/portrait/jinglingtouxiang2/img_721.png,,22,,,battle/scene/bg_night.jpg,,,,,,373,873,873,,,,5,<<27;0;8%>;<26;0;8%>>,{gold=220000;451=30;452=20},<<gold;220000;1>;<451;30;1>;<452;20;1>>,{libs=<110;111>;451=2;gold=6000},<<gold;6000;0>;<451;1;1>;<452;1;1>>,429005,,,,,,,,,
100205,,,Level 205,Cấp 205,Level 205,Level 205,Level 205,Level 205,Level 205,,,<{level=220;unitId=230712;advance=31};{level=375;unitId=230053;advance=31};{level=220;unitId=233003;advance=31};{level=220;unitId=231903;advance=31};{level=220;unitId=230883;advance=31}>,<{level=375;unitId=251205;advance=32}>,config/portrait/jinglingtouxiang2/img_731.png,,22,,,battle/scene/bg_sd.jpg,,,,,,375,877,877,,,,5,<<1;1;10%>;<24;0;10%>>,{gold=220000;451=30;519=1},<<gold;220000;1>;<451;30;1>;<519;1;1>>,{gold=6000;452=1;libs=<110;111;112>},<<gold;6000;0>;<451;1;1>;<452;1;1>>,429005,,,Randomly greatly increases one unit’s physical defense.,Randomly greatly increases one unit’s physical defense.,Randomly greatly increases one unit’s physical defense.,Randomly greatly increases one unit’s physical defense.,Randomly greatly increases one unit’s physical defense.,Ngẫu nhiên một đơn vị tăng cường phòng thủ vật lý đáng kể,
100206,,,Level 206,Cấp 206,Level 206,Level 206,Level 206,Level 206,Level 206,,,<{level=221;unitId=230731;advance=32};{level=377;unitId=230082;advance=32};{level=221;unitId=233152;advance=32};{level=221;unitId=231911;advance=32};{level=221;unitId=230972;advance=32}>,<{level=377;unitId=251206;advance=33}>,config/portrait/jinglingtouxiang2/img_741.png,,22,,,battle/scene/bg_tower.jpg,,,,,,377,881,881,,,,3,<<7;1;7%>;<8;1;7%>>,{gold=225000;451=30;452=20},<<gold;225000;1>;<451;30;1>;<452;20;1>>,{libs=<110;111>;451=2;gold=6100},<<gold;6100;0>;<451;1;1>;<452;1;1>>,429005,,,,,,,,,
100207,,,Level 207,Cấp 207,Level 207,Level 207,Level 207,Level 207,Level 207,,,<{level=222;unitId=230741;advance=32};{level=379;unitId=230163;advance=32};{level=222;unitId=233161;advance=32};{level=222;unitId=231931;advance=32};{level=222;unitId=231071;advance=32}>,<{level=379;unitId=251207;advance=33}>,config/portrait/jinglingtouxiang2/img_771.png,,22,,,battle/scene/bg_grass.jpg,,,,,,379,885,885,,,,4,<<7;0;7%>;<8;0;7%>;<14;0;7%>>,{502=1;451=30;gold=225000},<<gold;225000;1>;<451;30;1>;<502;1;1>>,{libs=<110;111>;451=2;gold=6100},<<gold;6100;0>;<451;1;1>;<452;1;1>>,429005,,,,,,,,,
100208,,,Level 208,Cấp 208,Level 208,Level 208,Level 208,Level 208,Level 208,,,<{level=223;unitId=230793;advance=32};{level=381;unitId=230242;advance=32};{level=223;unitId=233181;advance=32};{level=223;unitId=232013;advance=32};{level=223;unitId=231032;advance=32}>,<{level=381;unitId=251208;advance=33}>,config/portrait/jinglingtouxiang2/img_863.png,,22,,,battle/scene/bg_night.jpg,,,,,,381,889,889,,,,5,<<1;0;8%>>,{rmb=100;451=30;gold=225000},<<gold;225000;1>;<451;30;1>;<rmb;100;1>>,{libs=<110;111>;451=2;gold=6100},<<gold;6100;0>;<451;1;1>;<452;1;1>>,429005,,,,,,,,,
100209,,,Level 209,Cấp 209,Level 209,Level 209,Level 209,Level 209,Level 209,,,<{level=224;unitId=230863;advance=32};{level=383;unitId=230273;advance=32};{level=224;unitId=233251;advance=32};{level=224;unitId=232023;advance=32};{level=224;unitId=231082;advance=32}>,<{level=383;unitId=251209;advance=33}>,config/portrait/jinglingtouxiang2/img_883.png,,22,,,battle/scene/bg_sd.jpg,,,,,,383,893,893,,,,5,<<27;0;8%>;<26;0;8%>>,{gold=225000;451=30;452=20},<<gold;225000;1>;<451;30;1>;<452;20;1>>,{libs=<110;111>;451=2;gold=6100},<<gold;6100;0>;<451;1;1>;<452;1;1>>,429005,,,,,,,,,
100210,,,Level 210,Cấp 210,Level 210,Level 210,Level 210,Level 210,Level 210,,,<{level=225;unitId=230883;advance=32};{level=385;unitId=230333;advance=32};{level=225;unitId=233283;advance=32};{level=225;unitId=232033;advance=32};{level=225;unitId=231221;advance=32}>,<{level=385;unitId=251210;advance=33}>,config/portrait/jinglingtouxiang2/img_972.png,,22,,,battle/scene/bg_tower.jpg,,,,,,385,897,897,,,,5,<<1;1;20%>;<24;0;20%>>,{501=1;451=30;gold=225000},<<gold;225000;1>;<451;30;1>;<501;1;1>>,{gold=6100;452=2;libs=<110;111;112>},<<gold;6100;0>;<451;1;1>;<452;1;1>>,429005,,,Rage gain is blocked; killing aura monsters removes this effect.,Rage gain is blocked; killing aura monsters removes this effect.,Rage gain is blocked; killing aura monsters removes this effect.,Rage gain is blocked; killing aura monsters removes this effect.,Rage gain is blocked; killing aura monsters removes this effect.,"Toàn bộ bị chặn tức giận, tiêu diệt quái vật trong hào quang sẽ xóa bỏ hiệu ứng",
100211,,,Level 211,Cấp 211,Level 211,Level 211,Level 211,Level 211,Level 211,,,<{level=226;unitId=230972;advance=33};{level=387;unitId=230402;advance=33};{level=226;unitId=233293;advance=33};{level=226;unitId=232073;advance=33};{level=226;unitId=231253;advance=33}>,<{level=387;unitId=251211;advance=34}>,config/portrait/jinglingtouxiang2/img_1071.png,,22,,,battle/scene/bg_grass.jpg,,,,,,387,901,901,,,,3,<<9;1;7%>;<10;1;7%>>,{gold=230000;451=30;452=20},<<gold;230000;1>;<451;30;1>;<452;20;1>>,{libs=<110;111>;451=2;gold=6200},<<gold;6200;0>;<451;1;1>;<452;1;1>>,429005,,,,,,,,,
100212,,,Level 212,Cấp 212,Level 212,Level 212,Level 212,Level 212,Level 212,,,<{level=227;unitId=231071;advance=33};{level=389;unitId=230493;advance=33};{level=227;unitId=233342;advance=33};{level=227;unitId=232242;advance=33};{level=227;unitId=231293;advance=33}>,<{level=389;unitId=251212;advance=34}>,config/portrait/jinglingtouxiang2/img_1032.png,,22,,,battle/scene/bg_night.jpg,,,,,,389,905,905,,,,4,<<9;0;7%>;<10;0;7%>;<17;0;7%>>,{502=1;451=30;gold=230000},<<gold;230000;1>;<451;30;1>;<502;1;1>>,{libs=<110;111>;451=2;gold=6200},<<gold;6200;0>;<451;1;1>;<452;1;1>>,429005,,,,,,,,,
100213,,,Level 213,Cấp 213,Level 213,Level 213,Level 213,Level 213,Level 213,,,<{level=228;unitId=231032;advance=33};{level=391;unitId=230503;advance=33};{level=228;unitId=233432;advance=33};{level=228;unitId=232593;advance=33};{level=228;unitId=231303;advance=33}>,<{level=391;unitId=251213;advance=34}>,config/portrait/jinglingtouxiang2/img_1082.png,,22,,,battle/scene/bg_sd.jpg,,,,,,391,909,909,,,,5,<<9;0;8%>;<10;0;8%>>,{rmb=100;451=30;gold=230000},<<gold;230000;1>;<451;30;1>;<rmb;100;1>>,{libs=<110;111>;451=2;gold=6200},<<gold;6200;0>;<451;1;1>;<452;1;1>>,429005,,,,,,,,,
100214,,,Level 214,Cấp 214,Level 214,Level 214,Level 214,Level 214,Level 214,,,<{level=229;unitId=231082;advance=33};{level=393;unitId=230552;advance=33};{level=229;unitId=233472;advance=33};{level=229;unitId=232612;advance=33};{level=229;unitId=231394;advance=33}>,<{level=393;unitId=251214;advance=34}>,config/portrait/jinglingtouxiang2/img_1231.png,,22,,,battle/scene/bg_tower.jpg,,,,,,393,913,913,,,,5,<<9;0;8%>;<10;0;8%>;<22;0;8%>>,{gold=230000;451=30;452=20},<<gold;230000;1>;<451;30;1>;<452;20;1>>,{libs=<110;111>;451=2;gold=6200},<<gold;6200;0>;<451;1;1>;<452;1;1>>,429005,,,,,,,,,
100215,,,Level 215,Cấp 215,Level 215,Level 215,Level 215,Level 215,Level 215,,,<{level=230;unitId=231221;advance=33};{level=395;unitId=230593;advance=33};{level=230;unitId=233511;advance=33};{level=230;unitId=232633;advance=33};{level=230;unitId=231612;advance=33}>,<{level=395;unitId=251215;advance=34}>,config/portrait/jinglingtouxiang2/img_1241.png,,22,,,battle/scene/bg_grass.jpg,,,,,,395,917,917,,,,5,<<9;1;10%>;<10;0;10%>;<24;0;10%>>,{gold=230000;451=30;519=1},<<gold;230000;1>;<451;30;1>;<519;1;1>>,{gold=6200;452=1;libs=<110;111;112>},<<gold;6200;0>;<451;1;1>;<452;1;1>>,429005,,,All monsters' rage recovery speed decreases; killing aura units removes this.,All monsters' rage recovery speed decreases; killing aura units removes this.,All monsters' rage recovery speed decreases; killing aura units removes this.,All monsters' rage recovery speed decreases; killing aura units removes this.,All monsters' rage recovery speed decreases; killing aura units removes this.,"Toàn bộ tốc độ hồi phục tức giận giảm, tiêu diệt đơn vị trong hào quang sẽ xóa bỏ",
100216,,,Level 216,Cấp 216,Level 216,Level 216,Level 216,Level 216,Level 216,,,<{level=231;unitId=231253;advance=34};{level=397;unitId=230603;advance=34};{level=231;unitId=233543;advance=34};{level=231;unitId=232683;advance=34};{level=231;unitId=231772;advance=34}>,<{level=397;unitId=251216;advance=35}>,config/portrait/jinglingtouxiang2/img_1253.png,,22,,,battle/scene/bg_night.jpg,,,,,,397,921,921,,,,3,<<13;1;7%>>,{gold=235000;451=30;452=20},<<gold;235000;1>;<451;30;1>;<452;20;1>>,{libs=<110;111>;451=2;gold=6300},<<gold;6300;0>;<451;1;1>;<452;1;1>>,429005,,,,,,,,,
100217,,,Level 217,Cấp 217,Level 217,Level 217,Level 217,Level 217,Level 217,,,<{level=232;unitId=231293;advance=34};{level=399;unitId=230611;advance=34};{level=232;unitId=233592;advance=34};{level=232;unitId=232723;advance=34};{level=232;unitId=231813;advance=34}>,<{level=399;unitId=251217;advance=35}>,config/portrait/jinglingtouxiang2/img_1293.png,,22,,,battle/scene/bg_sd.jpg,,,,,,399,925,925,,,,4,<<13;0;7%>;<24;0;7%>>,{502=1;451=30;gold=235000},<<gold;235000;1>;<451;30;1>;<502;1;1>>,{libs=<110;111>;451=2;gold=6300},<<gold;6300;0>;<451;1;1>;<452;1;1>>,429005,,,,,,,,,
100218,,,Level 218,Cấp 218,Level 218,Level 218,Level 218,Level 218,Level 218,,,<{level=233;unitId=231303;advance=34};{level=401;unitId=230632;advance=34};{level=233;unitId=233663;advance=34};{level=233;unitId=232843;advance=34};{level=233;unitId=231841;advance=34}>,<{level=401;unitId=251218;advance=35}>,config/portrait/jinglingtouxiang2/img_1303.png,,22,,,battle/scene/bg_tower.jpg,,,,,,401,929,929,,,,5,<<9;0;8%>;<10;0;8%>>,{rmb=100;451=30;gold=235000},<<gold;235000;1>;<451;30;1>;<rmb;100;1>>,{libs=<110;111>;451=2;gold=6300},<<gold;6300;0>;<451;1;1>;<452;1;1>>,429005,,,,,,,,,
100219,,,Level 219,Cấp 219,Level 219,Level 219,Level 219,Level 219,Level 219,,,<{level=234;unitId=231394;advance=34};{level=403;unitId=230641;advance=34};{level=234;unitId=233683;advance=34};{level=234;unitId=232963;advance=34};{level=234;unitId=231903;advance=34}>,<{level=403;unitId=251219;advance=35}>,config/portrait/jinglingtouxiang2/img_1313.png,,22,,,battle/scene/bg_grass.jpg,,,,,,403,933,933,,,,5,<<9;0;8%>;<10;0;8%>;<22;0;8%>>,{gold=235000;451=30;452=20},<<gold;235000;1>;<451;30;1>;<452;20;1>>,{libs=<110;111>;451=2;gold=6300},<<gold;6300;0>;<451;1;1>;<452;1;1>>,429005,,,,,,,,,
100220,,,Level 220,Cấp 220,Level 220,Level 220,Level 220,Level 220,Level 220,,,<{level=235;unitId=231612;advance=34};{level=405;unitId=230692;advance=34};{level=235;unitId=233772;advance=34};{level=235;unitId=233003;advance=34};{level=235;unitId=231911;advance=34}>,<{level=405;unitId=251220;advance=35}>,config/portrait/jinglingtouxiang2/img_1393.png,,22,,,battle/scene/bg_night.jpg,,,,,,405,937,937,,,,5,<<9;1;20%>;<10;0;20%>;<24;0;20%>>,{501=1;451=30;gold=235000},<<gold;235000;1>;<451;30;1>;<501;1;1>>,{gold=6300;452=2;libs=<110;111;112>},<<gold;6300;0>;<451;1;1>;<452;1;1>>,429005,,,All monsters' rage recovery speed increases.,All monsters' rage recovery speed increases.,All monsters' rage recovery speed increases.,All monsters' rage recovery speed increases.,All monsters' rage recovery speed increases.,Toàn bộ quái vật tăng cường tốc độ hồi phục tức giận,
100221,,,Level 221,Cấp 221,Level 221,Level 221,Level 221,Level 221,Level 221,,,<{level=236;unitId=231772;advance=35};{level=407;unitId=230712;advance=35};{level=236;unitId=230013;advance=35};{level=236;unitId=233152;advance=35};{level=236;unitId=231931;advance=35}>,<{level=407;unitId=251221;advance=36}>,config/portrait/jinglingtouxiang2/img_1381.png,,22,,,battle/scene/bg_sd.jpg,,,,,,407,941,941,,,,3,<<1;1;7%>>,{gold=240000;451=30;452=20},<<gold;240000;1>;<451;30;1>;<452;20;1>>,{libs=<110;111>;451=2;gold=6400},<<gold;6400;0>;<451;1;1>;<452;1;1>>,429005,,,,,,,,,
100222,,,Level 222,Cấp 222,Level 222,Level 222,Level 222,Level 222,Level 222,,,<{level=237;unitId=231813;advance=35};{level=409;unitId=230731;advance=35};{level=237;unitId=230044;advance=35};{level=237;unitId=233161;advance=35};{level=237;unitId=232013;advance=35}>,<{level=409;unitId=251222;advance=36}>,config/portrait/jinglingtouxiang2/img_1423.png,,22,,,battle/scene/bg_tower.jpg,,,,,,409,945,945,,,,4,<<1;0;7%>;<28;0;7%>>,{502=1;451=30;gold=240000},<<gold;240000;1>;<451;30;1>;<502;1;1>>,{libs=<110;111>;451=2;gold=6400},<<gold;6400;0>;<451;1;1>;<452;1;1>>,429005,,,,,,,,,
100223,,,Level 223,Cấp 223,Level 223,Level 223,Level 223,Level 223,Level 223,,,<{level=238;unitId=231841;advance=35};{level=411;unitId=230741;advance=35};{level=238;unitId=230053;advance=35};{level=238;unitId=233181;advance=35};{level=238;unitId=232023;advance=35}>,<{level=411;unitId=251223;advance=36}>,config/portrait/jinglingtouxiang2/img_1503.png,,22,,,battle/scene/bg_grass.jpg,,,,,,411,949,949,,,,5,<<7;0;8%>;<8;0;8%>>,{rmb=100;451=30;gold=240000},<<gold;240000;1>;<451;30;1>;<rmb;100;1>>,{libs=<110;111>;451=2;gold=6400},<<gold;6400;0>;<451;1;1>;<452;1;1>>,429005,,,,,,,,,
100224,,,Level 224,Cấp 224,Level 224,Level 224,Level 224,Level 224,Level 224,,,<{level=239;unitId=231903;advance=35};{level=413;unitId=230793;advance=35};{level=239;unitId=230082;advance=35};{level=239;unitId=233251;advance=35};{level=239;unitId=232033;advance=35}>,<{level=413;unitId=251224;advance=36}>,config/portrait/jinglingtouxiang2/img_1612.png,,22,,,battle/scene/bg_night.jpg,,,,,,413,953,953,,,,5,<<1;0;8%>;<22;0;8%>>,{gold=240000;451=30;452=20},<<gold;240000;1>;<451;30;1>;<452;20;1>>,{libs=<110;111>;451=2;gold=6400},<<gold;6400;0>;<451;1;1>;<452;1;1>>,429005,,,,,,,,,
100225,,,Level 225,Cấp 225,Level 225,Level 225,Level 225,Level 225,Level 225,,,<{level=240;unitId=231911;advance=35};{level=415;unitId=230863;advance=35};{level=240;unitId=230163;advance=35};{level=240;unitId=233283;advance=35};{level=240;unitId=232073;advance=35}>,<{level=415;unitId=251225;advance=36}>,config/portrait/jinglingtouxiang2/img_1772.png,,22,,,battle/scene/bg_sd.jpg,,,,,,415,957,957,,,,5,<<1;1;10%>;<22;0;10%>>,{gold=240000;451=30;519=1},<<gold;240000;1>;<451;30;1>;<519;1;1>>,{gold=6400;452=1;libs=<110;111;112>},<<gold;6400;0>;<451;1;1>;<452;1;1>>,429005,,,"Each round, all monsters' max HP decreases; killing aura units removes this.","Each round, all monsters' max HP decreases; killing aura units removes this.","Each round, all monsters' max HP decreases; killing aura units removes this.","Each round, all monsters' max HP decreases; killing aura units removes this.","Each round, all monsters' max HP decreases; killing aura units removes this.","Mỗi vòng, toàn bộ giới hạn sinh mệnh sẽ giảm, tiêu diệt đơn vị trong hào quang sẽ xóa bỏ",
100226,,,Level 226,Cấp 226,Level 226,Level 226,Level 226,Level 226,Level 226,,,<{level=241;unitId=231931;advance=36};{level=417;unitId=230883;advance=36};{level=241;unitId=230242;advance=36};{level=241;unitId=233293;advance=36};{level=241;unitId=232242;advance=36}>,<{level=417;unitId=251226;advance=37}>,config/portrait/jinglingtouxiang2/img_1813.png,,22,,,battle/scene/bg_tower.jpg,,,,,,417,961,961,,,,3,<<7;1;7%>;<8;1;7%>>,{gold=245000;451=30;452=20},<<gold;245000;1>;<451;30;1>;<452;20;1>>,{libs=<110;111>;451=2;gold=6500},<<gold;6500;0>;<451;1;1>;<452;1;1>>,429005,,,,,,,,,
100227,,,Level 227,Cấp 227,Level 227,Level 227,Level 227,Level 227,Level 227,,,<{level=242;unitId=232013;advance=36};{level=419;unitId=230972;advance=36};{level=242;unitId=230273;advance=36};{level=242;unitId=233342;advance=36};{level=242;unitId=232593;advance=36}>,<{level=419;unitId=251227;advance=37}>,config/portrait/jinglingtouxiang2/img_1841.png,,22,,,battle/scene/bg_grass.jpg,,,,,,419,965,965,,,,4,<<7;0;7%>;<8;0;7%>;<14;0;7%>>,{502=1;451=30;gold=245000},<<gold;245000;1>;<451;30;1>;<502;1;1>>,{libs=<110;111>;451=2;gold=6500},<<gold;6500;0>;<451;1;1>;<452;1;1>>,429005,,,,,,,,,
