VariableName,_comment,weightList,cardWeightMap,specialWeightMap
1201,,,<<{id=261};100>;<{id=331};100>;<{id=391};100>;<{id=571};100>;<{id=591};100>;<{id=601};100>;<{id=631};500>;<{id=721};50>;<{id=731};50>;<{id=741};50>;<{id=881};100>;<{id=1071};100>;<{id=1171};100>;<{id=1221};50>;<{id=1231};50>;<{id=1241};250>;<{id=1251};50>;<{id=1291};100>;<{id=1311};500>;<{id=1391};500>;<{id=1421};100>;<{id=1501};100>;<{id=1811};100>;<{id=3021};100>;<{id=3141};100>;<{id=3351};500>;<{id=3541};100>;<{id=1841};100>;<{id=3411};100>;<{id=241};100>;<{id=401};100>;<{id=3001};75>;<{id=2991};75>>,
1202,,,<<{id=721};80>;<{id=3021};100>;<{id=1081};100>;<{id=3141};100>;<{id=1841};100>>,
1203,,,<<{id=261};100>;<{id=331};100>;<{id=391};100>;<{id=491};100>;<{id=571};100>;<{id=591};100>;<{id=601};100>;<{id=631};100>;<{id=721};250>;<{id=731};50>;<{id=741};50>;<{id=881};100>;<{id=1071};100>;<{id=1081};500>;<{id=1171};100>;<{id=1221};50>;<{id=1231};50>;<{id=1241};50>;<{id=1251};50>;<{id=1291};100>;<{id=1311};100>;<{id=1391};100>;<{id=1421};100>;<{id=1501};100>;<{id=1811};100>;<{id=3021};500>;<{id=3141};500>;<{id=3351};500>;<{id=3541};100>;<{id=1841};100>;<{id=3411};100>;<{id=241};100>;<{id=401};100>;<{id=3001};75>;<{id=2991};75>>,
1204,,,<<{id=741};80>;<{id=601};100>;<{id=1171};100>;<{id=241};100>;<{id=1231};100>>,
1205,,,<<{id=261};100>;<{id=331};100>;<{id=391};100>;<{id=491};100>;<{id=571};100>;<{id=591};100>;<{id=601};500>;<{id=631};100>;<{id=721};50>;<{id=731};50>;<{id=741};250>;<{id=881};100>;<{id=1071};100>;<{id=1081};100>;<{id=1171};500>;<{id=1221};50>;<{id=1231};250>;<{id=1241};50>;<{id=1251};50>;<{id=1291};100>;<{id=1311};100>;<{id=1391};100>;<{id=1421};100>;<{id=1501};100>;<{id=1811};100>;<{id=2721};100>;<{id=3021};100>;<{id=3141};100>;<{id=3351};100>;<{id=3541};100>;<{id=1841};100>;<{id=3411};100>;<{id=241};500>;<{id=401};100>;<{id=3001};75>;<{id=2991};75>>,
1206,,,<<{id=631};100>;<{id=1241};80>;<{id=1311};100>;<{id=2721};80>;<{id=491};80>>,
1207,,,<<{id=261};100>;<{id=331};100>;<{id=391};100>;<{id=491};500>;<{id=571};100>;<{id=591};100>;<{id=601};100>;<{id=631};500>;<{id=721};50>;<{id=731};50>;<{id=741};50>;<{id=881};100>;<{id=1071};100>;<{id=1081};100>;<{id=1171};100>;<{id=1221};50>;<{id=1231};50>;<{id=1241};250>;<{id=1251};50>;<{id=1291};100>;<{id=1311};500>;<{id=1391};100>;<{id=1421};100>;<{id=1501};100>;<{id=1811};100>;<{id=2721};500>;<{id=3021};100>;<{id=3141};100>;<{id=3351};100>;<{id=3541};100>;<{id=1841};100>;<{id=3411};100>;<{id=241};100>;<{id=401};100>;<{id=3001};75>;<{id=2991};75>>,
1208,,,<<{id=331};100>;<{id=731};80>;<{id=591};100>;<{id=881};100>;<{id=1221};80>>,
1209,,,<<{id=261};100>;<{id=331};500>;<{id=391};100>;<{id=491};100>;<{id=571};100>;<{id=591};500>;<{id=601};100>;<{id=631};100>;<{id=721};50>;<{id=731};250>;<{id=741};50>;<{id=881};500>;<{id=1071};100>;<{id=1081};100>;<{id=1171};100>;<{id=1221};250>;<{id=1231};50>;<{id=1241};50>;<{id=1251};50>;<{id=1291};100>;<{id=1311};100>;<{id=1391};100>;<{id=1421};100>;<{id=1501};100>;<{id=1811};100>;<{id=2721};100>;<{id=3021};100>;<{id=3141};100>;<{id=3351};100>;<{id=3541};100>;<{id=1841};100>;<{id=3411};100>;<{id=241};100>;<{id=401};100>;<{id=3001};75>;<{id=2991};75>>,
1210,,,<<{id=721};80>;<{id=3021};100>;<{id=1081};100>;<{id=1391};100>;<{id=3351};100>>,
1211,,,<<{id=261};100>;<{id=331};100>;<{id=391};100>;<{id=491};100>;<{id=571};100>;<{id=591};100>;<{id=601};100>;<{id=631};100>;<{id=721};250>;<{id=731};50>;<{id=741};50>;<{id=881};100>;<{id=1071};100>;<{id=1081};500>;<{id=1171};100>;<{id=1221};50>;<{id=1231};50>;<{id=1241};50>;<{id=1251};50>;<{id=1291};100>;<{id=1311};100>;<{id=1391};500>;<{id=1421};100>;<{id=1501};100>;<{id=1811};100>;<{id=2721};100>;<{id=3021};500>;<{id=3141};100>;<{id=3351};500>;<{id=3541};100>;<{id=1841};100>;<{id=3411};100>;<{id=241};100>;<{id=401};100>;<{id=3001};75>;<{id=2991};75>>,
1212,,,<<{id=401};100>;<{id=491};100>;<{id=1251};80>;<{id=1501};100>;<{id=3411};100>>,
1213,,,<<{id=261};100>;<{id=331};100>;<{id=391};100>;<{id=491};500>;<{id=571};100>;<{id=591};100>;<{id=601};100>;<{id=631};100>;<{id=721};50>;<{id=731};50>;<{id=741};50>;<{id=881};100>;<{id=1071};100>;<{id=1081};100>;<{id=1171};100>;<{id=1221};50>;<{id=1231};50>;<{id=1241};50>;<{id=1251};250>;<{id=1291};100>;<{id=1311};100>;<{id=1391};100>;<{id=1421};100>;<{id=1501};500>;<{id=1811};100>;<{id=2721};100>;<{id=3021};100>;<{id=3141};100>;<{id=3351};100>;<{id=3541};100>;<{id=1841};100>;<{id=3411};500>;<{id=241};100>;<{id=401};500>;<{id=3001};75>;<{id=2991};75>>,
1214,,,<<{id=1081};80>;<{id=1171};100>;<{id=1841};100>;<{id=3141};100>;<{id=2721};100>>,
1215,,,<<{id=261};100>;<{id=331};100>;<{id=391};100>;<{id=491};100>;<{id=571};100>;<{id=591};100>;<{id=601};100>;<{id=631};100>;<{id=721};50>;<{id=731};50>;<{id=741};50>;<{id=881};100>;<{id=1071};100>;<{id=1081};500>;<{id=1171};500>;<{id=1221};50>;<{id=1231};50>;<{id=1241};50>;<{id=1251};50>;<{id=1291};100>;<{id=1311};100>;<{id=1391};100>;<{id=1421};100>;<{id=1501};100>;<{id=1811};100>;<{id=2721};500>;<{id=3021};100>;<{id=3141};500>;<{id=3351};100>;<{id=3541};100>;<{id=1841};500>;<{id=3411};100>;<{id=241};100>;<{id=401};100>;<{id=3001};75>;<{id=2991};75>>,
1216,,,<<{id=1071};100>;<{id=1421};100>;<{id=571};100>;<{id=1291};100>>,
1217,,,<<{id=261};100>;<{id=331};100>;<{id=391};100>;<{id=491};100>;<{id=571};500>;<{id=591};100>;<{id=601};100>;<{id=631};100>;<{id=721};50>;<{id=731};50>;<{id=741};50>;<{id=881};100>;<{id=1071};500>;<{id=1081};100>;<{id=1171};100>;<{id=1221};50>;<{id=1231};50>;<{id=1241};50>;<{id=1251};50>;<{id=1291};500>;<{id=1311};100>;<{id=1391};100>;<{id=1421};500>;<{id=1501};100>;<{id=1811};100>;<{id=2721};100>;<{id=3021};100>;<{id=3141};100>;<{id=3351};100>;<{id=3541};100>;<{id=1841};100>;<{id=3411};100>;<{id=241};100>;<{id=401};100>;<{id=3001};75>;<{id=2991};75>>,
1218,,,<<{id=261};100>;<{id=391};100>;<{id=1391};100>;<{id=1811};100>;<{id=3541};80>;<{id=3001};80>>,
1219,,,<<{id=261};500>;<{id=331};100>;<{id=391};500>;<{id=491};100>;<{id=571};100>;<{id=591};100>;<{id=601};100>;<{id=631};100>;<{id=721};50>;<{id=731};50>;<{id=741};50>;<{id=881};100>;<{id=1071};100>;<{id=1081};100>;<{id=1171};100>;<{id=1221};50>;<{id=1231};50>;<{id=1241};50>;<{id=1251};50>;<{id=1291};100>;<{id=1311};100>;<{id=1391};500>;<{id=1421};100>;<{id=1501};100>;<{id=1811};500>;<{id=2721};100>;<{id=3021};100>;<{id=3141};100>;<{id=3351};100>;<{id=3541};400>;<{id=1841};100>;<{id=3411};100>;<{id=241};100>;<{id=401};100>;<{id=3001};300>;<{id=2991};75>>,
1251,,,<<{id=741};80>;<{id=601};100>;<{id=1171};100>;<{id=241};100>;<{id=1231};100>;<{id=2991};100>;<{id=3151};100>>,
1252,,,<<{id=261};100>;<{id=331};100>;<{id=391};100>;<{id=491};100>;<{id=571};100>;<{id=591};100>;<{id=601};960>;<{id=631};100>;<{id=721};50>;<{id=731};50>;<{id=741};800>;<{id=881};100>;<{id=1071};100>;<{id=1081};100>;<{id=1171};960>;<{id=1221};50>;<{id=1231};800>;<{id=1241};50>;<{id=1251};50>;<{id=1291};100>;<{id=1311};100>;<{id=1391};100>;<{id=1421};100>;<{id=1501};100>;<{id=1811};100>;<{id=2721};100>;<{id=3021};100>;<{id=3141};100>;<{id=3351};100>;<{id=3541};100>;<{id=1841};100>;<{id=3411};100>;<{id=241};960>;<{id=401};100>;<{id=3001};75>;<{id=2991};960>;<{id=3661};100>;<{id=161};100>;<{id=2031};100>;<{id=1911};100>;<{id=1921};100>;<{id=1931};100>;<{id=2471};100>;<{id=3151};960>;<{id=3591};100>>,
1253,,,<<{id=631};100>;<{id=1241};80>;<{id=1311};100>;<{id=2721};80>;<{id=491};80>;<{id=2031};100>>,
1254,,,<<{id=261};100>;<{id=331};100>;<{id=391};100>;<{id=491};1200>;<{id=571};100>;<{id=591};100>;<{id=601};100>;<{id=631};1200>;<{id=721};50>;<{id=731};50>;<{id=741};50>;<{id=881};100>;<{id=1071};100>;<{id=1081};100>;<{id=1171};100>;<{id=1221};50>;<{id=1231};50>;<{id=1241};960>;<{id=1251};50>;<{id=1291};100>;<{id=1311};1200>;<{id=1391};100>;<{id=1421};100>;<{id=1501};100>;<{id=1811};100>;<{id=2721};1200>;<{id=3021};100>;<{id=3141};100>;<{id=3351};100>;<{id=3541};100>;<{id=1841};100>;<{id=3411};100>;<{id=241};100>;<{id=401};100>;<{id=3001};75>;<{id=2991};75>;<{id=3661};100>;<{id=161};100>;<{id=2031};1200>;<{id=1911};100>;<{id=1921};100>;<{id=1931};100>;<{id=2471};100>;<{id=3151};100>;<{id=3591};100>>,
1255,,,<<{id=331};100>;<{id=731};80>;<{id=591};100>;<{id=881};100>;<{id=1221};80>>,
1256,,,<<{id=261};100>;<{id=331};1440>;<{id=391};100>;<{id=491};100>;<{id=571};100>;<{id=591};1440>;<{id=601};100>;<{id=631};100>;<{id=721};50>;<{id=731};1150>;<{id=741};50>;<{id=881};1440>;<{id=1071};100>;<{id=1081};100>;<{id=1171};100>;<{id=1221};1150>;<{id=1231};50>;<{id=1241};50>;<{id=1251};50>;<{id=1291};100>;<{id=1311};100>;<{id=1391};100>;<{id=1421};100>;<{id=1501};100>;<{id=1811};100>;<{id=2721};100>;<{id=3021};100>;<{id=3141};100>;<{id=3351};100>;<{id=3541};100>;<{id=1841};100>;<{id=3411};100>;<{id=241};100>;<{id=401};100>;<{id=3001};75>;<{id=2991};75>;<{id=3661};100>;<{id=161};100>;<{id=2031};100>;<{id=1911};100>;<{id=1921};100>;<{id=1931};100>;<{id=2471};100>;<{id=3151};100>;<{id=3591};100>>,
1257,,,<<{id=721};80>;<{id=3021};100>;<{id=1081};100>;<{id=1391};100>;<{id=3351};100>;<{id=1921};100>>,
1258,,,<<{id=261};100>;<{id=331};100>;<{id=391};100>;<{id=491};100>;<{id=571};100>;<{id=591};100>;<{id=601};100>;<{id=631};100>;<{id=721};960>;<{id=731};50>;<{id=741};50>;<{id=881};100>;<{id=1071};100>;<{id=1081};1200>;<{id=1171};100>;<{id=1221};50>;<{id=1231};50>;<{id=1241};50>;<{id=1251};50>;<{id=1291};100>;<{id=1311};100>;<{id=1391};1200>;<{id=1421};100>;<{id=1501};100>;<{id=1811};100>;<{id=2721};100>;<{id=3021};1200>;<{id=3141};100>;<{id=3351};1200>;<{id=3541};100>;<{id=1841};100>;<{id=3411};100>;<{id=241};100>;<{id=401};100>;<{id=3001};75>;<{id=2991};75>;<{id=3661};100>;<{id=161};100>;<{id=2031};100>;<{id=1911};100>;<{id=1921};1200>;<{id=1931};100>;<{id=2471};100>;<{id=3151};100>;<{id=3591};100>>,
1259,,,<<{id=401};100>;<{id=491};100>;<{id=1251};80>;<{id=1501};100>;<{id=3411};100>;<{id=1911};100>;<{id=1931};100>;<{id=2031};100>>,
1260,,,<<{id=261};100>;<{id=331};100>;<{id=391};100>;<{id=491};800>;<{id=571};100>;<{id=591};100>;<{id=601};100>;<{id=631};100>;<{id=721};50>;<{id=731};50>;<{id=741};50>;<{id=881};100>;<{id=1071};100>;<{id=1081};100>;<{id=1171};100>;<{id=1221};50>;<{id=1231};50>;<{id=1241};50>;<{id=1251};640>;<{id=1291};100>;<{id=1311};100>;<{id=1391};100>;<{id=1421};100>;<{id=1501};800>;<{id=1811};100>;<{id=2721};100>;<{id=3021};100>;<{id=3141};100>;<{id=3351};100>;<{id=3541};100>;<{id=1841};100>;<{id=3411};800>;<{id=241};100>;<{id=401};800>;<{id=3001};75>;<{id=2991};75>;<{id=3661};100>;<{id=161};100>;<{id=2031};800>;<{id=1911};800>;<{id=1921};100>;<{id=1931};800>;<{id=2471};100>;<{id=3151};100>;<{id=3591};100>>,
1261,,,<<{id=1081};80>;<{id=1171};100>;<{id=1841};100>;<{id=3141};100>;<{id=2721};100>;<{id=161};100>>,
1262,,,<<{id=261};100>;<{id=331};100>;<{id=391};100>;<{id=491};100>;<{id=571};100>;<{id=591};100>;<{id=601};100>;<{id=631};100>;<{id=721};50>;<{id=731};50>;<{id=741};50>;<{id=881};100>;<{id=1071};100>;<{id=1081};1200>;<{id=1171};1200>;<{id=1221};50>;<{id=1231};50>;<{id=1241};50>;<{id=1251};50>;<{id=1291};100>;<{id=1311};100>;<{id=1391};100>;<{id=1421};100>;<{id=1501};100>;<{id=1811};100>;<{id=2721};1200>;<{id=3021};100>;<{id=3141};1200>;<{id=3351};100>;<{id=3541};100>;<{id=1841};1200>;<{id=3411};100>;<{id=241};100>;<{id=401};100>;<{id=3001};75>;<{id=2991};75>;<{id=3661};100>;<{id=161};1200>;<{id=2031};100>;<{id=1911};100>;<{id=1921};100>;<{id=1931};100>;<{id=2471};100>;<{id=3151};100>;<{id=3591};100>>,
1263,,,<<{id=1071};100>;<{id=1421};100>;<{id=571};100>;<{id=1291};100>;<{id=2471};100>;<{id=3661};100>;<{id=3151};100>>,
1264,,,<<{id=261};100>;<{id=331};100>;<{id=391};100>;<{id=491};100>;<{id=571};960>;<{id=591};100>;<{id=601};100>;<{id=631};100>;<{id=721};50>;<{id=731};50>;<{id=741};50>;<{id=881};100>;<{id=1071};960>;<{id=1081};100>;<{id=1171};100>;<{id=1221};50>;<{id=1231};50>;<{id=1241};50>;<{id=1251};50>;<{id=1291};960>;<{id=1311};100>;<{id=1391};100>;<{id=1421};960>;<{id=1501};100>;<{id=1811};100>;<{id=2721};100>;<{id=3021};100>;<{id=3141};100>;<{id=3351};100>;<{id=3541};100>;<{id=1841};100>;<{id=3411};100>;<{id=241};100>;<{id=401};100>;<{id=3001};75>;<{id=2991};75>;<{id=3661};100>;<{id=161};100>;<{id=2031};100>;<{id=1911};100>;<{id=1921};100>;<{id=1931};100>;<{id=2471};960>;<{id=3151};960>;<{id=3591};960>>,
1265,,,<<{id=261};100>;<{id=391};100>;<{id=1391};100>;<{id=1811};100>;<{id=3541};80>;<{id=3001};80>;<{id=3591};100>;<{id=2991};100>>,
1266,,,<<{id=261};760>;<{id=331};100>;<{id=391};760>;<{id=491};100>;<{id=571};100>;<{id=591};100>;<{id=601};100>;<{id=631};100>;<{id=721};50>;<{id=731};50>;<{id=741};50>;<{id=881};100>;<{id=1071};100>;<{id=1081};100>;<{id=1171};100>;<{id=1221};50>;<{id=1231};50>;<{id=1241};50>;<{id=1251};50>;<{id=1291};100>;<{id=1311};100>;<{id=1391};760>;<{id=1421};100>;<{id=1501};100>;<{id=1811};760>;<{id=2721};100>;<{id=3021};100>;<{id=3141};100>;<{id=3351};100>;<{id=3541};600>;<{id=1841};100>;<{id=3411};100>;<{id=241};100>;<{id=401};100>;<{id=3001};600>;<{id=2991};760>;<{id=3661};100>;<{id=161};100>;<{id=2031};100>;<{id=1911};100>;<{id=1921};100>;<{id=1931};100>;<{id=2471};100>;<{id=3151};100>;<{id=3591};760>>,
1301,,<<5001;100;6>;<5002;100;6>;<5003;100;6>;<5004;100;6>;<5005;100;6>;<5006;100;6>;<5007;100;6>;<5008;100;6>;<5009;100;6>>,,
1302,,<<5001;100;6>;<5002;100;6>;<5003;100;6>;<5004;100;6>;<5005;100;6>;<5006;100;6>;<5007;100;6>;<5008;100;6>;<5009;100;6>;<5010;100;6>;<5011;100;6>;<5012;100;6>>,,
1303,,<<5004;100;6>;<5005;100;6>;<5006;100;6>;<5007;100;6>;<5008;100;6>;<5009;100;6>;<5010;100;6>;<5011;100;6>;<5012;100;6>;<5013;100;6>;<5014;100;6>;<5015;100;6>>,,
1304,,<<5007;100;6>;<5008;100;6>;<5009;100;6>;<5010;100;6>;<5011;100;6>;<5012;100;6>;<5013;100;6>;<5014;100;6>;<5015;100;6>;<5016;100;6>;<5017;100;6>;<5018;100;6>>,,
1305,,<<5010;100;6>;<5011;100;6>;<5012;100;6>;<5013;100;6>;<5014;100;6>;<5015;100;6>;<5016;100;6>;<5017;100;6>;<5018;100;6>;<5019;100;6>;<5020;100;6>;<5021;100;6>>,,
1306,,<<5013;100;6>;<5014;100;6>;<5015;100;6>;<5016;100;6>;<5017;100;6>;<5018;100;6>;<5019;100;6>;<5020;100;6>;<5021;100;6>;<5022;100;6>;<5023;100;6>;<5024;100;6>>,,
1307,,<<5016;100;6>;<5017;100;6>;<5018;100;6>;<5019;100;6>;<5020;100;6>;<5021;100;6>;<5022;100;6>;<5023;100;6>;<5024;100;6>;<5025;100;6>;<5026;100;6>;<5027;100;6>>,,
1308,,<<5019;100;6>;<5020;100;6>;<5021;100;6>;<5022;100;6>;<5023;100;6>;<5024;100;6>;<5025;100;6>;<5026;100;6>;<5027;100;6>;<5028;100;6>;<5029;100;6>;<5030;100;6>>,,
1309,,<<5019;100;6>;<5020;100;6>;<5021;100;6>;<5022;100;6>;<5023;100;6>;<5024;100;6>;<5025;100;6>;<5026;100;6>;<5027;100;6>;<5028;100;6>;<5029;100;6>;<5030;100;6>>,,
1310,,<<5019;100;6>;<5020;100;6>;<5021;100;6>;<5022;100;6>;<5023;100;6>;<5024;100;6>;<5025;100;6>;<5026;100;6>;<5027;100;6>;<5028;100;6>;<5029;100;6>;<5030;100;6>>,,
1311,,<<5019;100;6>;<5020;100;6>;<5021;100;6>;<5022;100;6>;<5023;100;6>;<5024;100;6>;<5025;100;6>;<5026;100;6>;<5027;100;6>;<5028;100;6>;<5029;100;6>;<5030;100;6>>,,
1351,,<<5001;100;6>;<5002;100;6>;<5003;100;6>>,,
1352,,<<5004;100;6>;<5005;100;6>;<5006;100;6>>,,
1353,,<<5007;100;6>;<5008;100;6>;<5009;100;6>>,,
1354,,<<5010;100;6>;<5011;100;6>;<5012;100;6>>,,
1355,,<<5013;100;6>;<5014;100;6>;<5015;100;6>>,,
1356,,<<5016;100;6>;<5017;100;6>;<5018;100;6>>,,
1357,,<<5019;100;6>;<5020;100;6>;<5021;100;6>>,,
1358,,<<5022;100;6>;<5023;100;6>;<5024;100;6>>,,
1359,,<<5025;100;6>;<5026;100;6>;<5027;100;6>>,,
1360,,<<5028;100;6>;<5029;100;6>;<5030;100;6>>,,
1361,,<<5031;100;6>;<5032;100;6>;<5033;100;6>>,,
1362,,<<5031;100;6>;<5032;100;6>;<5033;100;6>>,,
1363,,<<5031;100;6>;<5032;100;6>;<5033;100;6>>,,
1364,,<<5031;100;6>;<5032;100;6>;<5033;100;6>>,,
1371,,<<5001;100;25>;<5002;100;25>;<5003;100;25>;<5001;100;20>;<5002;100;20>;<5003;100;20>>,,
1372,,<<5004;100;25>;<5005;100;25>;<5006;100;25>;<5004;100;20>;<5005;100;20>;<5006;100;20>>,,
1373,,<<5007;100;25>;<5008;100;25>;<5009;100;25>;<5007;100;20>;<5008;100;20>;<5009;100;20>>,,
1374,,<<5010;100;25>;<5011;100;25>;<5012;100;25>;<5010;100;20>;<5011;100;20>;<5012;100;20>>,,
1375,,<<5013;100;25>;<5014;100;25>;<5015;100;25>;<5013;100;20>;<5014;100;20>;<5015;100;20>>,,
1376,,<<5016;100;25>;<5017;100;25>;<5018;100;25>;<5016;100;20>;<5017;100;20>;<5018;100;20>>,,
1377,,<<5019;100;25>;<5020;100;25>;<5021;100;25>;<5019;100;20>;<5020;100;20>;<5021;100;20>>,,
1378,,<<5022;100;25>;<5023;100;25>;<5024;100;25>;<5022;100;20>;<5023;100;20>;<5024;100;20>>,,
1379,,<<5025;100;25>;<5026;100;25>;<5027;100;25>;<5025;100;20>;<5026;100;20>;<5027;100;20>>,,
1380,,<<5028;100;25>;<5029;100;25>;<5030;100;25>;<5028;100;20>;<5029;100;20>;<5030;100;20>>,,
1381,,<<5031;100;25>;<5032;100;25>;<5033;100;25>;<5031;100;20>;<5032;100;20>;<5033;100;20>>,,
1382,,<<5034;100;25>;<5035;100;25>;<5036;100;25>;<5034;100;20>;<5035;100;20>;<5036;100;20>>,,
1383,,<<5037;100;25>;<5038;100;25>;<5039;100;25>;<5037;100;20>;<5038;100;20>;<5039;100;20>>,,
1384,,<<5040;100;25>;<5041;100;25>;<5042;100;25>;<5040;100;20>;<5041;100;20>;<5042;100;20>>,,
1385,,<<5043;100;25>;<5044;100;25>;<5045;100;25>;<5043;100;20>;<5044;100;20>;<5045;100;20>>,,
1386,,<<5046;100;25>;<5047;100;25>;<5048;100;25>;<5046;100;20>;<5047;100;20>;<5048;100;20>>,,
1387,,<<5049;100;25>;<5050;100;25>;<5051;100;25>;<5049;100;20>;<5050;100;20>;<5051;100;20>>,,
1388,,<<5052;100;25>;<5053;100;25>;<5054;100;25>;<5052;100;20>;<5053;100;20>;<5054;100;20>>,,
1391,,<<5001;100;15>;<5002;100;15>;<5003;100;15>;<5001;100;20>;<5002;100;20>;<5003;100;20>>,,
1392,,<<5004;100;15>;<5005;100;15>;<5006;100;15>;<5004;100;20>;<5005;100;20>;<5006;100;20>>,,
1393,,<<5007;100;15>;<5008;100;15>;<5009;100;15>;<5007;100;20>;<5008;100;20>;<5009;100;20>>,,
1394,,<<5010;100;15>;<5011;100;15>;<5012;100;15>;<5010;100;20>;<5011;100;20>;<5012;100;20>>,,
1395,,<<5013;100;15>;<5014;100;15>;<5015;100;15>;<5013;100;20>;<5014;100;20>;<5015;100;20>>,,
1396,,<<5016;100;15>;<5017;100;15>;<5018;100;15>;<5016;100;20>;<5017;100;20>;<5018;100;20>>,,
1397,,<<5019;100;15>;<5020;100;15>;<5021;100;15>;<5019;100;20>;<5020;100;20>;<5021;100;20>>,,
1398,,<<5022;100;15>;<5023;100;15>;<5024;100;15>;<5022;100;20>;<5023;100;20>;<5024;100;20>>,,
1399,,<<5025;100;15>;<5026;100;15>;<5027;100;15>;<5025;100;20>;<5026;100;20>;<5027;100;20>>,,
1400,,<<5028;100;15>;<5029;100;15>;<5030;100;15>;<5028;100;20>;<5029;100;20>;<5030;100;20>>,,
1401,,<<5031;100;15>;<5032;100;15>;<5033;100;15>;<5031;100;20>;<5032;100;20>;<5033;100;20>>,,
1402,,<<5034;100;15>;<5035;100;15>;<5036;100;15>;<5034;100;20>;<5035;100;20>;<5036;100;20>>,,
1403,,<<5037;100;15>;<5038;100;15>;<5039;100;15>;<5037;100;20>;<5038;100;20>;<5039;100;20>>,,
1404,,<<5040;100;15>;<5041;100;15>;<5042;100;15>;<5040;100;20>;<5041;100;20>;<5042;100;20>>,,
1405,,<<5043;100;15>;<5044;100;15>;<5045;100;15>;<5043;100;20>;<5044;100;20>;<5045;100;20>>,,
1406,,<<5046;100;15>;<5047;100;15>;<5048;100;15>;<5046;100;20>;<5047;100;20>;<5048;100;20>>,,
1407,,<<5049;100;15>;<5050;100;15>;<5051;100;15>;<5049;100;20>;<5050;100;20>;<5051;100;20>>,,
1408,,<<5052;100;15>;<5053;100;15>;<5054;100;15>;<5052;100;20>;<5053;100;20>;<5054;100;20>>,,
1701,,<<6950;100;1>>,,
1702,,<<6951;200;1>;<6951;100;2>;<6951;50;3>>,,
1703,,<<6862;100;1>>,,
1704,,<<6863;200;1>;<6863;100;2>;<6863;50;3>>,,
1705,,<<6864;100;1>>,,
1706,,<<6865;200;1>;<6865;100;2>;<6865;50;3>>,,
1707,,<<6866;100;1>>,,
1708,,<<6867;200;1>;<6867;100;2>;<6867;50;3>>,,
1709,,<<6868;100;1>>,,
1710,,<<6869;200;1>;<6869;100;2>;<6869;50;3>>,,
1711,,<<6870;100;1>>,,
1712,,<<6871;200;1>;<6871;100;2>;<6871;50;3>>,,
1713,,<<6872;100;1>>,,
1714,,<<6873;200;1>;<6873;100;2>;<6873;50;3>>,,
1715,,<<6874;100;1>>,,
1716,,<<6875;200;1>;<6875;100;2>;<6875;50;3>>,,
1717,,<<6876;100;1>>,,
1718,,<<6877;200;1>;<6877;100;2>;<6877;50;3>>,,
2001,,<<4031;200;1>;<4032;200;1>;<4033;200;1>;<4041;200;1>;<4042;200;1>;<4043;200;1>;<4051;150;1>;<4052;150;1>;<4053;150;1>;<4061;150;1>;<4062;150;1>;<4063;150;1>;<4064;150;1>;<4071;150;1>;<4072;150;1>;<4073;150;1>;<4074;150;1>;<4081;60;1>;<4082;60;1>;<4083;60;1>;<4084;60;1>;<4085;60;1>;<4092;60;1>;<4093;60;1>;<4094;60;1>;<4095;60;1>;<4096;60;1>>,,
2002,,<<4061;200;1>;<4062;200;1>;<4063;200;1>;<4064;200;1>;<4071;200;1>;<4072;200;1>;<4073;200;1>;<4074;200;1>;<4081;100;1>;<4082;100;1>;<4083;100;1>;<4084;100;1>;<4085;100;1>;<4092;100;1>;<4093;100;1>;<4094;100;1>;<4095;100;1>;<4096;100;1>>,,
2003,,<<4000;500;120>;<4011;200;1>;<4012;200;1>;<4013;200;1>;<4021;200;1>;<4022;200;1>;<4023;200;1>;<4031;200;1>;<4032;200;1>;<4033;200;1>;<4041;200;1>;<4042;200;1>;<4043;200;1>;<4051;80;1>;<4052;80;1>;<4053;80;1>;<4061;80;1>;<4062;80;1>;<4063;80;1>;<4064;80;1>;<4071;80;1>;<4072;80;1>;<4073;80;1>;<4074;80;1>;<4081;20;1>;<4082;20;1>;<4083;20;1>;<4084;20;1>;<4085;20;1>;<4092;20;1>;<4093;20;1>;<4094;20;1>;<4095;20;1>;<4096;20;1>>,,
2004,,<<4061;200;1>;<4062;200;1>;<4063;200;1>;<4064;200;1>;<4071;200;1>;<4072;200;1>;<4073;200;1>;<4074;200;1>;<4081;50;1>;<4082;50;1>;<4083;50;1>;<4084;50;1>;<4085;50;1>;<4092;50;1>;<4093;50;1>;<4094;50;1>;<4095;50;1>;<4096;50;1>>,,
2005,,<<4081;200;1>;<4082;200;1>;<4083;200;1>;<4084;200;1>;<4085;200;1>;<4092;200;1>;<4093;200;1>;<4094;200;1>;<4095;200;1>;<4096;200;1>>,,
2006,,<<4022;200;1>>,,
2007,,<<4021;200;1>>,,
2008,,<<4023;200;1>>,,
6119,,<<5401; 100; 1>; <5402; 100; 1>; <5403; 100; 1>; <5404; 100; 1>; <5405; 100; 1>; <5406; 100; 1>; <5407; 100; 1>; <5408; 100; 1>>,,
6120,,<<5601; 100; 1>; <5602; 100; 1>; <5603; 100; 1>; <5604; 100; 1>; <5605; 100; 1>; <5606; 100; 1>; <5607; 100; 1>; <5608; 100; 1>>,,
