VariableName,type,_yyId,card,helditem,item,desc
113,6,,<263;1503;1221;1903;1931;3543;163;333;503;593;603;611;631;641;712;863;1082;1293;2033;1032;1071;1303;1381;1841;1911;2242;2723;3003;13;273;402;493;552;793;2013;2073;2593;2612;2633;2963;3283;3293;3342;3472;3511;3683;44;53;82;692;2683;2843;3432;3772>,,<502;521;501;20263;21503;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
114,6,,<572;1893;1221;1903;1931;3543;163;333;503;593;603;611;631;641;712;863;1082;1293;2033;1032;1071;1303;1381;1841;1911;2242;2723;3003;13;273;402;493;552;793;2013;2073;2593;2612;2633;2963;3283;3293;3342;3472;3511;3683;44;53;82;692;2683;2843;3432;3772>,,<502;521;501;20572;21893;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
115,6,,<1313;3143;1221;1903;1931;3543;163;333;503;593;603;611;631;641;712;863;1082;1293;2033;1032;1071;1303;1381;1841;1911;2242;2723;3003;13;273;402;493;552;793;2013;2073;2593;2612;2633;2963;3283;3293;3342;3472;3511;3683;44;53;82;692;2683;2843;3432;3772>,,<502;521;501;21313;23143;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
116,6,,<1941;393;1221;1903;1931;3543;163;333;503;593;603;611;631;641;712;863;1082;1293;2033;1032;1071;1303;1381;1841;1911;2242;2723;3003;13;273;402;493;552;793;2013;2073;2593;2612;2633;2963;3283;3293;3342;3472;3511;3683;44;53;82;692;2683;2843;3432;3772>,,<502;521;501;21941;20393;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
117,6,,<1951;721;1221;1903;1931;3543;163;333;503;593;603;611;631;641;712;863;1082;1293;2033;1032;1071;1303;1381;1841;1911;2242;2723;3003;13;273;402;493;552;793;2013;2073;2593;2612;2633;2963;3283;3293;3342;3472;3511;3683;44;53;82;692;2683;2843;3432;3772>,,<502;521;501;21951;20721;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
118,6,,<3021;771;1221;1903;1931;3543;163;333;503;593;603;611;631;641;712;863;1082;1293;2033;1032;1071;1303;1381;1841;1911;2242;2723;3003;13;273;402;493;552;793;2013;2073;2593;2612;2633;2963;3283;3293;3342;3472;3511;3683;44;53;82;692;2683;2843;3432;3772>,,<502;521;501;23021;20771;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
1001,5,,<4024>,<30101;30102;30103;30104;30105;30106;30201;30202;30203;30204;30205;30206;30207;30208;30209;30301;30302;30303;30304;30305;30306;30307;30308;30309;30310;30311;30312;30313;30314;30315;30316;30317>,<536;502;501;521;201;202;203;204;205;211;212;213;214;215;221;222;223;224;225;231;232;233;234;235;2101;2102;2103;451;452;19;850;851;gold>,<<cardsIDS;1>;<skinStamps;5>;<starItem;10>;<rarityHeldItem2;0.5>;<rarityHeldItem1;8>;<rarityHeldItem0;4>;<juexingItem;0.8>;<normalItem;70.7>>
1002,5,,<3601>,<30101;30102;30103;30104;30105;30106;30201;30202;30203;30204;30205;30206;30207;30208;30209;30301;30302;30303;30304;30305;30306;30307;30308;30309;30310;30311;30312;30313;30314;30315;30316;30317>,<536;502;501;521;201;202;203;204;205;211;212;213;214;215;221;222;223;224;225;231;232;233;234;235;2101;2102;2103;451;452;19;850;851;gold>,<<cardsIDS;1>;<skinStamps;5>;<starItem;10>;<rarityHeldItem2;0.5>;<rarityHeldItem1;8>;<rarityHeldItem0;4>;<juexingItem;0.8>;<normalItem;70.7>>
1003,5,,<8007>,<30101;30102;30103;30104;30105;30106;30201;30202;30203;30204;30205;30206;30207;30208;30209;30301;30302;30303;30304;30305;30306;30307;30308;30309;30310;30311;30312;30313;30314;30315;30316;30317>,<526;502;501;521;201;202;203;204;205;211;212;213;214;215;221;222;223;224;225;231;232;233;234;235;2101;2102;2103;451;452;19;850;851;gold>,<<cardsIDS;1>;<skinStamps;5>;<starItem;10>;<rarityHeldItem2;0.5>;<rarityHeldItem1;8>;<rarityHeldItem0;4>;<juexingItem;0.8>;<normalItem;70.7>>
2000,5,,,<30101;30102;30103;30104;30105;30106;30201;30202;30203;30204;30205;30206;30207;30208;30209;30301;30302;30303;30304;30305;30306;30307;30308;30309;30310;30311;30312;30313;30314;30315;30316;30317>,<536;502;501;521;201;202;203;204;205;211;212;213;214;215;221;222;223;224;225;231;232;233;234;235;2101;2102;2103;451;452;19;850;851;gold>,<<skinStamps;5>;<starItem;10>;<rarityHeldItem2;0.5>;<rarityHeldItem1;8>;<rarityHeldItem0;4>;<juexingItem;0.8>;<normalItem;76.7>>
3000,5,,,,<4000;4011;4012;4013;4021;4022;4023;4031;4032;4033;4041;4042;4043;4051;4052;4053;4061;4062;4063;4064;4071;4072;4073;4074;4081;4082;4083;4084;4085;4092;4093;4094;4095;4096;5101;5102;5103;5104;5105;5201;5202;5203;5204;5205;5301;5302;5303;5304;5305;5401;5402;5403;5404;5405;5406;5407;5408>,<<explorerID;5>;<explorer5;1>;<explorer4;5>;<explorer2;8>;<explorer2;8>;<explorer1;10>;<normalItem;60>>
4000,5,,<972>,<30425;30101;30102;30103;30104;30105;30106;30201;30202;30203;30204;30205;30206;30207;30208;30209;30301;30302;30303;30304;30305;30306;30307;30308;30309;30310;30311;30312;30313;30314;30315;30316;30317>,<526;502;501;521;201;202;203;204;205;211;212;213;214;215;221;222;223;224;225;231;232;233;234;235;2101;2102;2103;451;452;19;850;851;gold>,<<rarityCard3;2>;<skinStamps;5>;<starItem;10>;<rarityHeldItem3;0.5>;<rarityHeldItem2;0.5>;<rarityHeldItem1;8>;<rarityHeldItem0;4>;<juexingItem;0.8>;<normalItem;69.2>>
5002,5,,,,<4000;4011;4012;4013;4021;4022;4023;4031;4032;4033;4041;4042;4043;4051;4052;4053;4061;4062;4063;4064;4071;4072;4073;4074;5201;5202;5203;5204;5205>,<<explorerID;40>;<explorer4;5.5>;<explorer3;9>;<explorer2;15>;<explorer1;30>>
5101,5,,,<30434;30101;30102;30103;30104;30105;30106;30201;30202;30203;30204;30205;30206;30207;30208;30209;30301;30302;30303;30304;30305;30306;30307;30308;30309;30310;30311;30312;30313;30314;30315;30316;30317>,<536;502;501;521;201;202;203;204;205;211;212;213;214;215;221;222;223;224;225;231;232;233;234;235;2101;2102;2103;451;452;19;850;851;gold>,<<skinStamps;5>;<starItem;10>;<rarityHeldItem2;1>;<rarityHeldItem1;8>;<rarityHeldItem0;4>;<juexingItem;1>;<normalItem;70>>
