VariableName,sceneName_cn,sceneName,sceneName_vn,sceneName_en,sceneName_th,sceneName_in,sceneName_ph,sceneName_ma,sceneName_kr,_beizhu,monsters,boss,icon,gateType,sceneType,sceneCount,roundLimit,deployType,deployCardNumLimit,deployNum,deployNatureLimit,backMusic,backGround,bg_boss,bg_boss_pos,ownerId,onlyClassify,openLevel,preGateID,stars,showLevel,sceneLevel,skillLevel,sceneLevelCorrect,demonCorrect,demonCorrectSelf,dayChallengeMax,staminaCost,cardExp,roleExp,dropIds,gold,desc,desc_tw,desc_en,desc_th,desc_in,desc_ph,desc_ma,desc_vn,desc_kr,sandangAward,worldLevelSaodangAward,forbidMarkID,winAward,star3Award,kssdFlag,chestAward,pos,awardPos,frontWay,monsterRange,finishPoint,isWheel,isQuickSweep,tag,unitID
30602,,Spirit Cleansing,Tắm rửa tinh thần,Spirit Cleansing,ชำระล้างจิตใจ,Pembersihan Roh,Paglilinis ng Diwa,Pembersihan Roh,,,<{unitId=50044;level=47;advance=12};{unitId=53283;level=47;advance=12};{unitId=53772;level=47;advance=12};{unitId=50793;level=47;advance=12};{unitId=50082;level=47;advance=12}>,<{unitId=81503;level=47;advance=12}>,config/portrait/simple/img_1503.png,,6,2,,,,,,,battle/scene/battle_map_7.png,config/big_hero/normal/img_1503.png,,216,,,21001,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,47,395,395,,,,,12,80,60,{5000=0;100=0;19=0},15880,"Heroes with Ghost, Dark, and Psychic attributes will have their Physical and Magic attacks increased by 10%.",,"Heroes with Ghost, Dark, and Psychic attributes will have their Physical and Magic attacks increased by 10%.",ฮีโร่ที่มีคุณลักษณะ ผี ความมืด และจิต จะได้รับการเพิ่มพลังโจมตีทางกายภาพและเวทมนตร์ 10%,"Hero dengan atribut Hantu, Kegelapan, dan Psikis akan mendapatkan peningkatan 10% pada serangan Fisik dan Sihir.","Ang mga bayani na may Ghost, Dark, at Psychic na katangian ay magkakaroon ng +10% sa Physical at Magic attack.","Wira dengan atribut Hantu, Gelap dan Psikik akan mendapat peningkatan 10% dalam Serangan Fizikal dan Magik.","Các anh hùng thuộc tính Ma, Bóng tối và Tâm linh sẽ có đòn tấn công vật lý và phép thuật tăng thêm 10%.",,,,,{850=145;502=1;talent_point=1},{521=1;851=45;talent_point=2},,,{y=500;x=1300},,<<0;0>>,,,,,,81503
30603,,Spirit Cleansing,Tắm rửa tinh thần,Spirit Cleansing,ชำระล้างจิตใจ,Pembersihan Roh,Paglilinis ng Diwa,Pembersihan Roh,,,<{unitId=60972;level=50;advance=12};{unitId=50793;level=50;advance=12};{unitId=61303;level=50;advance=12};{unitId=53472;level=50;advance=12};{unitId=71313;level=50;advance=12};{unitId=50273;level=50;advance=12}>,<{unitId=81893;level=50;advance=12}>,config/portrait/simple/img_1893.png,,6,2,,,,,,,battle/scene/battle_map_7.png,config/big_hero/normal/img_1893.png,,216,,,21001,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,50,409,409,,,,,12,80,60,{5000=0;100=0;19=0},15880,Please pay attention to the heroes' rumors.  ,,Please pay attention to the heroes' rumors.  ,กรุณาใส่ใจกับข่าวลือของเหล่าฮีโร่  ,Harap perhatikan rumor para pahlawan.  ,Pakitandaan ang mga bulung-bulungan tungkol sa mga bayani.  ,Sila beri perhatian kepada khabar angin para wira.  ,Xin hãy chú ý đến những lời đồn đại của các anh hùng,,,,,{850=145;502=1;talent_point=1},{521=1;851=45;talent_point=2},,,{y=736;x=1866},,<<0;0>>,,,,,,81893
30701,,Psychological Trauma,Sang chấn tâm lý,Psychological Trauma,บาดแผลทางจิตใจ,Trauma Psikologis,Pagdurusa sa Isipan,Trauma Psikologi,,,<{unitId=53283;level=55;advance=12};{unitId=53472;level=55;advance=12};{unitId=53293;level=55;advance=12};{unitId=70503;level=55;advance=12};{unitId=50053;level=55;advance=12}>,<{unitId=81941;level=55;advance=12}>,config/portrait/simple/img_1941.png,,6,2,,,,,,,battle/scene/battle_map_9.png,config/big_hero/normal/img_1941.png,,217,,,21003,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,55,416,416,,,,,12,80,60,{5000=0;100=0;19=0},15880,"When you deploy heroes with Ice, Demon, or Ninjutsu attributes, your Physical and Magic attacks will be increased by 10%.  ",,"When you deploy heroes with Ice, Demon, or Ninjutsu attributes, your Physical and Magic attacks will be increased by 10%.  ",เมื่อคุณใช้ฮีโร่ที่มีคุณลักษณะ น้ำแข็ง ปีศาจ หรือ นินจุตสึ พลังโจมตีทางกายภาพและเวทมนตร์จะเพิ่มขึ้น 10%  ,"Saat kamu menggunakan hero dengan atribut Es, Iblis, atau Ninjutsu, serangan Fisik dan Sihirmu akan meningkat 10%.  ","Kapag gumamit ka ng mga bayani na may Ice, Demon, o Ninjutsu na katangian, tataas ng 10% ang iyong Physical at Magic attack.  ","Apabila anda mengatur wira dengan atribut Ais, Iblis atau Ninjutsu, serangan Fizikal dan Magik anda akan meningkat 10%.  ","Khi bạn triển khai các anh hùng có thuộc tính Băng, Ác quỷ hoặc Nhẫn thuật, các đòn tấn công vật lý và phép thuật của bạn sẽ tăng thêm 10%.",,,,,{850=150;502=1;talent_point=1},{521=1;851=50;talent_point=2},,,{y=836;x=766},,<<0;0>>,,,,,,81941
30702,,Psychological Trauma,Sang chấn tâm lý,Psychological Trauma,บาดแผลทางจิตใจ,Trauma Psikologis,Pagdurusa sa Isipan,Trauma Psikologi,,,<{unitId=50552;level=58;advance=12};{unitId=53472;level=58;advance=12};{unitId=52013;level=58;advance=12};{unitId=50082;level=58;advance=12};{unitId=50044;level=58;advance=12}>,<{unitId=81951;level=58;advance=12}>,config/portrait/simple/img_1951.png,,6,2,,,,,,,battle/scene/battle_map_9.png,config/big_hero/normal/img_1951.png,,217,,,21003,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,58,430,430,,,,,12,80,60,{5000=0;100=0;19=0},16090,"Heroes with Wind, Thunder, and Sword attributes will have their Physical and Magic attacks increased by 10%.  ",,"Heroes with Wind, Thunder, and Sword attributes will have their Physical and Magic attacks increased by 10%.  ",ฮีโร่ที่มีคุณลักษณะ ลม สายฟ้า และดาบ จะได้รับการเพิ่มพลังโจมตีทางกายภาพและเวทมนตร์ 10%  ,"Hero dengan atribut Angin, Petir, dan Pedang akan mendapatkan peningkatan 10% pada serangan Fisik dan Sihir.  ","Ang mga bayani na may Wind, Thunder, at Sword na katangian ay magkakaroon ng +10% sa Physical at Magic attack.  ","Wira yang mempunyai atribut Angin, Petir dan Pedang akan mendapat 10% peningkatan Serangan Fizikal dan Magik.  ","Các anh hùng có thuộc tính gió, sét và kiếm sẽ có đòn tấn công vật lý và phép thuật tăng thêm 10%.",,,,,{850=150;502=1;talent_point=1},{521=1;851=50;talent_point=2},,,{y=500;x=1300},,<<0;0>>,,,,,,81951
30703,,Psychological Trauma,Sang chấn tâm lý,Psychological Trauma,บาดแผลทางจิตใจ,Trauma Psikologis,Pagdurusa sa Isipan,Trauma Psikologi,,,<{unitId=61394;level=61;advance=12};{unitId=50493;level=61;advance=12};{unitId=60503;level=61;advance=12};{unitId=52633;level=61;advance=12};{unitId=71931;level=61;advance=12};{unitId=52843;level=61;advance=12}>,<{unitId=82233;level=61;advance=12}>,config/portrait/simple/img_2233.png,,6,2,,,,,,,battle/scene/battle_map_9.png,config/big_hero/normal/img_2233.png,,217,,,21003,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,61,444,444,,,,,12,80,60,{5000=0;100=0;19=0},16090,Please pay attention to the heroes' rumors.  ,,Please pay attention to the heroes' rumors.  ,กรุณาใส่ใจกับข่าวลือของเหล่าฮีโร่  ,Harap perhatikan rumor para pahlawan.  ,Pakitandaan ang mga bulung-bulungan tungkol sa mga bayani.  ,Sila beri perhatian kepada khabar angin para wira.  ,Xin hãy chú ý đến những lời đồn đại của các anh hùng,,,,,{850=150;502=1;talent_point=1},{521=1;851=50;talent_point=2},,,{y=736;x=1866},,<<0;0>>,,,,,,82233
30801,,Reunion with Homeland,Tái ngộ cố hương,Reunion with Homeland,การพบกันอีกครั้งที่บ้านเกิด,Pertemuan Kembali dengan Kampung Halaman,Pagsasama Muli sa Tahanan,Pertemuan Semula dengan Kampung,,,<{unitId=53432;level=66;advance=13};{unitId=50402;level=66;advance=13};{unitId=53342;level=66;advance=13};{unitId=53293;level=66;advance=13};{unitId=52612;level=66;advance=13}>,<{unitId=82401;level=66;advance=13}>,config/portrait/simple/img_2401.png,,6,2,,,,,,,battle/scene/battle_map_5.png,config/big_hero/normal/img_2401.png,,218,,,21101,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,66,451,451,,,,,12,80,60,{5000=0;100=0;19=0},16090,"Heroes with Wind, Thunder, and Light attributes will have their Physical and Magic attacks increased by 10%.  ",,"Heroes with Wind, Thunder, and Light attributes will have their Physical and Magic attacks increased by 10%.  ",ฮีโร่ที่มีคุณลักษณะ ลม สายฟ้า และแสง จะได้รับการเพิ่มพลังโจมตีทางกายภาพและเวทมนตร์ 10%  ,"Hero dengan atribut Angin, Petir, dan Cahaya akan mendapatkan peningkatan 10% pada serangan Fisik dan Sihir.  ","Ang mga bayani na may Wind, Thunder, at Light na katangian ay magkakaroon ng +10% sa Physical at Magic attack.  ","Wira yang mempunyai atribut Angin, Petir dan Cahaya akan mendapat 10% peningkatan Serangan Fizikal dan Magik.  ","Các anh hùng có thuộc tính gió, sét và ánh sáng sẽ có đòn tấn công vật lý và phép thuật tăng thêm 10%.",,,,,{850=155;502=1;talent_point=1},{521=1;851=55;talent_point=2},,,{y=836;x=766},,<<0;0>>,,,,,,82401
30802,,Reunion with Homeland,Tái ngộ cố hương,Reunion with Homeland,การพบกันอีกครั้งที่บ้านเกิด,Pertemuan Kembali dengan Kampung Halaman,Pagsasama Muli sa Tahanan,Pertemuan Semula dengan Kampung,,,<{unitId=50552;level=69;advance=13};{unitId=52013;level=69;advance=13};{unitId=53283;level=69;advance=13};{unitId=52963;level=69;advance=13};{unitId=53432;level=69;advance=13}>,<{unitId=82493;level=69;advance=13}>,config/portrait/simple/img_2493.png,,6,2,,,,,,,battle/scene/battle_map_5.png,config/big_hero/normal/img_2493.png,,218,,,21101,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,69,465,465,,,,,12,80,60,{5000=0;100=0;19=0},16090,"When you deploy heroes with Ice, Demon, or Darkness attributes, your Physical and Magic attacks will be increased by 10%.  ",,"When you deploy heroes with Ice, Demon, or Darkness attributes, your Physical and Magic attacks will be increased by 10%.  ",เมื่อคุณใช้ฮีโร่ที่มีคุณลักษณะ น้ำแข็ง ปีศาจ หรือ ความมืด พลังโจมตีทางกายภาพและเวทมนตร์จะเพิ่มขึ้น 10%  ,"Saat kamu menggunakan hero dengan atribut Es, Iblis, atau Kegelapan, serangan Fisik dan Sihirmu akan meningkat 10%.  ","Kapag gumamit ka ng mga bayani na may Ice, Demon, o Dark na katangian, tataas ng 10% ang iyong Physical at Magic attack.  ","Apabila anda mengatur wira dengan atribut Ais, Iblis atau Gelap, serangan Fizikal dan Magik anda akan meningkat 10%.  ","Khi bạn triển khai các anh hùng có thuộc tính băng, quỷ hoặc bóng tối, các đòn tấn công vật lý và phép thuật của bạn sẽ tăng thêm 10%.",,,,,{850=155;502=1;talent_point=1},{521=1;851=55;talent_point=2},,,{y=500;x=1300},,<<0;0>>,,,,,,82493
30803,,Reunion with Homeland,Tái ngộ cố hương,Reunion with Homeland,การพบกันอีกครั้งที่บ้านเกิด,Pertemuan Kembali dengan Kampung Halaman,Pagsasama Muli sa Tahanan,Pertemuan Semula dengan Kampung,,,<{unitId=60503;level=72;advance=13};{unitId=53293;level=72;advance=13};{unitId=63543;level=72;advance=13};{unitId=53432;level=72;advance=13};{unitId=71231;level=72;advance=13};{unitId=53342;level=72;advance=13}>,<{unitId=83021;level=72;advance=13}>,config/portrait/simple/img_3021.png,,6,2,,,,,,,battle/scene/battle_map_5.png,config/big_hero/normal/img_3021.png,,218,,,21101,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,72,479,479,,,,,12,80,60,{5000=0;100=0;19=0},16090,Please pay attention to the heroes' rumors.  ,,Please pay attention to the heroes' rumors.  ,กรุณาใส่ใจกับข่าวลือของเหล่าฮีโร่  ,Harap perhatikan rumor para pahlawan.  ,Pakitandaan ang mga bulung-bulungan tungkol sa mga bayani.  ,Sila beri perhatian kepada khabar angin para wira.  ,Xin hãy chú ý đến những lời đồn đại của các anh hùng,,,,,{850=155;502=1;talent_point=1},{521=1;851=55;talent_point=2},,,{y=736;x=1866},,<<0;0>>,,,,,,83021
30901,,Soul Salvation,Sự cứu rỗi linh hồn,Soul Salvation,การไถ่บาปของจิตวิญญาณ,Penyelamatan Jiwa,Pagliligtas ng Kaluluwa,Penyelamatan Jiwa,,,<{unitId=52683;level=77;advance=13};{unitId=50552;level=77;advance=13};{unitId=52013;level=77;advance=13};{unitId=50552;level=77;advance=13};{unitId=53511;level=77;advance=13}>,<{unitId=83143;level=77;advance=13}>,config/portrait/simple/img_3143.png,,6,2,,,,,,,battle/scene/battle_map_10.png,config/big_hero/normal/img_3143.png,,219,,,21201,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,77,486,486,,,,,12,80,60,{5000=0;100=0;19=0},16300,"Heroes with Poison, Earth, and Fire attributes will have their Physical and Magic attacks increased by 10%.  ",,"Heroes with Poison, Earth, and Fire attributes will have their Physical and Magic attacks increased by 10%.  ",ฮีโร่ที่มีคุณลักษณะ พิษ ดิน และไฟ จะได้รับการเพิ่มพลังโจมตีทางกายภาพและเวทมนตร์ 10%  ,"Hero dengan atribut Racun, Tanah, dan Api akan mendapatkan peningkatan 10% pada serangan Fisik dan Sihir.  ","Ang mga bayani na may Poison, Earth, at Fire na katangian ay magkakaroon ng +10% sa Physical at Magic attack.  ","Wira yang mempunyai atribut Racun, Tanah dan Api akan mendapat 10% peningkatan Serangan Fizikal dan Magik.  ","Các anh hùng thuộc tính độc, đất và lửa sẽ có đòn tấn công vật lý và phép thuật tăng 10%.",,,,,{850=160;502=1;talent_point=1},{521=1;851=60;talent_point=2},,,{y=836;x=766},,<<0;0>>,,,,,,83143
30902,,Soul Salvation,Sự cứu rỗi linh hồn,Soul Salvation,การไถ่บาปของจิตวิญญาณ,Penyelamatan Jiwa,Pagliligtas ng Kaluluwa,Penyelamatan Jiwa,,,<{unitId=52963;level=80;advance=13};{unitId=53432;level=80;advance=13};{unitId=50082;level=80;advance=13};{unitId=52963;level=80;advance=13};{unitId=53283;level=80;advance=13}>,<{unitId=83171;level=80;advance=13}>,config/portrait/simple/img_3171.png,,6,2,,,,,,,battle/scene/battle_map_10.png,config/big_hero/normal/img_3171.png,,219,,,21201,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,80,493,493,,,,,12,80,60,{5000=0;100=0;19=0},16300,"Heroes with Wind, Thunder, and Ice attributes will have their Physical and Magic attacks increased by 10%.  ",,"Heroes with Wind, Thunder, and Ice attributes will have their Physical and Magic attacks increased by 10%.  ",ฮีโร่ที่มีคุณลักษณะ ลม สายฟ้า และน้ำแข็ง จะได้รับการเพิ่มพลังโจมตีทางกายภาพและเวทมนตร์ 10%  ,"Hero dengan atribut Angin, Petir, dan Es akan mendapatkan peningkatan 10% pada serangan Fisik dan Sihir.  ","Ang mga bayani na may Wind, Thunder, at Ice na katangian ay magkakaroon ng +10% sa Physical at Magic attack.  ","Wira yang mempunyai atribut Angin, Petir dan Ais akan mendapat 10% peningkatan Serangan Fizikal dan Magik.  ","Các anh hùng có thuộc tính gió, sét và băng sẽ có đòn tấn công vật lý và phép thuật tăng thêm 10%.",,,,,{850=160;502=1;talent_point=1},{521=1;851=60;talent_point=2},,,{y=500;x=1300},,<<0;0>>,,,,,,83171
30903,,Soul Salvation,Sự cứu rỗi linh hồn,Soul Salvation,การไถ่บาปของจิตวิญญาณ,Penyelamatan Jiwa,Pagliligtas ng Kaluluwa,Penyelamatan Jiwa,,,<{unitId=60883;level=83;advance=13};{unitId=60503;level=83;advance=13};{unitId=61903;level=83;advance=13};{unitId=52963;level=83;advance=13};{unitId=73021;level=83;advance=13};{unitId=52633;level=83;advance=13}>,<{unitId=83303;level=83;advance=13}>,config/portrait/simple/img_3303.png,,6,2,,,,,,,battle/scene/battle_map_10.png,config/big_hero/normal/img_3303.png,,219,,,21201,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,83,503,503,,,,,12,80,60,{5000=0;100=0;19=0},16300,Please pay attention to the heroes' rumors.  ,,Please pay attention to the heroes' rumors.  ,กรุณาใส่ใจกับข่าวลือของเหล่าฮีโร่  ,Harap perhatikan rumor para pahlawan.  ,Pakitandaan ang mga bulung-bulungan tungkol sa mga bayani.  ,Sila beri perhatian kepada khabar angin para wira.  ,Xin hãy chú ý đến những lời đồn đại của các anh hùng,,,,,{850=160;502=1;talent_point=1},{521=1;851=60;talent_point=2},,,{y=736;x=1866},,<<0;0>>,,,,,,83303
31001,,Make Friends,Kết bạn,Make Friends,ทำความรู้จัก,Berteman,Pagkaibigan,Berkawan,,,<{unitId=50273;level=92;advance=13};{unitId=52633;level=92;advance=13};{unitId=52633;level=92;advance=13};{unitId=53472;level=92;advance=13};{unitId=53683;level=92;advance=13}>,<{unitId=83353;level=92;advance=13}>,config/portrait/simple/img_3353.png,,6,2,,,,,,,battle/scene/battle_map_11.png,config/big_hero/normal/img_3353.png,,220,,,21301,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,92,510,510,,,,,12,80,60,{5000=0;100=0;19=0},16300,"Heroes specializing in Combat, Sword, and Ninjutsu will receive a 10% boost in Physical and Magic power.  ",,"Heroes specializing in Combat, Sword, and Ninjutsu will receive a 10% boost in Physical and Magic power.  ",ฮีโร่ที่เชี่ยวชาญด้านการต่อสู้ ดาบ และนินจุตสึ จะได้รับพลังโจมตีทางกายภาพและเวทมนตร์เพิ่มขึ้น 10%  ,"Hero yang ahli dalam Pertarungan, Pedang, dan Ninjutsu akan mendapatkan peningkatan 10% dalam kekuatan Fisik dan Sihir.  ","Ang mga bayani na gumagamit ng Labanan, Espada, at Ninjutsu ay makakatanggap ng +10% sa Physical at Magic power.  ","Wira yang menggunakan Pertarungan, Pedang dan Ninjutsu akan menerima tambahan 10% dalam kuasa Fizikal dan Magik.  ","Các anh hùng chiến đấu, sử dụng kiếm và nhẫn thuật sẽ được tăng thêm 10% sức mạnh vật lý và phép thuật.",,,,,{850=165;502=1;talent_point=1},{521=1;851=65;talent_point=2},,,{y=836;x=766},,<<0;0>>,,,,,,83353
31002,,Make Friends,Kết bạn,Make Friends,ทำความรู้จัก,Berteman,Pagkaibigan,Berkawan,,,<{unitId=53472;level=95;advance=13};{unitId=52963;level=95;advance=13};{unitId=52633;level=95;advance=13};{unitId=53683;level=95;advance=13};{unitId=50053;level=95;advance=13}>,<{unitId=83673;level=95;advance=13}>,config/portrait/simple/img_3673.png,,6,2,,,,,,,battle/scene/battle_map_11.png,config/big_hero/normal/img_3673.png,,220,,,21301,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,95,517,517,,,,,12,80,60,{5000=0;100=0;19=0},16300,"Deploying heroes with Earth, Rock, or Water attributes increases Physical and Magic attacks by 10%.  ",,"Deploying heroes with Earth, Rock, or Water attributes increases Physical and Magic attacks by 10%.  ",เมื่อใช้ฮีโร่ที่มีคุณลักษณะ ดิน หิน หรือ น้ำ การโจมตีทางกายภาพและเวทมนตร์จะเพิ่มขึ้น 10%  ,"Menggunakan hero dengan atribut Tanah, Batu, atau Air akan meningkatkan serangan Fisik dan Sihir sebesar 10%.  ","Kapag gumamit ng bayani na may Earth, Rock, o Water na katangian, tataas ang Physical at Magic attack ng 10%.  ","Apabila mengatur wira yang mempunyai atribut Tanah, Batu atau Air, serangan Fizikal dan Magik akan meningkat sebanyak 10%.  ","Khi triển khai anh hùng thuộc tính đất, đá hoặc nước, các đòn tấn công vật lý và phép thuật sẽ tăng thêm 10%.",,,,,{850=165;502=1;talent_point=1},{521=1;851=65;talent_point=2},,,{y=500;x=1300},,<<0;0>>,,,,,,83673
31003,,Make Friends,Kết bạn,Make Friends,ทำความรู้จัก,Berteman,Pagkaibigan,Berkawan,,,<{unitId=62023;level=98;advance=13};{unitId=52633;level=98;advance=13};{unitId=63543;level=98;advance=13};{unitId=50493;level=98;advance=13};{unitId=71221;level=98;advance=13};{unitId=52073;level=98;advance=13}>,<{unitId=87001;level=98;advance=13}>,config/portrait/simple/img_7001.png,,6,2,,,,,,,battle/scene/battle_map_11.png,config/big_hero/normal/img_7001.png,,220,,,21301,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,98,527,527,,,,,12,80,60,{5000=0;100=0;19=0},16510,Please pay attention to the heroes' rumors.  ,,Please pay attention to the heroes' rumors.  ,กรุณาใส่ใจกับข่าวลือของเหล่าฮีโร่  ,Harap perhatikan rumor para pahlawan.  ,Pakitandaan ang mga bulung-bulungan tungkol sa mga bayani.  ,Sila beri perhatian kepada khabar angin para wira.  ,Xin hãy chú ý đến những lời đồn đại của các anh hùng,,,,,{850=165;502=1;talent_point=1},{521=1;851=65;talent_point=2},,,{y=736;x=1866},,<<0;0>>,,,,,,87001
31101,,New Home,Tổ ấm mới,New Home,บ้านใหม่,Rumah Baru,Bagong Tahanan,Rumah Baru,,,<{unitId=52843;level=107;advance=14};{unitId=53293;level=107;advance=14};{unitId=53772;level=107;advance=14};{unitId=71303;level=107;advance=14};{unitId=50273;level=107;advance=14}>,<{unitId=80263;level=107;advance=14}>,config/portrait/simple/img_263.png,,6,2,,,,,,,battle/scene/battle_map_12.png,config/big_hero/normal/img_263.png,,221,,,21401,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,107,533,533,,,,,12,80,60,{5000=0;100=0;19=0},16510,"When you deploy heroes with Ice, Demon, or Ninjutsu attributes, your Physical and Magic attacks will be increased by 10%.  ",,"When you deploy heroes with Ice, Demon, or Ninjutsu attributes, your Physical and Magic attacks will be increased by 10%.  ",เมื่อคุณใช้ฮีโร่ที่มีคุณลักษณะ น้ำแข็ง ปีศาจ หรือ นินจุตสึ พลังโจมตีทางกายภาพและเวทมนตร์จะเพิ่มขึ้น 10%  ,"Saat kamu menggunakan hero dengan atribut Es, Iblis, atau Ninjutsu, serangan Fisik dan Sihirmu akan meningkat 10%.  ","Kapag gumamit ka ng mga bayani na may Ice, Demon, o Ninjutsu na katangian, tataas ng 10% ang iyong Physical at Magic attack.  ","Apabila anda mengatur wira dengan atribut Ais, Iblis atau Ninjutsu, serangan Fizikal dan Magik anda akan meningkat 10%.  ","Khi bạn triển khai các anh hùng có thuộc tính Băng, Ác quỷ hoặc Nhẫn thuật, các đòn tấn công vật lý và phép thuật của bạn sẽ tăng thêm 10%.",,,,,{850=170;502=1;talent_point=1},{521=1;851=70;talent_point=2},,,{y=736;x=766},,<<0;0>>,,,,,,80263
31102,,New Home,Tổ ấm mới,New Home,บ้านใหม่,Rumah Baru,Bagong Tahanan,Rumah Baru,,,<{unitId=52843;level=110;advance=14};{unitId=50053;level=110;advance=14};{unitId=50692;level=110;advance=14};{unitId=53293;level=110;advance=14};{unitId=72401;level=110;advance=14};{unitId=53683;level=110;advance=14}>,<{unitId=80393;level=110;advance=14}>,config/portrait/simple/img_393.png,,6,2,,,,,,,battle/scene/battle_map_12.png,config/big_hero/normal/img_393.png,,221,,,21401,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,110,539,539,,,,,12,80,60,{5000=0;100=0;19=0},16510,"Heroes with Combat, Rock, and Mechanic attributes will receive an additional 10% in Physical and Magic power.  ",,"Heroes with Combat, Rock, and Mechanic attributes will receive an additional 10% in Physical and Magic power.  ",ฮีโร่ที่มีคุณลักษณะ การต่อสู้ หิน และเครื่องกล จะได้รับพลังทางกายภาพและเวทมนตร์เพิ่มขึ้นอีก 10%  ,"Hero dengan atribut Pertarungan, Batu, dan Mesin akan mendapatkan tambahan 10% kekuatan Fisik dan Sihir.  ","Ang mga bayani na may Combat, Rock, at Mechanical na katangian ay makakatanggap ng karagdagang 10% sa Physical at Magic power.  ","Wira dengan atribut Pertarungan, Batu dan Mekanik akan menerima tambahan 10% dalam kuasa Fizikal dan Magik.  ","Các anh hùng thuộc tính Chiến đấu, Đá và Cơ học sẽ nhận được thêm 10% sức mạnh vật lý và phép thuật.",,,,,{850=170;502=1;talent_point=1},{521=1;851=70;talent_point=2},,,{y=400;x=1200},,<<0;0>>,,,,,,80393
31103,,New Home,Tổ ấm mới,New Home,บ้านใหม่,Rumah Baru,Bagong Tahanan,Rumah Baru,,,<{unitId=60883;level=113;advance=14};{unitId=50013;level=113;advance=14};{unitId=60712;level=113;advance=14};{unitId=60163;level=113;advance=14};{unitId=72033;level=113;advance=14};{unitId=63003;level=113;advance=14}>,<{unitId=80572;level=113;advance=14}>,config/portrait/simple/img_572.png,,6,2,,,,,,,battle/scene/battle_map_12.png,config/big_hero/normal/img_572.png,,221,,,21401,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,113,545,545,,,,,12,80,60,{5000=0;100=0;19=0},16510,"Heroes with Ghost, Darkness, and Psychic attributes will have their Physical and Magic attacks increased by 10%.  ",,"Heroes with Ghost, Darkness, and Psychic attributes will have their Physical and Magic attacks increased by 10%.  ",ฮีโร่ที่มีคุณลักษณะ ผี ความมืด และจิต จะได้รับการเพิ่มพลังโจมตีทางกายภาพและเวทมนตร์ 10%  ,"Hero dengan atribut Hantu, Kegelapan, dan Psikis akan mendapatkan peningkatan 10% pada serangan Fisik dan Sihir.  ","Ang mga bayani na may Ghost, Dark, at Psychic na katangian ay magkakaroon ng +10% sa Physical at Magic attack.  ","Wira dengan atribut Hantu, Gelap dan Psikik akan mendapat peningkatan 10% dalam Serangan Fizikal dan Magik.  ","Các anh hùng thuộc tính Ma, Bóng tối và Tâm linh sẽ có đòn tấn công vật lý và phép thuật tăng thêm 10%.",,,,,{850=170;502=1;talent_point=1},{521=1;851=70;talent_point=2},,,{y=500;x=1900},,<<0;0>>,,,,,,80572
31104,,New Home,Tổ ấm mới,New Home,บ้านใหม่,Rumah Baru,Bagong Tahanan,Rumah Baru,,,<{unitId=60741;level=122;advance=14};{unitId=61772;level=122;advance=14};{unitId=60242;level=122;advance=14};{unitId=60611;level=122;advance=14};{unitId=70741;level=122;advance=14};{unitId=63663;level=122;advance=14}>,<{unitId=80701;level=122;advance=14}>,config/portrait/simple/img_701.png,,6,2,,,,,,,battle/scene/battle_map_12.png,config/big_hero/normal/img_701.png,,221,,,21401,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,122,555,555,,,,,12,80,60,{5000=0;100=0;19=0},16510,Please pay attention to the heroes' rumors.,,Please pay attention to the heroes' rumors.,กรุณาใส่ใจกับข่าวลือของเหล่าฮีโร่,Harap perhatikan rumor para pahlawan.,Pakitandaan ang mga bulung-bulungan tungkol sa mga bayani.,Sila beri perhatian kepada khabar angin para wira.,Xin hãy chú ý đến những lời đồn đại của các anh hùng,,,,,{850=170;502=1;talent_point=1},{521=1;851=70;talent_point=2},,,{y=886;x=1566},,<<0;0>>,,,,,,80701
