VariableName,name_cn,name_tw,name,name_vn,name_ma,name_en,name_in,name_th,name_ph,name_kr,desc_cn,desc_tw,desc,desc_vn,desc_ma,desc_en,desc_in,desc_th,desc_ph,desc_kr,targetType,targetArg,targetArg2,attrNatureType,attrType,attrValue,languages
62,,,Collect 12 heroes,Thu thập 12 anh hùng.,Kumpul 12 wira,Collect 12 heroes,Kumpulkan 12 pahlawan,รวบรวมฮีโร่ 12 ตัว,Kolektahin ang 12 bayani,,,,#C0xFF5B545B#Increase undead-type damage for all generals#C0xD38D22#1%,#C0xFF5B545B#Tăng sát thương hệ vong linh cho toàn bộ tướng#C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerosakan jenis undead untuk semua jeneral#C0xD38D22#1%,#C0xFF5B545B#Increase undead-type damage for all generals#C0xD38D22#1%,#C0xFF5B545B#Tingkatkan damage tipe undead untuk semua jenderal#C0xD38D22#1%,#C0xFF5B545B#เพิ่มความเสียหายประเภทอันเดดให้กับแม่ทัพทั้งหมด#C0xD38D22#1%,#C0xFF5B545B#Dagdagan ang Undead-type na pinsala sa lahat ng heneral#C0xD38D22#1%,,2,12,14,,49,100,
63,,,Collect 15 heroes,Thu thập 15 anh hùng,Kumpul 15 wira,Collect 15 heroes,Kumpulkan 15 pahlawan,รวบรวมฮีโร่ 15 ตัว,Kolektahin ang 15 bayani,,,,#C0xFF5B545B#Increase Undead-type damage for all generals#C0xD38D22#1%,#C0xFF5B545B#Tăng sát thương hệ Vong Linh cho toàn bộ tướng#C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerosakan jenis Undead untuk semua jeneral#C0xD38D22#1%,#C0xFF5B545B#Increase Undead-type damage for all generals#C0xD38D22#1%,#C0xFF5B545B#Tingkatkan damage tipe Undead untuk semua jenderal#C0xD38D22#1%,#C0xFF5B545B#เพิ่มความเสียหายประเภทอันเดดให้กับแม่ทัพทั้งหมด#C0xD38D22#1%,#C0xFF5B545B#Dagdagan ang Undead-type na pinsala sa lahat ng heneral#C0xD38D22#1%,,2,15,14,,49,100,
64,,,Collect 3 heroes,Thu thập 3 anh hùng,Kumpul 3 wira,Collect 3 heroes,Kumpulkan 3 pahlawan,รวบรวมฮีโร่ 3 ตัว,Kolektahin ang 3 bayani,,,,#C0xFF5B545B#All Demon-type generals gain extra damage#C0xD38D22#1%,#C0xFF5B545B#Tất cả tướng hệ Ma Thần được tăng thêm sát thương#C0xD38D22#1%,#C0xFF5B545B#Semua jeneral jenis Syaitan mendapat tambahan kerosakan#C0xD38D22#1%,#C0xFF5B545B#All Demon-type generals gain extra damage#C0xD38D22#1%,#C0xFF5B545B#Semua jenderal tipe Iblis mendapat tambahan damage#C0xD38D22#1%,#C0xFF5B545B#แม่ทัพสายปีศาจทั้งหมดได้รับความเสียหายเพิ่มขึ้น#C0xD38D22#1%,#C0xFF5B545B#Lahat ng Demon-type na heneral ay may dagdag na pinsala#C0xD38D22#1%,,2,3,15,,50,100,
65,,,Collect 6 heroes,Thu thập 6 anh hùng,Kumpul 6 wira,Collect 6 heroes,Kumpulkan 6 pahlawan,รวบรวมฮีโร่ 6 ตัว,Kolektahin ang 6 bayani,,,,#C0xFF5B545B#Increase Demon-type damage for all heroes#C0xD38D22#1%,#C0xFF5B545B#Tăng sát thương hệ Ma Thần cho toàn bộ anh hùng#C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerosakan jenis Syaitan untuk semua wira#C0xD38D22#1%,#C0xFF5B545B#Increase Demon-type damage for all heroes#C0xD38D22#1%,#C0xFF5B545B#Tingkatkan damage tipe Iblis untuk semua pahlawan#C0xD38D22#1%,#C0xFF5B545B#เพิ่มความเสียหายประเภทปีศาจให้กับฮีโร่ทั้งหมด#C0xD38D22#1%,#C0xFF5B545B#Dagdagan ang Demon-type na pinsala sa lahat ng bayani#C0xD38D22#1%,,2,6,15,,50,100,
66,,,Collect 12 heroes,Thu thập 12 anh hùng.,Kumpul 12 wira,Collect 12 heroes,Kumpulkan 12 pahlawan,รวบรวมฮีโร่ 12 ตัว,Kolektahin ang 12 bayani,,,,#C0xFF5B545B#All Demon-type generals gain extra damage#C0xD38D22#1%,#C0xFF5B545B#Tất cả tướng hệ Ma Thần được tăng thêm sát thương#C0xD38D22#1%,#C0xFF5B545B#Semua jeneral jenis Syaitan mendapat tambahan kerosakan#C0xD38D22#1%,#C0xFF5B545B#All Demon-type generals gain extra damage#C0xD38D22#1%,#C0xFF5B545B#Semua jenderal tipe Iblis mendapat tambahan damage#C0xD38D22#1%,#C0xFF5B545B#แม่ทัพสายปีศาจทั้งหมดได้รับความเสียหายเพิ่มขึ้น#C0xD38D22#1%,#C0xFF5B545B#Lahat ng Demon-type na heneral ay may dagdag na pinsala#C0xD38D22#1%,,2,12,15,,50,100,
67,,,Collect 18 heroes,Thu thập 18 anh hùng.,Kumpul 18 wira,Collect 18 heroes,Kumpulkan 18 pahlawan,รวบรวมฮีโร่ 18 ตัว,Kolektahin ang 18 bayani,,,,#C0xFF5B545B#All Demon-type generals gain extra damage#C0xD38D22#1%,#C0xFF5B545B#Tất cả tướng hệ Ma Thần tăng thêm sát thương#C0xD38D22#1%,#C0xFF5B545B#Semua jeneral jenis Syaitan mendapat tambahan kerosakan#C0xD38D22#1%,#C0xFF5B545B#All Demon-type generals gain extra damage#C0xD38D22#1%,#C0xFF5B545B#Semua jenderal tipe Iblis mendapat tambahan damage#C0xD38D22#1%,#C0xFF5B545B#แม่ทัพสายปีศาจทั้งหมดได้รับความเสียหายเพิ่มขึ้น#C0xD38D22#1%,#C0xFF5B545B#Lahat ng Demon-type na heneral ay may dagdag na pinsala#C0xD38D22#1%,,2,18,15,,50,100,
68,,,Collect 3 heroes,Thu thập 3 anh hùng,Kumpul 3 wira,Collect 3 heroes,Kumpulkan 3 pahlawan,รวบรวมฮีโร่ 3 ตัว,Kolektahin ang 3 bayani,,,,#C0xFF5B545B#All generals gain extra dark damage#C0xD38D22#1%,#C0xFF5B545B#Tất cả tướng được tăng thêm sát thương bóng tối#C0xD38D22#1%,#C0xFF5B545B#Semua jeneral mendapat tambahan kerosakan gelap#C0xD38D22#1%,#C0xFF5B545B#All generals gain extra dark damage#C0xD38D22#1%,#C0xFF5B545B#Semua jenderal mendapat tambahan damage gelap#C0xD38D22#1%,#C0xFF5B545B#แม่ทัพทั้งหมดได้รับความเสียหายธาตุความมืดเพิ่ม#C0xD38D22#1%,#C0xFF5B545B#Lahat ng heneral ay may dagdag na dark damage#C0xD38D22#1%,,2,3,16,,51,100,
69,,,Collect 6 heroes,Thu thập 6 anh hùng,Kumpul 6 wira,Collect 6 heroes,Kumpulkan 6 pahlawan,รวบรวมฮีโร่ 6 ตัว,Kolektahin ang 6 bayani,,,,#C0xFF5B545B#Increase dark damage for all heroes#C0xD38D22#1%,#C0xFF5B545B#Tăng sát thương bóng tối cho toàn bộ anh hùng#C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerosakan gelap untuk semua wira#C0xD38D22#1%,#C0xFF5B545B#Increase dark damage for all heroes#C0xD38D22#1%,#C0xFF5B545B#Tingkatkan damage gelap untuk semua pahlawan#C0xD38D22#1%,#C0xFF5B545B#เพิ่มความเสียหายธาตุความมืดให้กับฮีโร่ทั้งหมด#C0xD38D22#1%,#C0xFF5B545B#Dagdagan ang dark damage sa lahat ng bayani#C0xD38D22#1%,,2,6,16,,51,100,
70,,,Collect 9 heroes,Thu thập 9 anh hùng.,Kumpul 9 wira,Collect 9 heroes,Kumpulkan 9 pahlawan,รวบรวมฮีโร่ 9 ตัว,Kolektahin ang 9 bayani,,,,#C0xFF5B545B#Increase dark damage for all heroes by #C0xD38D22#1%,#C0xFF5B545B#Tăng sát thương bóng tối cho toàn bộ anh hùng thêm #C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerosakan gelap untuk semua wira sebanyak #C0xD38D22#1%,#C0xFF5B545B#Increase dark damage for all heroes by #C0xD38D22#1%,#C0xFF5B545B#Tingkatkan damage gelap untuk semua pahlawan sebesar #C0xD38D22#1%,#C0xFF5B545B#เพิ่มความเสียหายธาตุความมืดให้ฮีโร่ทั้งหมดอีก #C0xD38D22#1%,#C0xFF5B545B#Dagdagan ang dark damage sa lahat ng bayani ng #C0xD38D22#1%,,2,9,16,,51,100,
71,,,Collect 15 heroes collected,Thu thập đủ 15 anh hùng.,Kumpul 15 wira lengkap,Collect 15 heroes collected,Kumpulkan 15 pahlawan lengkap,รวบรวมฮีโร่ครบ 15 ตัว,Kolektahin ang 15 bayani kumpleto,,,,#C0xFF5B545B#Increase dark damage for all heroes by #C0xD38D22#1%,#C0xFF5B545B#Tăng sát thương bóng tối cho toàn bộ anh hùng thêm #C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerosakan gelap untuk semua wira sebanyak #C0xD38D22#1%,#C0xFF5B545B#Increase dark damage for all heroes by #C0xD38D22#1%,#C0xFF5B545B#Tingkatkan damage gelap untuk semua pahlawan sebesar #C0xD38D22#1%,#C0xFF5B545B#เพิ่มความเสียหายธาตุความมืดให้ฮีโร่ทั้งหมดอีก #C0xD38D22#1%,#C0xFF5B545B#Dagdagan ang dark damage sa lahat ng bayani ng #C0xD38D22#1%,,2,15,16,,51,100,
72,,,Collect 3 heroes,Thu thập 3 anh hùng,Kumpul 3 wira,Collect 3 heroes,Kumpulkan 3 pahlawan,รวบรวมฮีโร่ 3 ตัว,Kolektahin ang 3 bayani,,,,#C0xFF5B545B#All Mecha-type generals gain extra damage#C0xD38D22#1%,#C0xFF5B545B#Toàn bộ tướng hệ Cơ Giới tăng thêm sát thương#C0xD38D22#1%,#C0xFF5B545B#Semua jeneral jenis Mekanik mendapat tambahan kerosakan#C0xD38D22#1%,#C0xFF5B545B#All Mecha-type generals gain extra damage#C0xD38D22#1%,#C0xFF5B545B#Semua jenderal tipe Mesin mendapat tambahan damage#C0xD38D22#1%,#C0xFF5B545B#แม่ทัพสายจักรกลทั้งหมดได้รับความเสียหายเพิ่มขึ้น#C0xD38D22#1%,#C0xFF5B545B#Lahat ng Mecha-type na heneral ay may dagdag na pinsala#C0xD38D22#1%,,2,3,17,,52,100,
73,,,Collect 6 heroes,Thu thập 6 anh hùng,Kumpul 6 wira,Collect 6 heroes,Kumpulkan 6 pahlawan,รวบรวมฮีโร่ 6 ตัว,Kolektahin ang 6 bayani,,,,#C0xFF5B545B#All Mecha-type generals increase damage#C0xD38D22#1%,#C0xFF5B545B#Toàn bộ tướng hệ Cơ Giới tăng sát thương#C0xD38D22#1%,#C0xFF5B545B#Semua jeneral jenis Mekanik meningkatkan kerosakan#C0xD38D22#1%,#C0xFF5B545B#All Mecha-type generals increase damage#C0xD38D22#1%,#C0xFF5B545B#Semua jenderal tipe Mesin meningkatkan damage#C0xD38D22#1%,#C0xFF5B545B#แม่ทัพสายจักรกลทั้งหมดเพิ่มความเสียหาย#C0xD38D22#1%,#C0xFF5B545B#Lahat ng Mecha-type na heneral ay nadagdagan ang pinsala#C0xD38D22#1%,,2,6,17,,52,100,
74,,,Collect 12 heroes,Thu thập 12 anh hùng.,Kumpul 12 wira,Collect 12 heroes,Kumpulkan 12 pahlawan,รวบรวมฮีโร่ 12 ตัว,Kolektahin ang 12 bayani,,,,#C0xFF5B545B#All generals of Mecha-type gain extra damage#C0xD38D22#1%,#C0xFF5B545B#Toàn bộ tướng thuộc hệ Cơ Giới tăng thêm sát thương#C0xD38D22#1%,#C0xFF5B545B#Semua jeneral jenis Mekanik mendapat tambahan kerosakan#C0xD38D22#1%,#C0xFF5B545B#All generals of Mecha-type gain extra damage#C0xD38D22#1%,#C0xFF5B545B#Semua jenderal tipe Mesin mendapat tambahan damage#C0xD38D22#1%,#C0xFF5B545B#แม่ทัพสายจักรกลทั้งหมดได้รับความเสียหายเพิ่มขึ้น#C0xD38D22#1%,#C0xFF5B545B#Lahat ng Mecha-type na heneral ay may dagdag na pinsala#C0xD38D22#1%,,2,12,17,,52,100,
75,,,Collect 18 heroes,Thu thập 18 anh hùng.,Kumpul 18 wira,Collect 18 heroes,Kumpulkan 18 pahlawan,รวบรวมฮีโร่ 18 ตัว,Kolektahin ang 18 bayani,,,,#C0xFF5B545B#All Machine-type generals increase damage#C0xD38D22#1%,#C0xFF5B545B#Toàn bộ tướng hệ Máy móc tăng sát thương#C0xD38D22#1%,#C0xFF5B545B#Semua jeneral jenis Mesin meningkatkan kerosakan#C0xD38D22#1%,#C0xFF5B545B#All Machine-type generals increase damage#C0xD38D22#1%,#C0xFF5B545B#Semua jenderal tipe Mesin meningkatkan damage#C0xD38D22#1%,#C0xFF5B545B#แม่ทัพสายเครื่องจักรทั้งหมดเพิ่มความเสียหาย#C0xD38D22#1%,#C0xFF5B545B#Lahat ng Machine-type na heneral ay nadagdagan ang pinsala#C0xD38D22#1%,,2,18,17,,52,100,
76,,,Collect 3 heroes,Thu thập 3 anh hùng,Kumpul 3 wira,Collect 3 heroes,Kumpulkan 3 pahlawan,รวบรวมฮีโร่ 3 ตัว,Kolektahin ang 3 bayani,,,,#C0xFF5B545B#Increase Ninjutsu-type damage for all generals#C0xD38D22#1%,#C0xFF5B545B#Tăng sát thương hệ Nhẫn Thuật cho toàn bộ tướng#C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerosakan jenis Ninjutsu untuk semua jeneral#C0xD38D22#1%,#C0xFF5B545B#Increase Ninjutsu-type damage for all generals#C0xD38D22#1%,#C0xFF5B545B#Tingkatkan damage tipe Ninjutsu untuk semua jenderal#C0xD38D22#1%,#C0xFF5B545B#เพิ่มความเสียหายประเภทนินจุตสึให้กับแม่ทัพทั้งหมด#C0xD38D22#1%,#C0xFF5B545B#Dagdagan ang Ninjutsu-type na pinsala sa lahat ng heneral#C0xD38D22#1%,,2,3,18,,53,100,
77,,,Collect 6 heroes,Thu thập 6 anh hùng,Kumpul 6 wira,Collect 6 heroes,Kumpulkan 6 pahlawan,รวบรวมฮีโร่ 6 ตัว,Kolektahin ang 6 bayani,,,,#C0xFF5B545B#Increase ninjutsu-type damage for all generals#C0xD38D22#1%,#C0xFF5B545B#Tăng sát thương hệ nhẫn thuật cho toàn bộ tướng#C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerosakan jenis ninjutsu untuk semua jeneral#C0xD38D22#1%,#C0xFF5B545B#Increase ninjutsu-type damage for all generals#C0xD38D22#1%,#C0xFF5B545B#Tingkatkan damage tipe ninjutsu untuk semua jenderal#C0xD38D22#1%,#C0xFF5B545B#เพิ่มความเสียหายประเภทนินจุตสึให้กับแม่ทัพทั้งหมด#C0xD38D22#1%,#C0xFF5B545B#Dagdagan ang Ninjutsu-type na pinsala sa lahat ng heneral#C0xD38D22#1%,,2,6,18,,53,100,
78,,,Collect 9 heroes,Thu thập 9 anh hùng.,Kumpul 9 wira,Collect 9 heroes,Kumpulkan 9 pahlawan,รวบรวมฮีโร่ 9 ตัว,Kolektahin ang 9 bayani,,,,#C0xFF5B545B#Increase Ninjutsu-type damage for all generals#C0xD38D22#1%,#C0xFF5B545B#Tăng sát thương hệ Nhẫn Thuật cho toàn bộ tướng#C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerosakan jenis Ninjutsu untuk semua jeneral#C0xD38D22#1%,#C0xFF5B545B#Increase Ninjutsu-type damage for all generals#C0xD38D22#1%,#C0xFF5B545B#Tingkatkan damage tipe Ninjutsu untuk semua jenderal#C0xD38D22#1%,#C0xFF5B545B#เพิ่มความเสียหายประเภทนินจุตสึให้กับแม่ทัพทั้งหมด#C0xD38D22#1%,#C0xFF5B545B#Dagdagan ang Ninjutsu-type na pinsala sa lahat ng heneral#C0xD38D22#1%,,2,9,18,,53,100,
79,,,Collect 12 heroes collected,Thu thập đủ 12 anh hùng.,Kumpul 12 wira lengkap,Collect 12 heroes collected,Kumpulkan 12 pahlawan lengkap,รวบรวมฮีโร่ครบ 12 ตัว,Kolektahin ang 12 bayani kumpleto,,,,#C0xFF5B545B#Increase Ninjutsu skill damage for all heroes by #C0xD38D22#1%,#C0xFF5B545B#Tăng sát thương kỹ năng hệ Nhẫn thuật của toàn bộ anh hùng thêm #C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerosakan kemahiran Ninjutsu untuk semua wira sebanyak #C0xD38D22#1%,#C0xFF5B545B#Increase Ninjutsu skill damage for all heroes by #C0xD38D22#1%,#C0xFF5B545B#Tingkatkan damage skill Ninjutsu untuk semua pahlawan sebesar #C0xD38D22#1%,#C0xFF5B545B#เพิ่มความเสียหายสกิลนินจุตสึของฮีโร่ทั้งหมดอีก #C0xD38D22#1%,#C0xFF5B545B#Dagdagan ang Ninjutsu skill damage sa lahat ng bayani ng #C0xD38D22#1%,,2,12,18,,53,100,
111,,,Collect 25 heroes,Thu thập 25 anh hùng,Kumpul 25 wira,Collect 25 heroes,Kumpulkan 25 pahlawan,รวบรวมฮีโร่ 25 ตัว,Kolektahin ang 25 bayani,,,,#C0xFF5B545B#All generals gain extra Holy Light-type damage#C0xD38D22#1%,#C0xFF5B545B#Toàn bộ tướng tăng thêm sát thương hệ Thánh Quang #C0xD38D22#1%,#C0xFF5B545B#Semua jeneral mendapat tambahan kerosakan jenis Cahaya Suci#C0xD38D22#1%,#C0xFF5B545B#All generals gain extra Holy Light-type damage#C0xD38D22#1%,#C0xFF5B545B#Semua jenderal mendapat tambahan damage tipe Cahaya Suci#C0xD38D22#1%,#C0xFF5B545B#แม่ทัพทั้งหมดได้รับความเสียหายธาตุแสงศักดิ์สิทธิ์เพิ่ม#C0xD38D22#1%,#C0xFF5B545B#Lahat ng heneral ay may dagdag na Holy Light-type damage#C0xD38D22#1%,,2,25,1,,36,100,
112,,,Collect 30 heroes,Thu thập 30 anh hùng.,Kumpul 30 wira,Collect 30 heroes,Kumpulkan 30 pahlawan,รวบรวมฮีโร่ 30 ตัว,Kolektahin ang 30 bayani,,,,#C0xFF5B545B#All generals increase Holy Light-type damage#C0xD38D22#1%,#C0xFF5B545B#Toàn bộ tướng tăng sát thương hệ Thánh Quang #C0xD38D22#1%,#C0xFF5B545B#Semua jeneral meningkatkan kerosakan jenis Cahaya Suci#C0xD38D22#1%,#C0xFF5B545B#All generals increase Holy Light-type damage#C0xD38D22#1%,#C0xFF5B545B#Semua jenderal meningkatkan damage tipe Cahaya Suci#C0xD38D22#1%,#C0xFF5B545B#แม่ทัพทั้งหมดเพิ่มความเสียหายธาตุแสงศักดิ์สิทธิ์#C0xD38D22#1%,#C0xFF5B545B#Lahat ng heneral ay nadagdagan ang Holy Light-type damage#C0xD38D22#1%,,2,30,1,,36,100,
115,,,Collect 25 heroes,Thu thập 25 anh hùng.,Kumpul 25 wira,Collect 25 heroes,Kumpulkan 25 pahlawan,รวบรวมฮีโร่ 25 ตัว,Kolektahin ang 25 bayani,,,,#C0xFF5B545B#All generals gain extra Fire-type damage#C0xD38D22#1%,#C0xFF5B545B#Toàn bộ tướng được tăng thêm sát thương hệ Hỏa#C0xD38D22#1%,#C0xFF5B545B#Semua jeneral mendapat tambahan kerosakan jenis Api#C0xD38D22#1%,#C0xFF5B545B#All generals gain extra Fire-type damage#C0xD38D22#1%,#C0xFF5B545B#Semua jenderal mendapat tambahan damage tipe Api#C0xD38D22#1%,#C0xFF5B545B#แม่ทัพทั้งหมดได้รับความเสียหายธาตุไฟเพิ่ม#C0xD38D22#1%,#C0xFF5B545B#Lahat ng heneral ay may dagdag na Fire-type damage#C0xD38D22#1%,,2,25,2,,37,100,
116,,,Collect 30 heroes,Thu thập 30 anh hùng.,Kumpul 30 wira,Collect 30 heroes,Kumpulkan 30 pahlawan,รวบรวมฮีโร่ 30 ตัว,Kolektahin ang 30 bayani,,,,#C0xFF5B545B#Increase Fire-type damage for all generals#C0xD38D22#1%,#C0xFF5B545B#Tăng sát thương hệ Hỏa cho toàn bộ tướng#C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerosakan jenis Api untuk semua jeneral#C0xD38D22#1%,#C0xFF5B545B#Increase Fire-type damage for all generals#C0xD38D22#1%,#C0xFF5B545B#Tingkatkan damage tipe Api untuk semua jenderal#C0xD38D22#1%,#C0xFF5B545B#เพิ่มความเสียหายธาตุไฟให้กับแม่ทัพทั้งหมด#C0xD38D22#1%,#C0xFF5B545B#Dagdagan ang Fire-type na pinsala sa lahat ng heneral#C0xD38D22#1%,,2,30,2,,37,100,
121,,,Collect 30 heroes,Thu thập 30 anh hùng,Kumpul 30 wira,Collect 30 heroes,Kumpulkan 30 pahlawan,รวบรวมฮีโร่ 30 ตัว,Kolektahin ang 30 bayani,,,,#C0xFF5B545B#All generals gain extra Wind-type damage#C0xD38D22#1%,#C0xFF5B545B#Toàn bộ tướng tăng thêm sát thương hệ Phong#C0xD38D22#1%,#C0xFF5B545B#Semua jeneral mendapat tambahan kerosakan jenis Angin#C0xD38D22#1%,#C0xFF5B545B#All generals gain extra Wind-type damage#C0xD38D22#1%,#C0xFF5B545B#Semua jenderal mendapat tambahan damage tipe Angin#C0xD38D22#1%,#C0xFF5B545B#แม่ทัพทั้งหมดได้รับความเสียหายธาตุลมเพิ่ม#C0xD38D22#1%,#C0xFF5B545B#Lahat ng heneral ay may dagdag na Wind-type damage#C0xD38D22#1%,,2,30,4,,39,100,
126,,,Collect 20 heroes,Thu thập 20 anh hùng.,Kumpul 20 wira,Collect 20 heroes,Kumpulkan 20 pahlawan,รวบรวมฮีโร่ 20 ตัว,Kolektahin ang 20 bayani,,,,#C0xFF5B545B#All generals deal extra Thunder damage#C0xD38D22#1%,#C0xFF5B545B#Tất cả tướng gây thêm sát thương Lôi Đình#C0xD38D22#1%,#C0xFF5B545B#Semua jeneral memberikan tambahan kerosakan Petir#C0xD38D22#1%,#C0xFF5B545B#All generals deal extra Thunder damage#C0xD38D22#1%,#C0xFF5B545B#Semua jenderal memberikan tambahan damage Petir#C0xD38D22#1%,#C0xFF5B545B#แม่ทัพทั้งหมดสร้างความเสียหายสายฟ้าเพิ่ม#C0xD38D22#1%,#C0xFF5B545B#Lahat ng heneral ay may dagdag na Thunder damage#C0xD38D22#1%,,2,20,5,,40,100,
127,,,Collect 25 heroes,Thu thập 25 anh hùng.,Kumpul 25 wira,Collect 25 heroes,Kumpulkan 25 pahlawan,รวบรวมฮีโร่ 25 ตัว,Kolektahin ang 25 bayani,,,,#C0xFF5B545B#Increase Thunder damage for all generals#C0xD38D22#1%,#C0xFF5B545B#Tăng sát thương Lôi Đình cho toàn bộ tướng#C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerosakan Petir untuk semua jeneral#C0xD38D22#1%,#C0xFF5B545B#Increase Thunder damage for all generals#C0xD38D22#1%,#C0xFF5B545B#Tingkatkan damage Petir untuk semua jenderal#C0xD38D22#1%,#C0xFF5B545B#เพิ่มความเสียหายสายฟ้าให้กับแม่ทัพทั้งหมด#C0xD38D22#1%,#C0xFF5B545B#Dagdagan ang Thunder damage sa lahat ng heneral#C0xD38D22#1%,,2,25,5,,40,100,
128,,,Collect 30 heroes,Thu thập 30 anh hùng.,Kumpul 30 wira,Collect 30 heroes,Kumpulkan 30 pahlawan,รวบรวมฮีโร่ 30 ตัว,Kolektahin ang 30 bayani,,,,#C0xFF5B545B#All generals gain extra Thunder-type damage#C0xD38D22#1%,#C0xFF5B545B#Toàn bộ tướng tăng thêm sát thương hệ Lôi Đình #C0xD38D22#1%,#C0xFF5B545B#Semua jeneral mendapat tambahan kerosakan jenis Petir#C0xD38D22#1%,#C0xFF5B545B#All generals gain extra Thunder-type damage#C0xD38D22#1%,#C0xFF5B545B#Semua jenderal mendapat tambahan damage tipe Petir#C0xD38D22#1%,#C0xFF5B545B#แม่ทัพทั้งหมดได้รับความเสียหายธาตุสายฟ้าเพิ่ม#C0xD38D22#1%,#C0xFF5B545B#Lahat ng heneral ay may dagdag na Thunder-type damage#C0xD38D22#1%,,2,30,5,,40,100,
131,,,Collect 18 heroes,Thu thập 18 anh hùng.,Kumpul 18 wira,Collect 18 heroes,Kumpulkan 18 pahlawan,รวบรวมฮีโร่ 18 ตัว,Kolektahin ang 18 bayani,,,,#C0xFF5B545B#All generals gain extra Ice-type damage#C0xD38D22#1%,#C0xFF5B545B#Toàn bộ tướng được tăng thêm sát thương hệ Băng#C0xD38D22#1%,#C0xFF5B545B#Semua jeneral mendapat tambahan kerosakan jenis Ais#C0xD38D22#1%,#C0xFF5B545B#All generals gain extra Ice-type damage#C0xD38D22#1%,#C0xFF5B545B#Semua jenderal mendapat tambahan damage tipe Es#C0xD38D22#1%,#C0xFF5B545B#แม่ทัพทั้งหมดได้รับความเสียหายธาตุน้ำแข็งเพิ่ม#C0xD38D22#1%,#C0xFF5B545B#Lahat ng heneral ay may dagdag na Ice-type damage#C0xD38D22#1%,,2,18,6,,41,100,
132,,,Collect 24 heroes,Thu thập 24 anh hùng.,Kumpul 24 wira,Collect 24 heroes,Kumpulkan 24 pahlawan,รวบรวมฮีโร่ 24 ตัว,Kolektahin ang 24 bayani,,,,#C0xFF5B545B#All generals gain extra Ice-type damage#C0xD38D22#1%,#C0xFF5B545B#Toàn bộ tướng tăng thêm sát thương hệ Băng#C0xD38D22#1%,#C0xFF5B545B#Semua jeneral mendapat tambahan kerosakan jenis Ais#C0xD38D22#1%,#C0xFF5B545B#All generals gain extra Ice-type damage#C0xD38D22#1%,#C0xFF5B545B#Semua jenderal mendapat tambahan damage tipe Es#C0xD38D22#1%,#C0xFF5B545B#แม่ทัพทั้งหมดได้รับความเสียหายธาตุน้ำแข็งเพิ่ม#C0xD38D22#1%,#C0xFF5B545B#Lahat ng heneral ay may dagdag na Ice-type damage#C0xD38D22#1%,,2,24,6,,41,100,
133,,,Collect 30 heroes,Thu thập 30 anh hùng.,Kumpul 30 wira,Collect 30 heroes,Kumpulkan 30 pahlawan,รวบรวมฮีโร่ 30 ตัว,Kolektahin ang 30 bayani,,,,#C0xFF5B545B#All generals deal additional #C0xD38D22#1%# ice damage,#C0xFF5B545B#Toàn bộ tướng gây thêm #C0xD38D22#1%# băng sát thương,#C0xFF5B545B#Semua jeneral memberikan kerosakan Ais tambahan#C0xD38D22#1%,#C0xFF5B545B#All generals deal additional #C0xD38D22#1%# ice damage,#C0xFF5B545B#Semua jenderal memberikan tambahan #C0xD38D22#1%# kerusakan es,#C0xFF5B545B#แม่ทัพทั้งหมดสร้างความเสียหายน้ำแข็งเพิ่มเติม#C0xD38D22#1%,#C0xFF5B545B#Lahat ng heneral ay nagbibigay ng karagdagang #C0xD38D22#1%# ice damage,,2,30,6,,41,100,
136,,,Collect 24 heroes,Thu thập 24 anh hùng.,Kumpul 24 wira,Collect 24 heroes,Kumpulkan 24 pahlawan,รวบรวมฮีโร่ 24 ตัว,Kolektahin ang 24 bayani,,,,#C0xFF5B545B#Increase Fighter-type damage for all generals#C0xD38D22#1%,#C0xFF5B545B#Tăng sát thương hệ Đấu Sĩ cho toàn bộ tướng#C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerosakan jenis Pahlawan untuk semua jeneral#C0xD38D22#1%,#C0xFF5B545B#Increase Fighter-type damage for all generals#C0xD38D22#1%,#C0xFF5B545B#Tingkatkan kerusakan tipe Petarung untuk semua jenderal#C0xD38D22#1%,#C0xFF5B545B#เพิ่มความเสียหายประเภทนักสู้ให้กับแม่ทัพทั้งหมด#C0xD38D22#1%,#C0xFF5B545B#Dagdagan ang Fighter-type na pinsala para sa lahat ng heneral#C0xD38D22#1%,,2,24,7,,42,100,
