VariableName,name,name_my,name_en,name_th,name_in,name_ph,name_vn,icon,cardID,itemID,roleID,skinID,languages,unlockDesc,unlockDesc_ma,unlockDesc_en,unlockDesc_th,unlockDesc_in,unlockDesc_ph,unlockDesc_vn
93,Cloud,Cloud,Cloud,Cloud,Cloud,Cloud,Cloud,config/portrait/toptouxiang/img_3511.png,3511,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
94,Doraemon,Doraemon,Doraemon,Doraemon,Doraemon,Doraemon,Doraemon,config/portrait/toptouxiang/img_3683.png,3683,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
96,Mikoto Misaka,Mikoto Misaka,Mikoto Misaka,Mikoto Misaka,Mikoto Misaka,Mikoto Misaka,Mikoto Misaka,config/portrait/toptouxiang/img_731.png,731,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
97,Thor,Thor,Thor,Thor,Thor,Thor,Thor,config/portrait/toptouxiang/img_1221.png,1221,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
98,Captain America,Kapten Amerika,Captain America,กัปตันอเมริกา,Kapten Amerika,Captain America,Đội Trưởng Mỹ,config/portrait/toptouxiang/img_1903.png,1903,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
99,Superman,Superman,Superman,ซูเปอร์แมน,Superman,Superman,Siêu Nhân,config/portrait/toptouxiang/img_1931.png,1931,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
100,Luffy,Luffy,Luffy,Luffy,Luffy,Luffy,Luffy,config/portrait/toptouxiang/img_3543.png,3543,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
101,Kagura,Kagura,Kagura,Kagura,Kagura,Kagura,Kagura,config/portrait/toptouxiang/img_163.png,163,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
102,Tsunayoshi Sawada,Tsunayoshi Sawada,Tsunayoshi Sawada,Tsunayoshi Sawada,Tsunayoshi Sawada,Tsunayoshi Sawada,Tsunayoshi Sawada,config/portrait/toptouxiang/img_242.png,242,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
103,Kakashi Hatake,Kakashi Hatake,Kakashi Hatake,Kakashi Hatake,Kakashi Hatake,Kakashi Hatake,Kakashi Hatake,config/portrait/toptouxiang/img_333.png,333,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
104,Tekken,Tekken,Tekken,Tekken,Tekken,Tekken,Tekken,config/portrait/toptouxiang/img_503.png,503,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
105,Gandalf,Gandalf,Gandalf,Gandalf,Gandalf,Gandalf,Gandalf,config/portrait/toptouxiang/img_593.png,593,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
106,Lina Inverse,Lina Inverse,Lina Inverse,Lina Inverse,Lina Inverse,Lina Inverse,Lina Inverse,config/portrait/toptouxiang/img_603.png,603,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
107,Mikasa Ackerman,Mikasa Ackerman,Mikasa Ackerman,Mikasa Ackerman,Mikasa Ackerman,Mikasa Ackerman,Mikasa Ackerman,config/portrait/toptouxiang/img_611.png,611,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
108,Tanjiro Kamado,Tanjiro Kamado,Tanjiro Kamado,Tanjiro Kamado,Tanjiro Kamado,Tanjiro Kamado,Tanjiro Kamado,config/portrait/toptouxiang/img_631.png,631,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
109,Rem,Rem,Rem,Rem,Rem,Rem,Rem,config/portrait/toptouxiang/img_641.png,641,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
110,Nier,Nier,Nier,Nier,Nier,Nier,Nier,config/portrait/toptouxiang/img_712.png,712,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
111,Ikki,Ikki,Ikki,Ikki,Ikki,Ikki,Ikki,config/portrait/toptouxiang/img_741.png,741,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
112,Athena,Athena,Athena,Athena,Athena,Athena,Athena,config/portrait/toptouxiang/img_863.png,863,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
113,Killua Zoldyck,Killua Zoldyck,Killua Zoldyck,Killua Zoldyck,Killua Zoldyck,Killua Zoldyck,Killua Zoldyck,config/portrait/toptouxiang/img_883.png,883,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
114,Maka,Maka,Maka,Maka,Maka,Maka,Maka,config/portrait/toptouxiang/img_1082.png,1082,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
115,Yoruichi Shihouin,Yoruichi Shihouin,Yoruichi Shihouin,Yoruichi Shihouin,Yoruichi Shihouin,Yoruichi Shihouin,Yoruichi Shihouin,config/portrait/toptouxiang/img_1293.png,1293,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
116,Black Rock Shooter,Black Rock Shooter,Black Rock Shooter,Black Rock Shooter,Black Rock Shooter,Black Rock Shooter,Black Rock Shooter,config/portrait/toptouxiang/img_1612.png,1612,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
117,Kaneki Ken,Kaneki Ken,Kaneki Ken,Kaneki Ken,Kaneki Ken,Kaneki Ken,Kaneki Ken,config/portrait/toptouxiang/img_2033.png,2033,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
118,Kurumi Tokisaki,Kurumi Tokisaki,Kurumi Tokisaki,Kurumi Tokisaki,Kurumi Tokisaki,Kurumi Tokisaki,Kurumi Tokisaki,config/portrait/toptouxiang/img_972.png,972,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
119,Shiro Amakusa,Shiro Amakusa,Shiro Amakusa,Shiro Amakusa,Shiro Amakusa,Shiro Amakusa,Shiro Amakusa,config/portrait/toptouxiang/img_1032.png,1032,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
120,Shinsuke Takasugi,Shinsuke Takasugi,Shinsuke Takasugi,Shinsuke Takasugi,Shinsuke Takasugi,Shinsuke Takasugi,Shinsuke Takasugi,config/portrait/toptouxiang/img_1071.png,1071,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
121,Heracles,Heracles,Heracles,Heracles,Heracles,Heracles,Heracles,config/portrait/toptouxiang/img_1253.png,1253,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
122,Gouki,Gouki,Gouki,Gouki,Gouki,Gouki,Gouki,config/portrait/toptouxiang/img_1303.png,1303,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
123,Erza,Erza,Erza,Erza,Erza,Erza,Erza,config/portrait/toptouxiang/img_1381.png,1381,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
124,Jeanne,Jeanne,Jeanne,Jeanne,Jeanne,Jeanne,Jeanne,config/portrait/toptouxiang/img_1772.png,1772,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
125,Ainz Ooal Gown,Ainz Ooal Gown,Ainz Ooal Gown,Ainz Ooal Gown,Ainz Ooal Gown,Ainz Ooal Gown,Ainz Ooal Gown,config/portrait/toptouxiang/img_1813.png,1813,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
126,Death Moon,Bulan Kematian,Death Moon,จันทร์มรณะ,Bulan Kematian,Buwan ng Kamatayan,Tử Sinh Nguyệt,config/portrait/toptouxiang/img_1841.png,1841,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
127,Kenjiro,Kenjiro,Kenjiro,Kenjiro,Kenjiro,Kenjiro,Kenjiro,config/portrait/toptouxiang/img_1911.png,1911,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
128,Kratos,Kratos,Kratos,Kratos,Kratos,Kratos,Kratos,config/portrait/toptouxiang/img_2023.png,2023,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
129,Hinata Hyuga,Hinata Hyuga,Hinata Hyuga,Hinata Hyuga,Hinata Hyuga,Hinata Hyuga,Hinata Hyuga,config/portrait/toptouxiang/img_2242.png,2242,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
130,Edward,Edward,Edward,Edward,Edward,Edward,Edward,config/portrait/toptouxiang/img_2723.png,2723,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
131,Rei Ayanami,Rei Ayanami,Rei Ayanami,Rei Ayanami,Rei Ayanami,Rei Ayanami,Rei Ayanami,config/portrait/toptouxiang/img_3003.png,3003,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
132,Shana,Shana,Shana,Shana,Shana,Shana,Shana,config/portrait/toptouxiang/img_3152.png,3152,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
133,Belldandy,Belldandy,Belldandy,Belldandy,Belldandy,Belldandy,Belldandy,config/portrait/toptouxiang/img_3161.png,3161,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
134,Zenyata,Zenyata,Zenyata,Zenyata,Zenyata,Zenyata,Zenyata,config/portrait/toptouxiang/img_3181.png,3181,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
135,Meliodas,Meliodas,Meliodas,Meliodas,Meliodas,Meliodas,Meliodas,config/portrait/toptouxiang/img_3251.png,3251,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
136,Lambda,Lambda,Lambda,Lambda,Lambda,Lambda,Lambda,config/portrait/toptouxiang/img_3592.png,3592,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
137,Jotaro Kujo,Jotaro Kujo,Jotaro Kujo,Jotaro Kujo,Jotaro Kujo,Jotaro Kujo,Jotaro Kujo,config/portrait/toptouxiang/img_3663.png,3663,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
139,Orochi,Orochi,Orochi,Orochi,Orochi,Orochi,Orochi,config/portrait/toptouxiang/img_263.png,263,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
140,Kamui Kakashi Skin 1,Kamui Kakashi Skin 1,Kamui Kakashi Skin 1,Kamui Kakashi Skin 1,Kamui Kakashi Skin 1,Kamui Kakashi Skin 1,Kamui Kakashi Skin 1,config/portrait/toptouxiang/img_393.png,393,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
141,Harry,Harry,Harry,Harry,Harry,Harry,Harry,config/portrait/toptouxiang/img_572.png,572,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
