VariableName,name_cn,name_th,name,name_vn,name_in,name_my,name_en,name_ph,attributeType,rarity,natureType,natureType2,twinFlag,battleFlag,rectSize,bossCard_id,bossLife,cardID,star,icon,cardIcon,cardIcon2,iconSimple,cardShow,cardShowScale,cardShowPosC,unitRes,skin,show,bansxScale,bansxPosC,passiveSkillList,skillList,combinationObjCardId,combinationSkillId,everyPos,lifeScale,specBind,killResumeMp1,scale,scaleC,scaleCMode,scaleU,scaleX,scaleSkin,bornTime,rebornTime,deathTime,deathSound,fightingPoint,buffId,buffLifeRound,buffProb,buffLevel,buffValue1,hpGrow,speedGrow,damageGrow,specialDamageGrow,defenceGrow,specialDefenceGrow,hpBaseC,speedBaseC,damageBaseC,defenceBaseC,specialDamageBaseC,specialDefenceBaseC,hpC,mp1C,initMp1C,hpRecoverC,mp1RecoverC,mp2RecoverC,damageC,specialDamageC,defenceC,specialDefenceC,defenceIgnoreC,specialDefenceIgnoreC,speedC,strikeC,strikeDamageC,strikeResistanceC,blockC,breakBlockC,blockPowerC,dodgeC,hitC,damageDodgeC,damageHitC,damageAddC,damageSubC,ultimateAddC,ultimateSubC,damageDeepenC,damageReduceC,suckBloodC,reboundC,cureC,natureRestraintC,controlPerC,immuneControlC,effectPowerId,summonCalDamage,cardSkinScale,shiny,extraSkillList,shinyPos,cardSpine,cardSpineNeedStar,cardSpineScale,frontPriority,fakePassiveSkillList,cardSkinPos,cardSpinePos,shinyRes,showOpen,showOpenOffsetY,scaleY,ShowScale,cardIcon3,cardShowPosY,cardShowPos,cardShowRes,showRes
233663,,โจทาโร่ คุโจ  ,Jotaro Kujo  ,Jotaro Kujo,Jotaro Kujo  ,Jotaro Kujo  ,Jotaro Kujo  ,Jotaro Kujo  ,elites,3,4,7,,<99>,,,,3663,,config/portrait/speedranktouxiang/img_3663.png,config/portrait/jinglingtouxiang/img_3663.png,config/portrait/jinglingtouxiang2/img_3663.png,config/portrait/simple/img_3663.png,config/big_hero/normal/img_3663.png,,,kongtiaochengtailang/kongtiaochengtailang.json,,config/big_hero/normal/img_3663.png,,,<59013;59003;36636>,<36631;36632;36633>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_kongtiao.png,240,,,,,,,
233683,,โดราเอมอน  ,Doraemon  ,Doraemon,Doraemon  ,Doraemon  ,Doraemon  ,Doraemon  ,elites,2,14,17,,<99>,,,,3683,,config/portrait/speedranktouxiang/img_3683.png,config/portrait/jinglingtouxiang/img_3683.png,config/portrait/jinglingtouxiang2/img_3683.png,config/portrait/simple/img_3683.png,config/big_hero/normal/img_3683.png,,,duolaameng/duolaameng.json,,config/big_hero/normal/img_3683.png,,,<59013;59003;36836>,<36831;36832;36833>,,,{lifePos={y=320;x=-50};hitPos={y=160;x=0};headPos={y=280;x=0};namePos={y=320;x=0}},,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_jiqimao.png,240,,,,,,,
233772,,เชร็ค  ,Shrek  ,Shrek,Shrek  ,Shrek  ,Shrek  ,Shrek  ,elites,,14,8,,<99>,,,,3772,,config/portrait/speedranktouxiang/img_3772.png,config/portrait/jinglingtouxiang/img_3772.png,config/portrait/jinglingtouxiang2/img_3772.png,config/portrait/simple/img_3772.png,config/big_hero/normal/img_3772.png,,,shiruikejiangshi/shiruikejiangshi.json,,config/big_hero/normal/img_3772.png,,,<59013;59003;37726>,<37721;37722;37723>,,,{lifePos={y=320;x=-50};hitPos={y=160;x=0};headPos={y=280;x=0};namePos={y=320;x=0}},,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_shiruike.png,240,,,,,,,
239001,,ร่างแยกแห่งความมืด - A  ,Shadow Clone - A  ,Bóng Tối Phân Thân - A,Bayangan Kegelapan - A  ,Bayangan Gelap - A  ,Shadow Clone - A  ,Shadow Clone - A  ,elites,2,16,,,,,,,9001,,config/portrait/speedranktouxiang/img_9001.png,config/portrait/jinglingtouxiang/img_9001.png,config/portrait/jinglingtouxiang2/img_9001.png,config/portrait/simple/img_9001.png,config/big_hero/normal/img_9001.png,,,yingzifenshen/yingzifenshen.json,,config/big_hero/normal/img_9001.png,,,,<90011;90012;90013>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_yingzi3.png,240,,,,,,,
239002,,ร่างแยกแห่งความมืด - S  ,Shadow Clone - S  ,Bóng Tối Phân Thân - S,Bayangan Kegelapan - S  ,Bayangan Gelap - S  ,Shadow Clone - S  ,Shadow Clone - S  ,elites,3,16,,,,,,,9002,,config/portrait/speedranktouxiang/img_9002.png,config/portrait/jinglingtouxiang/img_9002.png,config/portrait/jinglingtouxiang2/img_9002.png,config/portrait/simple/img_9002.png,config/big_hero/normal/img_9002.png,,,yingzifenshen/yingzifenshen.json,,config/big_hero/normal/img_9002.png,,,,<90021;90022;90023>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_yingzi2.png,240,,,,,,,
239003,,ร่างแยกแห่งความมืด - SS  ,Shadow Clone - SS  ,Bóng Tối Phân Thân - SS,Bayangan Kegelapan - SS  ,Bayangan Gelap - SS  ,Shadow Clone - SS  ,Shadow Clone - SS  ,elites,4,16,,,,,,,9003,,config/portrait/speedranktouxiang/img_9003.png,config/portrait/jinglingtouxiang/img_9003.png,config/portrait/jinglingtouxiang2/img_9003.png,config/portrait/simple/img_9003.png,config/big_hero/normal/img_9003.png,,,yingzifenshen/yingzifenshen.json,,config/big_hero/normal/img_9003.png,,,,<90031;90032;90033>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_yingzi1.png,240,,,,,,,
240013,,มาริโอ้  ,Mario  ,Mario,Mario  ,Mario  ,Mario  ,Mario  ,elitesmonster,2,14,2,,<99>,,,,13,,config/portrait/speedranktouxiang/img_13.png,config/portrait/jinglingtouxiang/img_13.png,config/portrait/jinglingtouxiang2/img_13.png,config/portrait/simple/img_13.png,config/big_hero/normal/img_13.png,,,guandaogongjiangshi/guandaogongjiangshi.json,,config/big_hero/normal/img_13.png,,,<59013;59003;136>,<131;132;133>,,,{lifePos={y=320;x=-50};hitPos={y=160;x=0};headPos={y=280;x=0};namePos={y=320;x=0}},,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_guandaogong.png,240,,,,,,,
240044,,เบลเซบับ  ,Beelzebub  ,Beelzebub,Beelzebub  ,Beelzebub  ,Beelzebub  ,Beelzebub  ,elitesmonster,,14,8,,<99>,,,,44,,config/portrait/speedranktouxiang/img_44.png,config/portrait/jinglingtouxiang/img_44.png,config/portrait/jinglingtouxiang2/img_44.png,config/portrait/simple/img_44.png,config/big_hero/normal/img_44.png,,,beibijiangshi/beibijiangshi.json,,config/big_hero/normal/img_44.png,,,<59013;59003;446>,<441;442;443>,,,{lifePos={y=320;x=-50};hitPos={y=160;x=0};headPos={y=280;x=0};namePos={y=320;x=0}},,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_gelu.png,240,,,,,,,
240053,,แบทแมน  ,Batman  ,Batman,Batman  ,Batman  ,Batman  ,Batman  ,elitesmonster,,14,10,,<99>,,,,53,,config/portrait/speedranktouxiang/img_53.png,config/portrait/jinglingtouxiang/img_53.png,config/portrait/jinglingtouxiang2/img_53.png,config/portrait/simple/img_53.png,config/big_hero/normal/img_53.png,,,bianfuxiajiangshi/bianfuxiajiangshi.json,,config/big_hero/normal/img_53.png,,,<59013;59003;536>,<531;532;533>,,,{lifePos={y=320;x=-50};hitPos={y=160;x=0};headPos={y=280;x=0};namePos={y=320;x=0}},,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_bianfuxia.png,240,,,,,,,
240082,,ซอมบี้  ,Zombie  ,Zombie,Zombie  ,Zombie  ,Zombie  ,Zombie  ,elitesmonster,,14,8,,<99>,,,,82,,config/portrait/speedranktouxiang/img_82.png,config/portrait/jinglingtouxiang/img_82.png,config/portrait/jinglingtouxiang2/img_82.png,config/portrait/simple/img_82.png,config/big_hero/normal/img_82.png,,,qingchaojiangshi/qingchaojiangshi.json,,config/big_hero/normal/img_82.png,,,<59013;59003;826>,<821;822;823>,,,{lifePos={y=320;x=-50};hitPos={y=160;x=0};headPos={y=280;x=0};namePos={y=320;x=0}},,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_jiangshi.png,240,,,,,,,
240163,,คางุระ  ,Kagura  ,Kagura,Kagura  ,Kagura  ,Kagura  ,Kagura  ,elitesmonster,3,8,16,,<99>,,,,163,,config/portrait/speedranktouxiang/img_163.png,config/portrait/jinglingtouxiang/img_163.png,config/portrait/jinglingtouxiang2/img_163.png,config/portrait/simple/img_163.png,config/big_hero/normal/img_163.png,,,shenle/shenle.json,,config/big_hero/normal/img_163.png,,,<59013;59003;1636>,<1631;1632;1633>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_shenle.png,240,,,,,,,
240242,,ซาวาดะ สึนะโยชิ  ,Tsunayoshi Sawada  ,Tsunayoshi Sawada,Tsunayoshi Sawada  ,Tsunayoshi Sawada  ,Tsunayoshi Sawada  ,Tsunayoshi Sawada  ,elitesmonster,3,2,7,,<99>,,,,242,,config/portrait/speedranktouxiang/img_242.png,config/portrait/jinglingtouxiang/img_242.png,config/portrait/jinglingtouxiang2/img_242.png,config/portrait/simple/img_242.png,config/big_hero/normal/img_242.png,,,zetiangangji/zetiangangji.json,,config/big_hero/normal/img_242.png,,,<59013;59003;2426>,<2421;2422;2423>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_zetiangangji.png,240,,,,,,,
240263,,โอโรจิ  ,Orochi  ,Orochi,Orochi  ,Orochi  ,Orochi  ,Orochi  ,elitesmonster,4,11,16,,<99>,,,,263,,config/portrait/speedranktouxiang/img_263.png,config/portrait/jinglingtouxiang/img_263.png,config/portrait/jinglingtouxiang2/img_263.png,config/portrait/simple/img_263.png,config/big_hero/normal/img_263.png,,,dashe/dashe.json,,config/big_hero/normal/img_263.png,,,<59013;59003;2636>,<2631;2632;2633>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lihui/lihui_dashe.skel,250,,,,,,,
240273,,เคน  ,Ken  ,Ken,Ken  ,Ken  ,Ken  ,Ken  ,elitesmonster,2,14,7,,<99>,,,,273,,config/portrait/speedranktouxiang/img_273.png,config/portrait/jinglingtouxiang/img_273.png,config/portrait/jinglingtouxiang2/img_273.png,config/portrait/simple/img_273.png,config/big_hero/normal/img_273.png,,,jietoubawang/jietoubawang.json,,config/big_hero/normal/img_273.png,,,<59013;59003;2736>,<2731;2732;2733>,,,{lifePos={y=320;x=-50};hitPos={y=160;x=0};headPos={y=280;x=0};namePos={y=320;x=0}},,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_ken.png,240,,,,,,,
240333,,คาคาชิ ฮาตาเกะ  ,Kakashi Hatake  ,Kakashi Hatake,Kakashi Hatake  ,Kakashi Hatake  ,Kakashi Hatake  ,Kakashi Hatake  ,elitesmonster,3,18,5,,<99>,,,,333,,config/portrait/speedranktouxiang/img_333.png,config/portrait/jinglingtouxiang/img_333.png,config/portrait/jinglingtouxiang2/img_333.png,config/portrait/simple/img_333.png,config/big_hero/normal/img_333.png,,,qimukakaxi/qimukakaxi.json,,config/big_hero/normal/img_333.png,,,<59013;59003;3336>,<3331;3332;3333>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_kakaxi.png,240,,,,,,,
240393,,คามุอิ คาคาชิ ชุดสกิน 1  ,Kamui Kakashi Skin 1  ,Kamui Kakashi Skin 1,Kamui Kakashi Skin 1  ,Kamui Kakashi Kulit 1  ,Kamui Kakashi Skin 1  ,Kamui Kakashi Skin 1  ,elitesmonster,4,16,15,,<99>,,,,393,,config/portrait/speedranktouxiang/img_393.png,config/portrait/jinglingtouxiang/img_393.png,config/portrait/jinglingtouxiang2/img_393.png,config/portrait/simple/img_393.png,config/big_hero/normal/img_393.png,,,hadisi/hadisi.json,,config/big_hero/normal/img_393.png,,,<59013;59003;3936>,<3931;3932;3933>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lihui/lihui_hadisi.skel,240,,,,,,,
240402,,ฮาเดส  ,Hades  ,Hades,Hades  ,Hades  ,Hades  ,Hades  ,elitesmonster,2,14,13,,<99>,,,,402,,config/portrait/speedranktouxiang/img_402.png,config/portrait/jinglingtouxiang/img_402.png,config/portrait/jinglingtouxiang2/img_402.png,config/portrait/simple/img_402.png,config/big_hero/normal/img_402.png,,,panghujiangshi/panghujiangshi.json,,config/big_hero/normal/img_402.png,,,<59013;59003;4026>,<4021;4022;4023>,,,{lifePos={y=320;x=-50};hitPos={y=160;x=0};headPos={y=280;x=0};namePos={y=320;x=0}},,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_panghu.png,240,,,,,,,
240493,,เกียน  ,Gian  ,Gian,Gian  ,Gian  ,Gian  ,Gian  ,elitesmonster,2,14,17,,<99>,,,,493,,config/portrait/speedranktouxiang/img_493.png,config/portrait/jinglingtouxiang/img_493.png,config/portrait/jinglingtouxiang2/img_493.png,config/portrait/simple/img_493.png,config/big_hero/normal/img_493.png,,,tiexuezhanshijiangshi/tiexuezhanshijiangshi.json,,config/big_hero/normal/img_493.png,,,<59013;59003;4936>,<4931;4932;4933>,,,{lifePos={y=320;x=-50};hitPos={y=160;x=0};headPos={y=280;x=0};namePos={y=320;x=0}},,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_tiexue.png,240,,,,,,,
240503,,เทคเคน  ,Tekken  ,Tekken,Tekken  ,Tekken  ,Tekken  ,Tekken  ,elitesmonster,3,,11,,<99>,,,,503,,config/portrait/speedranktouxiang/img_503.png,config/portrait/jinglingtouxiang/img_503.png,config/portrait/jinglingtouxiang2/img_503.png,config/portrait/simple/img_503.png,config/big_hero/normal/img_503.png,,,yiliya/yiliya.json,,config/big_hero/normal/img_503.png,,,<59013;59003;5036>,<5031;5032;5033>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_yiliya.png,240,,,,,,,
240552,,อิลยา  ,Illya  ,Illya,Illya  ,Illya  ,Illya  ,Illya  ,elitesmonster,2,14,16,,<99>,,,,552,,config/portrait/speedranktouxiang/img_552.png,config/portrait/jinglingtouxiang/img_552.png,config/portrait/jinglingtouxiang2/img_552.png,config/portrait/simple/img_552.png,config/big_hero/normal/img_552.png,,,halibotejiangshi/halibotejiangshi.json,,config/big_hero/normal/img_552.png,,,<59013;59003;5526>,<5521;5522;5523>,,,{lifePos={y=320;x=-50};hitPos={y=160;x=0};headPos={y=280;x=0};namePos={y=320;x=0}},,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_hali.png,240,,,,,,,
240572,,แฮร์รี่  ,Harry  ,Harry,Harry  ,Harry  ,Harry  ,Harry  ,elitesmonster,4,12,16,,<99>,,,,572,,config/portrait/speedranktouxiang/img_572.png,config/portrait/jinglingtouxiang/img_572.png,config/portrait/jinglingtouxiang2/img_572.png,config/portrait/simple/img_572.png,config/big_hero/normal/img_572.png,,,chitong/chitong.json,,config/big_hero/normal/img_572.png,,,<59013;59003;5726>,<5721;5722;5723>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lihui/lihui_chitong.skel,240,,,,,,,
240593,,แกนดัล์ฟ  ,Gandalf  ,Gandalf,Gandalf  ,Gandalf  ,Gandalf  ,Gandalf  ,elitesmonster,3,5,14,,<99>,,,,593,,config/portrait/speedranktouxiang/img_593.png,config/portrait/jinglingtouxiang/img_593.png,config/portrait/jinglingtouxiang2/img_593.png,config/portrait/simple/img_593.png,config/big_hero/normal/img_593.png,,,mofashijiangshi/mofashijiangshi.json,,config/big_hero/normal/img_593.png,,,<59013;59003;5936>,<5931;5932;5933>,,,{lifePos={y=320;x=-50};hitPos={y=160;x=0};headPos={y=280;x=0};namePos={y=320;x=0}},,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_gandaofu.png,240,,,,,,,
240603,,ลีน่า อินเวิร์ส  ,Lina Inverse  ,Lina Inverse,Lina Inverse  ,Lina Inverse  ,Lina Inverse  ,Lina Inverse  ,elitesmonster,3,2,11,,<99>,,,,603,,config/portrait/speedranktouxiang/img_603.png,config/portrait/jinglingtouxiang/img_603.png,config/portrait/jinglingtouxiang2/img_603.png,config/portrait/simple/img_603.png,config/big_hero/normal/img_603.png,,,linayinbasi/linayinbasi.json,,config/big_hero/normal/img_603.png,,,<59013;59003;6036>,<6031;6032;6033>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_lina.png,240,,,,,,,
240611,,มิคาสะ แอคเคอร์แมน  ,Mikasa Ackerman  ,Mikasa Ackerman,Mikasa Ackerman  ,Mikasa Ackerman  ,Mikasa Ackerman  ,Mikasa Ackerman  ,elitesmonster,3,12,10,,<99>,,,,611,,config/portrait/speedranktouxiang/img_611.png,config/portrait/jinglingtouxiang/img_611.png,config/portrait/jinglingtouxiang2/img_611.png,config/portrait/simple/img_611.png,config/big_hero/normal/img_611.png,,,sanliakeman/sanliakeman.json,,config/big_hero/normal/img_611.png,,,<59013;59003;6116>,<6111;6112;6113>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_sanli.png,240,,,,,,,
240632,,ทันจิโร่ คามาโดะ  ,Tanjiro Kamado  ,Tanjiro Kamado,Tanjiro Kamado  ,Tanjiro Kamado  ,Tanjiro Kamado  ,Tanjiro Kamado  ,elitesmonster,3,3,12,,<99>,,,,631,,config/portrait/speedranktouxiang/img_631.png,config/portrait/jinglingtouxiang/img_631.png,config/portrait/jinglingtouxiang2/img_631.png,config/portrait/simple/img_631.png,config/big_hero/normal/img_631.png,,,zaomentanzhilang/zaomentanzhilang.json,,config/big_hero/normal/img_631.png,,,<59013;59003;6326>,<6321;6322;6323>,,,,,,,1,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_zaomen.png,240,,,,,,,
240641,,เรม  ,Rem  ,Rem,Rem  ,Rem  ,Rem  ,Rem  ,elitesmonster,3,14,3,,<99>,,,,641,,config/portrait/speedranktouxiang/img_641.png,config/portrait/jinglingtouxiang/img_641.png,config/portrait/jinglingtouxiang2/img_641.png,config/portrait/simple/img_641.png,config/big_hero/normal/img_641.png,,,leimu/leimu.json,,config/big_hero/normal/img_641.png,,,<59013;59003;6416>,<6411;6412;6413>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_leimu.png,240,,,,,,,
240692,,โกคุเดระ  ,Gokudera  ,Gokudera,Gokudera  ,Gokudera  ,Gokudera  ,Gokudera  ,elitesmonster,,14,7,,<99>,,,,692,,config/portrait/speedranktouxiang/img_692.png,config/portrait/jinglingtouxiang/img_692.png,config/portrait/jinglingtouxiang2/img_692.png,config/portrait/simple/img_692.png,config/big_hero/normal/img_692.png,,,guhuozai/guhuozai.json,,config/big_hero/normal/img_692.png,,,<59013;59003;6926>,<6921;6922;6923>,,,{lifePos={y=320;x=-50};hitPos={y=160;x=0};headPos={y=280;x=0};namePos={y=320;x=0}},,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_guhuozai.png,240,,,,,,,
240701,,เลวี แอคเคอร์แมน  ,Levi Ackerman  ,Levi Ackerman,Levi Ackerman  ,Levi Ackerman  ,Levi Ackerman  ,Levi Ackerman  ,elitesmonster,4,12,10,,<99>,,,,701,,config/portrait/speedranktouxiang/img_701.png,config/portrait/jinglingtouxiang/img_701.png,config/portrait/jinglingtouxiang2/img_701.png,config/portrait/simple/img_701.png,config/big_hero/normal/img_701.png,,,bingzhang/bingzhang.json,,config/big_hero/normal/img_701.png,,,<59013;59003;7016>,<7011;7012;7013>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lihui/lihui_bingzhang.skel,240,,,,,,,
240712,,เนียร์  ,Nier  ,Nier,Nier  ,Nier  ,Nier  ,Nier  ,elitesmonster,3,17,12,,<99>,,,,712,,config/portrait/speedranktouxiang/img_712.png,config/portrait/jinglingtouxiang/img_712.png,config/portrait/jinglingtouxiang2/img_712.png,config/portrait/simple/img_712.png,config/big_hero/normal/img_712.png,,,nier/nier.json,,config/big_hero/normal/img_712.png,,,<59013;59003;7126>,<7121;7122;7123>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_nier.png,240,,,,,,,
240721,,ริน โทซากะ  ,Rin Tohsaka  ,Rin Tohsaka,Rin Tohsaka  ,Rin Tohsaka  ,Rin Tohsaka  ,Rin Tohsaka  ,elitesmonster,4,6,11,,<99>,,,,721,,config/portrait/speedranktouxiang/img_721.png,config/portrait/jinglingtouxiang/img_721.png,config/portrait/jinglingtouxiang2/img_721.png,config/portrait/simple/img_721.png,config/big_hero/normal/img_721.png,,,yuanbanlin/yuanbanlin.json,,config/big_hero/normal/img_721.png,,,<59013;59003;7216>,<7211;7212;7213>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lihui/lihui_yuanbanlin.skel,240,,,,,,,
240731,,มิโคโตะ มิซากะ  ,Mikoto Misaka  ,Mikoto Misaka,Mikoto Misaka  ,Mikoto Misaka  ,Mikoto Misaka  ,Mikoto Misaka  ,elitesmonster,3,5,11,,<99>,,,,731,,config/portrait/speedranktouxiang/img_731.png,config/portrait/jinglingtouxiang/img_731.png,config/portrait/jinglingtouxiang2/img_731.png,config/portrait/simple/img_731.png,config/big_hero/normal/img_731.png,,,yubanmeiqin/yubanmeiqin.json,,config/big_hero/normal/img_731.png,,,<59013;59003;7316>,<7311;7312;7313>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_meiqin.png,240,,,,,,,
240741,,อิกกิ  ,Ikki  ,Ikki,Ikki  ,Ikki  ,Ikki  ,Ikki  ,elitesmonster,3,10,2,,<99>,,,,741,,config/portrait/speedranktouxiang/img_741.png,config/portrait/jinglingtouxiang/img_741.png,config/portrait/jinglingtouxiang2/img_741.png,config/portrait/simple/img_741.png,config/big_hero/normal/img_741.png,,,yihui/yihui.json,,config/big_hero/normal/img_741.png,,,<59013;59003;7416>,<7411;7412;7413>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_yihui.png,240,,,,,,,
240771,,มาโดกะ  ,Madoka  ,Madoka,Madoka  ,Madoka  ,Madoka  ,Madoka  ,elitesmonster,4,11,15,,<99>,,,,771,,config/portrait/speedranktouxiang/img_771.png,config/portrait/jinglingtouxiang/img_771.png,config/portrait/jinglingtouxiang2/img_771.png,config/portrait/simple/img_771.png,config/big_hero/normal/img_771.png,,,xiaoyuan/xiaoyuan.json,,config/big_hero/normal/img_771.png,,,<59013;59003;7716>,<7711;7712;7713>,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lihui/lihui_xiaoyuan.skel,250,,,,,,,
240793,,เม็น อิน แบล็ก  ,Men in Black  ,Men in Black,Men in Black  ,Men in Black  ,Men in Black  ,Men in Black  ,elitesmonster,2,14,17,,<99>,,,,793,,config/portrait/speedranktouxiang/img_793.png,config/portrait/jinglingtouxiang/img_793.png,config/portrait/jinglingtouxiang2/img_793.png,config/portrait/simple/img_793.png,config/big_hero/normal/img_793.png,,,heiyiren/heiyiren.json,,config/big_hero/normal/img_793.png,,,<59013;59003;7936>,<7931;7932;7933>,,,{lifePos={y=320;x=-50};hitPos={y=160;x=0};headPos={y=280;x=0};namePos={y=320;x=0}},,,,0.9,,,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_heiyiren.png,240,,,,,,,
