VariableName,huodongID,_beizhu,name_cn,name,name_en,name_vn,name_th,limit,levelLimit,item,rechargeID,rmbCost,sort,refresh,status,icon,hot,oldPrice,languages,group,costMap,unlock
260166,510015,,好感度礼包,Christmas gift「4」,Christmas gift「4」,Quà Noel「4」,Christmas gift「4」,2,,{gold=500000;rmb=1500;500=2},104,,,,,activity/direct_gift/icon_sdsc1.png,,,,,,
260167,510015,,好感度礼包,Christmas gift「5」,Christmas gift「5」,Quà Noel「5」,Christmas gift「5」,2,,{rmb=2500;stamina=500;2103=50},106,,,,,activity/direct_gift/icon_sdsc2.png,,,,,,
260168,510015,,好感度礼包,Christmas gift「6」,Christmas gift「6」,Quà Noel「6」,Christmas gift「6」,1,,{rmb=2500;6159=1;851=150},106,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260169,510015,,好感度礼包,Christmas gift「7」,Christmas gift「7」,Quà Noel「7」,Christmas gift「7」,1,,{rmb=2500;6160=1;850=300},106,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260170,510015,,好感度礼包,Christmas gift「8」,Christmas gift「8」,Quà Noel「8」,Christmas gift「8」,2,,{rmb=2500;6161=1;452=200},106,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260171,510015,,好感度礼包,Christmas gift「9」,Christmas gift「9」,Quà Noel「9」,Christmas gift「9」,2,,{rmb=5000;994=1;521=40},109,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260172,510015,,好感度礼包,Gift Christmas「10」,Gift Christmas「10」,Quà Noel「10」,Gift Christmas「10」,2,,{rmb=10000;7325=1;124=200},111,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260173,510015,,好感度礼包,Christmas Gift「11」,Christmas Gift「11」,Quà Noel「11」,Christmas Gift「11」,2,,{521=80;6059=4;rmb=15000},112,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260174,510015,,好感度礼包,Christmas Gift「12」,Christmas Gift「12」,Quà Noel「12」,Christmas Gift「12」,2,,{6105=1;521=80;rmb=15000},112,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260175,510016,,好感度礼包,New Year Gift「1」,New Year Gift「1」,Quà Năm Mới「1」,New Year Gift「1」,1,,{gold=100000;rmb=100;stamina=50},,0,,,,activity/direct_gift/icon_sdsc1.png,,,,,,
260176,510016,,好感度礼包,New Year Gift「2」,New Year Gift「2」,Quà Năm Mới「2」,New Year Gift「2」,1,,{gold=500000;rmb=500;stamina=200},102,,,,,activity/direct_gift/icon_sdsc1.png,,,,,,
260177,510016,,好感度礼包,New Year Gift「3」,New Year Gift「3」,Quà Năm Mới「3」,New Year Gift「3」,1,,{rmb=1000;stamina=200;521=5},103,,,,,activity/direct_gift/icon_sdsc1.png,,,,,,
260178,510016,,好感度礼包,New Year Gift「4」,New Year Gift「4」,Quà Năm Mới「4」,New Year Gift「4」,1,,{rmb=2500;452=500;451=500},106,,,,,activity/direct_gift/icon_sdsc1.png,,,,,,
260179,510016,,好感度礼包,New Year Gift「5」,New Year Gift「5」,Quà Năm Mới「5」,New Year Gift「5」,1,,{rmb=2500;stamina=300;2103=50},106,,,,,activity/direct_gift/icon_sdsc1.png,,,,,,
260180,510016,,好感度礼包,New Year Gift「6」,New Year Gift「6」,Quà Năm Mới「6」,New Year Gift「6」,1,,{rmb=3500;stamina=500;925=2},107,,,,,activity/direct_gift/icon_sdsc2.png,,,,,,
260181,510016,,好感度礼包,New Year Gift「7」,New Year Gift「7」,Quà Năm Mới「7」,New Year Gift「7」,2,,{rmb=3500;520=50;4000=1000},107,,,,,activity/direct_gift/icon_sdsc2.png,,,,,,
260182,510016,,好感度礼包,New Year Gift「8」,New Year Gift「8」,Quà Năm Mới「8」,New Year Gift「8」,2,,{rmb=3500;501=15;503=50},107,,,,,activity/direct_gift/icon_sdsc2.png,,,,,,
260183,510016,,好感度礼包,New Year Gift「9」,New Year Gift「9」,Quà Năm Mới「9」,New Year Gift「9」,2,,{gold=5000000;rmb=6500;2103=150},109,,,,,activity/direct_gift/icon_sdsc2.png,,,,,,
260184,510016,,好感度礼包,New Year Gift「10」,New Year Gift「10」,Quà Năm Mới「10」,New Year Gift「10」,2,,{rmb=10000;7325=1;124=200},111,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260185,510016,,好感度礼包,New Year Gift「11」,New Year Gift「11」,Quà Năm Mới「11」,New Year Gift「11」,2,,{rmb=10000;994=1;521=60},111,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260186,510016,,好感度礼包,New Year Gift「12」,New Year Gift「12」,Quà Năm Mới「12」,New Year Gift「12」,2,,{rmb=15000;6059=4;521=80},112,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260187,510017,,好感度礼包,Pie Package「1」,Pie Package「1」,Gói Bánh Ú「1」,Pie Package「1」,1,,{gold=100000;rmb=150;stamina=50},,0,,,,activity/direct_gift/icon_sdsc1.png,,,,,,
260188,510017,,好感度礼包,Pie Package「2」,Pie Package「2」,Gói Bánh Ú「2」,Pie Package「2」,1,,{gold=200000;rmb=300;stamina=100},102,,,,,activity/direct_gift/icon_sdsc1.png,,,,,,
260189,510017,,好感度礼包,Pie Package「3」,Pie Package「3」,Gói Bánh Ú「3」,Pie Package「3」,1,,{gold=200000;rmb=300;521=5},103,,,,,activity/direct_gift/icon_sdsc1.png,,,,,,
260190,510017,,好感度礼包,Pie Package「4」,Pie Package「4」,Gói Bánh Ú「4」,Pie Package「4」,1,,{rmb=2500;452=500;451=500},106,,,,,activity/direct_gift/icon_sdsc1.png,,,,,,
260191,510017,,好感度礼包,Pie Package「5」,Pie Package「5」,Gói Bánh Ú「5」,Pie Package「5」,1,,{rmb=3500;503=30;925=1},107,,,,,activity/direct_gift/icon_sdsc1.png,,,,,,
260192,510017,,好感度礼包,Pie Package「6」,Pie Package「6」,Gói Bánh Ú「6」,Pie Package「6」,1,,{rmb=5000;973=3;521=25},108,,,,,activity/direct_gift/icon_sdsc2.png,,,,,,
260193,510017,,好感度礼包,Pie Package「7」,Pie Package「7」,Gói Bánh Ú「7」,Pie Package「7」,2,,{rmb=5000;520=30;4000=500},108,,,,,activity/direct_gift/icon_sdsc2.png,,,,,,
260194,510017,,好感度礼包,Pie Package「8」,Pie Package「8」,Gói Bánh Ú「8」,Pie Package「8」,2,,{rmb=10000;537=50;7204=3},111,,,,,activity/direct_gift/icon_sdsc2.png,,,,,,
260195,510017,,好感度礼包,Pie Package「9」,Pie Package「9」,Gói Bánh Ú「9」,Pie Package「9」,2,,{gold=5000000;rmb=10000;2103=100},111,,,,,activity/direct_gift/icon_sdsc2.png,,,,,,
260196,510017,,好感度礼包,Pie Package「10」,Pie Package「10」,Gói Bánh Ú「10」,Pie Package「10」,2,,{rmb=10000;121=50;994=1},111,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260197,510017,,好感度礼包,Pie Package「11」,Pie Package「11」,Gói Bánh Ú「11」,Pie Package「11」,2,,{rmb=10000;6059=2;529=10000},111,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260198,510017,,好感度礼包,Pie Package「12」,Pie Package「12」,Gói Bánh Ú「12」,Pie Package「12」,2,,{rmb=10000;502=80;994=1},111,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260199,510018,,好感度礼包,Flash Sale「1」,Flash Sale「1」,Flash Sale「1」,Flash Sale「1」,2,,{516=1;rmb=100;gold=100000},,0,,,,activity/direct_gift/icon_sdsc1.png,,,,,,
260200,510018,,好感度礼包,Flash Sale「2」,Flash Sale「2」,Flash Sale「2」,Flash Sale「2」,2,,{rmb=500;stamina=100;502=5},102,,,,,activity/direct_gift/icon_sdsc1.png,,,,,,
260201,510018,,好感度礼包,Flash Sale「3」,Flash Sale「3」,Flash Sale「3」,Flash Sale「3」,2,,{rmb=1000;stamina=200;521=5},103,,,,,activity/direct_gift/icon_sdsc1.png,,,,,,
260202,510018,,好感度礼包,Flash Sale「4」,Flash Sale「4」,Flash Sale「4」,Flash Sale「4」,2,,{gold=500000;rmb=1500;500=2},104,,,,,activity/direct_gift/icon_sdsc1.png,,,,,,
260203,510018,,好感度礼包,Flash Sale「5」,Flash Sale「5」,Flash Sale「5」,Flash Sale「5」,2,,{rmb=2500;stamina=500;2103=50},106,,,,,activity/direct_gift/icon_sdsc2.png,,,,,,
260204,510018,,好感度礼包,Flash Sale「6」,Flash Sale「6」,Flash Sale「6」,Flash Sale「6」,1,,{rmb=2500;6159=1;851=150},106,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260205,510018,,好感度礼包,Flash Sale「7」,Flash Sale「7」,Flash Sale「7」,Flash Sale「7」,1,,{rmb=2500;6160=1;850=300},106,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260206,510018,,好感度礼包,Flash Sale「8」,Flash Sale「8」,Flash Sale「8」,Flash Sale「8」,2,,{rmb=2500;6161=1;452=200},106,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260207,510018,,好感度礼包,Flash Sale「9」,Flash Sale「9」,Flash Sale「9」,Flash Sale「9」,2,,{rmb=5000;994=1;521=40},109,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260208,510018,,好感度礼包,Flash Sale「10」,Flash Sale「10」,Flash Sale「10」,Flash Sale「10」,2,,{rmb=10000;7325=1;124=200},111,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260209,510018,,好感度礼包,Flash Sale「11」,Flash Sale「11」,Flash Sale「11」,Flash Sale「11」,2,,{521=80;6059=4;rmb=15000},112,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260210,510018,,好感度礼包,Flash Sale「12」,Flash Sale「12」,Flash Sale「12」,Flash Sale「12」,2,,{6105=1;521=80;rmb=15000},112,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260211,510019,,好感度礼包,Free Festival,Free Festival,Lễ hội miễn phí,Free Festival,1,,{519=2;rmb=100;gold=50000},,0,,,,activity/direct_gift/icon_sdsc1.png,,,,,,
260212,510019,,好感度礼包,Festival「1」,Festival「1」,Lễ hội「1」,Festival「1」,1,,{rmb=500;19=20;500=1},102,,,,,activity/direct_gift/icon_sdsc1.png,,,,,,
260213,510019,,好感度礼包,Festival「2」,Festival「2」,Lễ hội「2」,Festival「2」,1,,{519=10;rmb=750;501=2},103,,,,,activity/direct_gift/icon_sdsc1.png,,,,,,
260214,510019,,好感度礼包,Festival「3」,Festival「3」,Lễ hội「3」,Festival「3」,1,,{452=100;rmb=1200;gold=500000},104,,,,,activity/direct_gift/icon_sdsc1.png,,,,,,
260215,510019,,好感度礼包,Festival「4」,Festival「4」,Lễ hội「4」,Festival「4」,1,,{502=20;527=10;rmb=2500},106,,,,,activity/direct_gift/icon_sdsc2.png,,,,,,
260216,510019,,好感度礼包,Festival「5」,Festival「5」,Lễ hội「5」,Festival「5」,1,,{rmb=3000;521=15;503=10},107,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260217,510019,,好感度礼包,Festival「6」,Festival「6」,Lễ hội「6」,Festival「6」,1,,{rmb=3000;521=20;gold=1000000},107,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260218,510019,,好感度礼包,Festival「7」,Festival「7」,Lễ hội「7」,Festival「7」,1,,{rmb=6000;502=30;942=1},109,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260219,510019,,好感度礼包,Festival「8」,Festival「8」,Lễ hội「8」,Festival「8」,1,,{502=50;rmb=8000;521=30},111,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260220,510019,,好感度礼包,Festival「9」,Festival「9」,Lễ hội「9」,Festival「9」,1,,{rmb=10000;7325=1;521=50},112,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260221,510019,,好感度礼包,Festival「10」,Festival「10」,Lễ hội「10」,Festival「10」,1,,{521=50;994=2;rmb=10000},112,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260222,510019,,好感度礼包,Festival「11」,Festival「11」,Lễ hội「11」,Festival「11」,1,,{6105=1;521=80;rmb=20000},113,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260223,510020,,好感度礼包,Pie Package「1」,Pie Package「1」,Gói Bánh Ú「1」,Pie Package「1」,1,,{gold=100000;rmb=150;stamina=50},,0,,,,activity/direct_gift/icon_sdsc1.png,,,,,,
260224,510020,,好感度礼包,Pie Package「2」,Pie Package「2」,Gói Bánh Ú「2」,Pie Package「2」,1,,{gold=200000;rmb=300;stamina=100},102,,,,,activity/direct_gift/icon_sdsc1.png,,,,,,
260225,510020,,好感度礼包,Pie Package「3」,Pie Package「3」,Gói Bánh Ú「3」,Pie Package「3」,1,,{gold=200000;rmb=300;521=5},103,,,,,activity/direct_gift/icon_sdsc1.png,,,,,,
260226,510020,,好感度礼包,Pie Package「4」,Pie Package「4」,Gói Bánh Ú「4」,Pie Package「4」,1,,{rmb=2500;452=500;451=500},106,,,,,activity/direct_gift/icon_sdsc1.png,,,,,,
260227,510020,,好感度礼包,Pie Package「5」,Pie Package「5」,Gói Bánh Ú「5」,Pie Package「5」,1,,{rmb=3500;503=30;925=1},107,,,,,activity/direct_gift/icon_sdsc1.png,,,,,,
260228,510020,,好感度礼包,Pie Package「6」,Pie Package「6」,Gói Bánh Ú「6」,Pie Package「6」,1,,{rmb=5000;973=3;521=25},108,,,,,activity/direct_gift/icon_sdsc2.png,,,,,,
260229,510020,,好感度礼包,Pie Package「7」,Pie Package「7」,Gói Bánh Ú「7」,Pie Package「7」,2,,{rmb=5000;520=30;4000=500},108,,,,,activity/direct_gift/icon_sdsc2.png,,,,,,
260230,510020,,好感度礼包,Pie Package「8」,Pie Package「8」,Gói Bánh Ú「8」,Pie Package「8」,2,,{rmb=10000;537=50;7204=3},111,,,,,activity/direct_gift/icon_sdsc2.png,,,,,,
260231,510020,,好感度礼包,Pie Package「9」,Pie Package「9」,Gói Bánh Ú「9」,Pie Package「9」,2,,{gold=5000000;rmb=10000;2103=100},111,,,,,activity/direct_gift/icon_sdsc2.png,,,,,,
260232,510020,,好感度礼包,Pie Package「10」,Pie Package「10」,Gói Bánh Ú「10」,Pie Package「10」,2,,{rmb=10000;121=50;994=1},111,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260233,510020,,好感度礼包,Pie Package「11」,Pie Package「11」,Gói Bánh Ú「11」,Pie Package「11」,2,,{rmb=10000;6059=2;529=10000},111,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260234,510020,,好感度礼包,Pie Package「12」,Pie Package「12」,Gói Bánh Ú「12」,Pie Package「12」,2,,{rmb=10000;502=80;994=1},111,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260235,510021,,好感度礼包,Flash Sale「1」,Flash Sale「1」,Flash Sale「1」,Flash Sale「1」,2,,{516=1;rmb=100;gold=100000},,0,,,,activity/direct_gift/icon_sdsc1.png,,,,,,
260236,510021,,好感度礼包,Flash Sale「2」,Flash Sale「2」,Flash Sale「2」,Flash Sale「2」,2,,{rmb=500;stamina=100;502=5},102,,,,,activity/direct_gift/icon_sdsc1.png,,,,,,
260237,510021,,好感度礼包,Flash Sale「3」,Flash Sale「3」,Flash Sale「3」,Flash Sale「3」,2,,{rmb=1000;stamina=200;521=5},103,,,,,activity/direct_gift/icon_sdsc1.png,,,,,,
260238,510021,,好感度礼包,Flash Sale「4」,Flash Sale「4」,Flash Sale「4」,Flash Sale「4」,2,,{gold=500000;rmb=1500;500=2},104,,,,,activity/direct_gift/icon_sdsc1.png,,,,,,
260239,510021,,好感度礼包,Flash Sale「5」,Flash Sale「5」,Flash Sale「5」,Flash Sale「5」,2,,{rmb=2500;stamina=500;2103=50},106,,,,,activity/direct_gift/icon_sdsc2.png,,,,,,
260240,510021,,好感度礼包,Flash Sale「6」,Flash Sale「6」,Flash Sale「6」,Flash Sale「6」,1,,{rmb=2500;6159=1;851=150},106,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260241,510021,,好感度礼包,Flash Sale「7」,Flash Sale「7」,Flash Sale「7」,Flash Sale「7」,1,,{rmb=2500;6160=1;850=300},106,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260242,510021,,好感度礼包,Flash Sale「8」,Flash Sale「8」,Flash Sale「8」,Flash Sale「8」,2,,{rmb=2500;6161=1;452=200},106,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260243,510021,,好感度礼包,Flash Sale「9」,Flash Sale「9」,Flash Sale「9」,Flash Sale「9」,2,,{rmb=5000;994=1;521=40},109,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260244,510021,,好感度礼包,Flash Sale「10」,Flash Sale「10」,Flash Sale「10」,Flash Sale「10」,2,,{rmb=10000;7325=1;124=200},111,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260245,510021,,好感度礼包,Flash Sale「11」,Flash Sale「11」,Flash Sale「11」,Flash Sale「11」,2,,{521=80;6059=4;rmb=15000},112,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260246,510021,,好感度礼包,Flash Sale「12」,Flash Sale「12」,Flash Sale「12」,Flash Sale「12」,2,,{6105=1;521=80;rmb=15000},112,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260247,510022,,好感度礼包,Tet Package「1」,Tet Package「1」,Gói ngày tết「1」,Tet Package「1」,1,,{gold=100000;rmb=100;stamina=50},,0,,,,activity/direct_gift/icon_sdsc1.png,,,,,,
260248,510022,,好感度礼包,Tet Package「2」,Tet Package「2」,Gói ngày tết「2」,Tet Package「2」,1,,{gold=500000;rmb=500;stamina=200},102,,,,,activity/direct_gift/icon_sdsc1.png,,,,,,
260249,510022,,好感度礼包,Tet Package「3」,Tet Package「3」,Gói ngày tết「3」,Tet Package「3」,1,,{rmb=1000;stamina=200;521=5},103,,,,,activity/direct_gift/icon_sdsc1.png,,,,,,
260250,510022,,好感度礼包,Tet Package「4」,Tet Package「4」,Gói ngày tết「4」,Tet Package「4」,1,,{rmb=2500;452=500;451=500},106,,,,,activity/direct_gift/icon_sdsc1.png,,,,,,
260251,510022,,好感度礼包,Tet Package「5」,Tet Package「5」,Gói ngày tết「5」,Tet Package「5」,1,,{rmb=2500;stamina=300;2103=50},106,,,,,activity/direct_gift/icon_sdsc1.png,,,,,,
260252,510022,,好感度礼包,Tet Package「6」,Tet Package「6」,Gói ngày tết「6」,Tet Package「6」,1,,{rmb=3500;stamina=500;925=2},107,,,,,activity/direct_gift/icon_sdsc2.png,,,,,,
260253,510022,,好感度礼包,Tet Package「7」,Tet Package「7」,Gói ngày tết「7」,Tet Package「7」,2,,{rmb=3500;520=50;4000=1000},107,,,,,activity/direct_gift/icon_sdsc2.png,,,,,,
260254,510022,,好感度礼包,Tet Package「8」,Tet Package「8」,Gói ngày tết「8」,Tet Package「8」,2,,{rmb=3500;501=15;503=50},107,,,,,activity/direct_gift/icon_sdsc2.png,,,,,,
260255,510022,,好感度礼包,Tet Package「9」,Tet Package「9」,Gói ngày tết「9」,Tet Package「9」,2,,{gold=5000000;rmb=6500;2103=150},109,,,,,activity/direct_gift/icon_sdsc2.png,,,,,,
260256,510022,,好感度礼包,Tet Package「10」,Tet Package「10」,Gói ngày tết「10」,Tet Package「10」,2,,{rmb=10000;7325=1;124=200},111,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260257,510022,,好感度礼包,Tet Package「11」,Tet Package「11」,Gói ngày tết「11」,Tet Package「11」,2,,{rmb=10000;994=1;521=60},111,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260258,510022,,好感度礼包,Tet Package「12」,Tet Package「12」,Gói ngày tết「12」,Tet Package「12」,2,,{rmb=15000;6059=4;521=80},112,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260259,510023,,好感度礼包,Free Festival,Free Festival,Lễ hội miễn phí,Free Festival,1,,{519=2;rmb=100;gold=50000},,0,,,,activity/direct_gift/icon_sdsc1.png,,,,,,
260260,510023,,好感度礼包,Festival「1」,Festival「1」,Lễ hội「1」,Festival「1」,1,,{rmb=500;19=20;500=1},102,,,,,activity/direct_gift/icon_sdsc1.png,,,,,,
260261,510023,,好感度礼包,Festival「2」,Festival「2」,Lễ hội「2」,Festival「2」,1,,{519=10;rmb=750;501=2},103,,,,,activity/direct_gift/icon_sdsc1.png,,,,,,
260262,510023,,好感度礼包,Festival「3」,Festival「3」,Lễ hội「3」,Festival「3」,1,,{452=100;rmb=1200;gold=500000},104,,,,,activity/direct_gift/icon_sdsc1.png,,,,,,
260263,510023,,好感度礼包,Festival「4」,Festival「4」,Lễ hội「4」,Festival「4」,1,,{502=20;527=10;rmb=2500},106,,,,,activity/direct_gift/icon_sdsc2.png,,,,,,
260264,510023,,好感度礼包,Festival「5」,Festival「5」,Lễ hội「5」,Festival「5」,1,,{rmb=3000;521=15;503=10},107,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260265,510023,,好感度礼包,Festival「6」,Festival「6」,Lễ hội「6」,Festival「6」,1,,{rmb=3000;521=20;gold=1000000},107,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260266,510023,,好感度礼包,Festival「7」,Festival「7」,Lễ hội「7」,Festival「7」,1,,{rmb=6000;502=30;942=1},109,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260267,510023,,好感度礼包,Festival「8」,Festival「8」,Lễ hội「8」,Festival「8」,1,,{502=50;rmb=8000;521=30},111,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260268,510023,,好感度礼包,Festival Festival「9」,Festival Festival「9」,Lễ hội「9」,Festival Festival「9」,1,,{rmb=10000;7325=1;521=50},112,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260269,510023,,好感度礼包,Festival「10」,Festival「10」,Lễ hội「10」,Festival「10」,1,,{521=50;994=2;rmb=10000},112,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260270,510023,,好感度礼包,Festival「11」,Festival「11」,Lễ hội「11」,Festival「11」,1,,{6105=1;521=80;rmb=20000},113,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260271,510024,,好感度礼包,Flash Sale「1」,Flash Sale「1」,Flash Sale「1」,Flash Sale「1」,2,,{516=1;rmb=100;gold=100000},,0,,,,activity/direct_gift/icon_sdsc1.png,,,,,,
260272,510024,,好感度礼包,Flash Sale「2」,Flash Sale「2」,Flash Sale「2」,Flash Sale「2」,2,,{rmb=500;stamina=100;502=5},102,,,,,activity/direct_gift/icon_sdsc1.png,,,,,,
260273,510024,,好感度礼包,Flash Sale「3」,Flash Sale「3」,Flash Sale「3」,Flash Sale「3」,2,,{rmb=1000;stamina=200;521=5},103,,,,,activity/direct_gift/icon_sdsc1.png,,,,,,
260274,510024,,好感度礼包,Flash Sale「4」,Flash Sale「4」,Flash Sale「4」,Flash Sale「4」,2,,{gold=500000;rmb=1500;500=2},104,,,,,activity/direct_gift/icon_sdsc1.png,,,,,,
260275,510024,,好感度礼包,Flash Sale「5」,Flash Sale「5」,Flash Sale「5」,Flash Sale「5」,2,,{rmb=2500;stamina=500;2103=50},106,,,,,activity/direct_gift/icon_sdsc2.png,,,,,,
260276,510024,,好感度礼包,Flash Sale「6」,Flash Sale「6」,Flash Sale「6」,Flash Sale「6」,1,,{rmb=2500;6159=1;851=150},106,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260277,510024,,好感度礼包,Flash Sale「7」,Flash Sale「7」,Flash Sale「7」,Flash Sale「7」,1,,{rmb=2500;6160=1;850=300},106,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260278,510024,,好感度礼包,Flash Sale「8」,Flash Sale「8」,Flash Sale「8」,Flash Sale「8」,2,,{rmb=2500;6161=1;452=200},106,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260279,510024,,好感度礼包,Flash Sale「9」,Flash Sale「9」,Flash Sale「9」,Flash Sale「9」,2,,{rmb=5000;994=1;521=40},109,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260280,510024,,好感度礼包,Flash Sale「10」,Flash Sale「10」,Flash Sale「10」,Flash Sale「10」,2,,{rmb=10000;7325=1;124=200},111,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260281,510024,,好感度礼包,Flash Sale「11」,Flash Sale「11」,Flash Sale「11」,Flash Sale「11」,2,,{521=80;6059=4;rmb=15000},112,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260282,510024,,好感度礼包,Flash Sale「12」,Flash Sale「12」,Flash Sale「12」,Flash Sale「12」,2,,{6105=1;521=80;rmb=15000},112,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260283,510025,,好感度礼包,Ninja Gift Pack「1」,Ninja Gift Pack「1」,Gói Quà Ninja「1」,Ninja Gift Pack「1」,1,,{gold=5000000;rmb=10000;card={id=3001};521=50;452=1000;2103=50},109,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260284,510025,,好感度礼包,Ninja Gift Pack「2」,Ninja Gift Pack「2」,Gói Quà Ninja「2」,Ninja Gift Pack「2」,1,,{gold=5000000;rmb=10000;card={id=3011};521=50;452=1000;2103=50},109,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260285,510025,,好感度礼包,Ninja Gift Pack「3」,Ninja Gift Pack「3」,Gói Quà Ninja「3」,Ninja Gift Pack「3」,1,,{gold=5000000;rmb=10000;card={id=3131};521=50;452=1000;2103=50},109,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260286,510025,,好感度礼包,Ninja Gift Pack「4」,Ninja Gift Pack「4」,Gói Quà Ninja「4」,Ninja Gift Pack「4」,1,,{gold=5000000;rmb=10000;card={id=3121};521=50;452=1000;2103=50},109,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260287,510025,,好感度礼包,Ninja Gift Pack「5」,Ninja Gift Pack「5」,Gói Quà Ninja「5」,Ninja Gift Pack「5」,1,,{gold=5000000;rmb=10000;card={id=3041};521=50;452=1000;2103=50},109,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260288,510025,,好感度礼包,Ninja Gift Pack「6」,Ninja Gift Pack「6」,Gói Quà Ninja「6」,Ninja Gift Pack「6」,1,,{gold=5000000;rmb=10000;card={id=3051};521=50;452=1000;2103=50},109,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260289,510025,,好感度礼包,Gift Pack Ninja「7」,Gift Pack Ninja「7」,Gói Quà Ninja「7」,Gift Pack Ninja「7」,1,,{gold=5000000;rmb=10000;card={id=3071};521=50;452=1000;2103=50},109,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260290,510025,,好感度礼包,Ninja Gift Pack「8」,Ninja Gift Pack「8」,Gói Quà Ninja「8」,Ninja Gift Pack「8」,1,,{gold=5000000;rmb=10000;card={id=3171};521=50;452=1000;2103=50},109,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260291,510025,,好感度礼包,Ninja Gift Pack「9」,Ninja Gift Pack「9」,Gói Quà Ninja「9」,Ninja Gift Pack「9」,1,,{gold=5000000;rmb=10000;card={id=3031};521=50;452=1000;2103=50},109,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260292,510025,,好感度礼包,Ninja Gift Pack「10」,Ninja Gift Pack「10」,Gói Quà Ninja「10」,Ninja Gift Pack「10」,1,,{gold=5000000;rmb=10000;card={id=3061};521=50;452=1000;2103=50},109,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
260293,510025,,好感度礼包,Ninja Gift Pack「11」,Ninja Gift Pack「11」,Gói Quà Ninja「11」,Ninja Gift Pack「11」,1,,{gold=5000000;rmb=10000;card={id=3151};521=50;452=1000;2103=50},109,,,,,activity/direct_gift/icon_sdsc3.png,,,,,,
