VariableName,leastLevel,active,type,huodongID,openDuration,beginDate,beginTime,endTime,endDate,desc,desc_en,desc_vn,desc_th,icon1,name,languages,icon,servers,redpoint,paramMap,openType,leastVipLevel,serverDayRange,relativeDayRange,clientParam,clientParam_th,independent,rDesc,rDesc_th,countType,sortWeight,validServerOpenDateRange,roleDayRange,validRoleCreatedDateRange
80152,1,0,14,1003,5000000,20260220,0,0,20290101,Refund deposit,Refund deposit,Refund deposit,คืนเงินมัดจำ,2,,,,,1,,3,,,<133;139>,,,,,,,15,,,
80153,1,0,14,1003,5000000,20260221,0,0,20290101,Refund deposit,Refund deposit,Refund deposit,คืนเงินมัดจำ,2,,,,,1,,3,,,<140;146>,,,,,,,15,,,
80154,1,0,14,1003,5000000,20260222,0,0,20290101,Refund deposit,Refund deposit,Refund deposit,คืนเงินมัดจำ,2,,,,,1,,3,,,<147;153>,,,,,,,15,,,
80155,1,0,14,1003,5000000,20260223,0,0,20290101,Refund deposit,Refund deposit,Refund deposit,คืนเงินมัดจำ,2,,,,,1,,3,,,<154;160>,,,,,,,15,,,
80156,1,0,14,1003,5000000,20260224,0,0,20290101,Refund deposit,Refund deposit,Refund deposit,คืนเงินมัดจำ,2,,,,,1,,3,,,<161;167>,,,,,,,15,,,
80157,1,0,14,1003,5000000,20260225,0,0,20290101,Refund deposit,Refund deposit,Refund deposit,คืนเงินมัดจำ,2,,,,,1,,3,,,<168;174>,,,,,,,15,,,
80158,1,0,14,1003,5000000,20260226,0,0,20290101,Refund deposit,Refund deposit,Refund deposit,คืนเงินมัดจำ,2,,,,,1,,3,,,<175;181>,,,,,,,15,,,
80159,1,0,14,1003,5000000,20260227,0,0,20290101,Refund deposit,Refund deposit,Refund deposit,คืนเงินมัดจำ,2,,,,,1,,3,,,<182;188>,,,,,,,15,,,
80160,1,0,14,1003,5000000,20260228,0,0,20290101,Refund deposit,Refund deposit,Refund deposit,คืนเงินมัดจำ,2,,,,,1,,3,,,<189;195>,,,,,,,15,,,
80161,1,0,14,1003,5000000,20250329,0,0,20290101,Refund deposit,Refund deposit,Refund deposit,คืนเงินมัดจำ,2,,,,,1,,3,,,<196;202>,,,,,,,15,,,
80162,1,0,14,1003,5000000,20250329,0,0,20290101,Refund deposit,Refund deposit,Refund deposit,คืนเงินมัดจำ,2,,,,,1,,3,,,<203;209>,,,,,,,15,,,
80163,1,0,14,1003,5000000,20250329,0,0,20290101,Refund deposit,Refund deposit,Refund deposit,คืนเงินมัดจำ,2,,,,,1,,3,,,<210;216>,,,,,,,15,,,
80164,1,0,14,1003,5000000,20250329,0,0,20290101,Refund deposit,Refund deposit,Refund deposit,คืนเงินมัดจำ,2,,,,,1,,3,,,<217;223>,,,,,,,15,,,
80165,1,0,14,1003,5000000,20250329,0,0,20290101,Refund deposit,Refund deposit,Refund deposit,คืนเงินมัดจำ,2,,,,,1,,3,,,<224;230>,,,,,,,15,,,
80166,1,0,14,1003,5000000,20250329,0,0,20290101,Refund deposit,Refund deposit,Refund deposit,คืนเงินมัดจำ,2,,,,,1,,3,,,<231;237>,,,,,,,15,,,
80167,1,0,14,1003,5000000,20250329,0,0,20290101,Refund deposit,Refund deposit,Refund deposit,คืนเงินมัดจำ,2,,,,,1,,3,,,<238;244>,,,,,,,15,,,
80168,1,0,14,1003,5000000,20250329,0,0,20290101,Refund deposit,Refund deposit,Refund deposit,คืนเงินมัดจำ,2,,,,,1,,3,,,<245;251>,,,,,,,15,,,
80169,1,0,14,1003,5000000,20250329,0,0,20290101,Refund deposit,Refund deposit,Refund deposit,คืนเงินมัดจำ,2,,,,,1,,3,,,<252;258>,,,,,,,15,,,
80170,1,0,14,1003,5000000,20250329,0,0,20290101,Refund deposit,Refund deposit,Refund deposit,คืนเงินมัดจำ,2,,,,,1,,3,,,<259;265>,,,,,,,15,,,
80171,1,0,14,1003,5000000,20250329,0,0,20290101,Refund deposit,Refund deposit,Refund deposit,คืนเงินมัดจำ,2,,,,,1,,3,,,<266;272>,,,,,,,15,,,
80172,1,0,14,1003,5000000,20250329,0,0,20290101,Refund deposit,Refund deposit,Refund deposit,คืนเงินมัดจำ,2,,,,,1,,3,,,<273;279>,,,,,,,15,,,
80173,1,0,14,1003,5000000,20250329,0,0,20290101,Refund deposit,Refund deposit,Refund deposit,คืนเงินมัดจำ,2,,,,,1,,3,,,<280;286>,,,,,,,15,,,
80174,1,0,14,1003,5000000,20250329,0,0,20290101,Refund deposit,Refund deposit,Refund deposit,คืนเงินมัดจำ,2,,,,,1,,3,,,<287;293>,,,,,,,15,,,
80175,1,0,14,1003,5000000,20250329,0,0,20290101,Refund deposit,Refund deposit,Refund deposit,คืนเงินมัดจำ,2,,,,,1,,3,,,<294;300>,,,,,,,15,,,
80176,1,0,14,1003,5000000,20250329,0,0,20290101,Refund deposit,Refund deposit,Refund deposit,คืนเงินมัดจำ,2,,,,,1,,3,,,<301;307>,,,,,,,15,,,
80177,1,0,14,1003,5000000,20250329,0,0,20290101,Refund deposit,Refund deposit,Refund deposit,คืนเงินมัดจำ,2,,,,,1,,3,,,<308;314>,,,,,,,15,,,
80178,1,0,14,1003,5000000,20250329,0,0,20290101,Refund deposit,Refund deposit,Refund deposit,คืนเงินมัดจำ,2,,,,,1,,3,,,<315;321>,,,,,,,15,,,
80179,1,0,14,1003,5000000,20250329,0,0,20290101,Refund deposit,Refund deposit,Refund deposit,คืนเงินมัดจำ,2,,,,,1,,3,,,<322;328>,,,,,,,15,,,
80180,1,0,14,1003,5000000,20250329,0,0,20290101,Refund deposit,Refund deposit,Refund deposit,คืนเงินมัดจำ,2,,,,,1,,3,,,<329;335>,,,,,,,15,,,
80181,1,0,14,1003,5000000,20250329,0,0,20290101,Refund deposit,Refund deposit,Refund deposit,คืนเงินมัดจำ,2,,,,,1,,3,,,<336;342>,,,,,,,15,,,
80182,1,0,14,1003,5000000,20250329,0,0,20290101,Refund deposit,Refund deposit,Refund deposit,คืนเงินมัดจำ,2,,,,,1,,3,,,<343;349>,,,,,,,15,,,
80183,1,0,14,1003,5000000,20250329,0,0,20290101,Refund deposit,Refund deposit,Refund deposit,คืนเงินมัดจำ,2,,,,,1,,3,,,<350;356>,,,,,,,15,,,
80184,1,0,14,1003,5000000,20250329,0,0,20290101,Refund deposit,Refund deposit,Refund deposit,คืนเงินมัดจำ,2,,,,,1,,3,,,<357;363>,,,,,,,15,,,
80185,1,0,14,1003,5000000,20250329,0,0,20290101,Refund deposit,Refund deposit,Refund deposit,คืนเงินมัดจำ,2,,,,,1,,3,,,<364;370>,,,,,,,15,,,
80186,1,0,14,1003,5000000,20250329,0,0,20290101,Refund deposit,Refund deposit,Refund deposit,คืนเงินมัดจำ,2,,,,,1,,3,,,<371;377>,,,,,,,15,,,
80187,1,0,14,1003,5000000,20250329,0,0,20290101,Refund deposit,Refund deposit,Refund deposit,คืนเงินมัดจำ,2,,,,,1,,3,,,<378;384>,,,,,,,15,,,
80188,1,0,14,1003,5000000,20250329,0,0,20290101,Refund deposit,Refund deposit,Refund deposit,คืนเงินมัดจำ,2,,,,,1,,3,,,<385;391>,,,,,,,15,,,
80189,1,0,14,1003,5000000,20250329,0,0,20290101,Refund deposit,Refund deposit,Refund deposit,คืนเงินมัดจำ,2,,,,,1,,3,,,<392;398>,,,,,,,15,,,
80190,1,0,14,1003,5000000,20250329,0,0,20290101,Refund deposit,Refund deposit,Refund deposit,คืนเงินมัดจำ,2,,,,,1,,3,,,<399;405>,,,,,,,15,,,
80191,1,0,14,1003,5000000,20250329,0,0,20290101,Refund deposit,Refund deposit,Refund deposit,คืนเงินมัดจำ,2,,,,,1,,3,,,<406;412>,,,,,,,15,,,
80192,1,0,14,1003,5000000,20250329,0,0,20290101,Refund deposit,Refund deposit,Refund deposit,คืนเงินมัดจำ,2,,,,,1,,3,,,<413;419>,,,,,,,15,,,
80193,1,1,15,12002,5000000,20250329,0,0,20290101,Server Opening Festival,Server Opening Festival,Server Opening Festival,เทศกาลเปิดเซิร์ฟเวอร์,,_BAOHONG_,,city/main/icon_kfjnh.png,,1,{itemId=20771},3,,,<0;29>,{type=kaifu},{type=kaifu},1,,,,22,<20160101;20990101>,,
80194,1,1,33,510001,5000000,20250329,0,0,20290101,Server Opening Package,Server Opening Package,Server Opening Package,แพ็คเกจเปิดเซิร์ฟเวอร์,1,_BAOHONG_,,,,1,,3,,,<0;7>,,,1,,,1,1,<20160101;20990101>,,
80195,1,1,16,1001,5000000,20250329,0,0,20290101,Combat Power Ranking,Combat Power Ranking,Combat Power Ranking,การจัดอันดับพลังการต่อสู้,,_BAOHONG_,,city/main/icon_zlph.png,,1,{card=3221},3,,,<0;7>,,,1,,,,15,<20160101;20990101>,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80196,1,1,58,1002,264,20250331,0,0,20250411,N.Bao Refund,N.Bao Refund,Hoàn trả N.Bảo,N.Bao Refund,,_BAOHONG,,city/main/icon_zzfz.png,,1,{type=rmb;limit=20000;returnDays=1},0,0,,,,,1,Diamond Spending Rebate  ,คืนเพชรที่ใช้ไป  ,0,1,,,
80197,1,1,58,1003,264,20250331,0,0,20250411,Coin Refund,Coin Refund,Hoàn Trả Đồng Xu,Coin Refund,,_BAOHONG,,city/main/icon_zzfj.png,,1,{type=gold;limit=100000000;returnDays=1},0,0,,,,,1,Gold Spending Rebate  ,คืนทองที่ใช้ไป  ,0,1,,,
80198,1,1,40,10257,192,20250331,0,0,20250408,Gashapon Spin,Gashapon Spin,Vòng quay Gashapon,Gashapon Spin,0,_BAOHONG,,activity/lucky_egg/icon_ndjrk.png,,0,{RMB1=80;RMB10=680;RMB1LIMIT=200;RMB10LIMIT=200},0,0,,,{awards=<6321;502;rmb;604>;priviewId=10},{awards=<6321;502;rmb;604>;priviewId=10},1,Gashapon Wheel  ,วงล้อกาชาปอง  ,1,1,,,
80199,1,1,33,24002,192,20250331,0,0,20250408,Discount Shop,Discount Shop,Shop Giảm Giá,Discount Shop,0,_BAOHONG,,city/main/icon_hgxp.png,,0,,0,0,,,{double11=true;type=item},{double11=true;type=item},1,rDesc,rDesc,1,1,,,
80200,1,1,70,1002,192,20250331,0,0,20250408,Custom Package,Custom Package,Gói Tùy Chỉnh,Custom Package,1,_BAOHONG,,city/main/icon_srdz.png,,1,{rarity=4},0,0,,,{showCountTime=true},{showCountTime=true},1,"During the event, you can choose corresponding gifts to purchase!  ",ในช่วงเวลากิจกรรม คุณสามารถเลือกของขวัญที่ต้องการซื้อได้!  ,1,1,,,
80201,1,1,48,1006,192,20250331,0,0,20250408,Lucky Flip,Lucky Flip,Lật may mắn,Lucky Flip,0,"1004 mãnh ss, khung avatar - 1005 không có",,city/main/icon_xylft.png,,1,{free=2},0,0,,,{res=activity/flip_card/icon_qiutian},{res=activity/flip_card/icon_qiutian},1,Lucky Flip  ,พลิกโชคดี  ,0,1,,,
80202,6,1,43,1002,264,20250331,0,0,20250411,Ninja Investment,Ninja Investment,Đầu tư Ninja,Ninja Investment,3,_BAOHONG,,city/main/icon_jltz.png,,0,{buyDay=10;recharge=107},0,0,,,"{titleText=购买投资，每日领取收益;award2={scale = 0.7;res = ""activity/weekly_card/txt_zs.png"";count = 9000};isShowCountDown=true;award1={scale = 1;res = ""activity/weekly_card/txt_wnsp.png"";count = 23};titleRes=activity/weekly_card/txt_jltz.png}","{titleText=购买投资，每日领取收益;award2={scale = 0.7;res = ""activity/weekly_card/txt_zs.png"";count = 9000};isShowCountDown=true;award1={scale = 1;res = ""activity/weekly_card/txt_wnsp.png"";count = 23};titleRes=activity/weekly_card/txt_jltz.png}",4,rDesc,rDesc,1,13,,,
80203,1,0,33,510024,192,20250331,0,0,20250408,Flash Sale Package,Flash Sale Package,Gói Flash Sale,Flash Sale Package,1,_BAOHONG_,,,,1,,4,,,,{isShowCountDown=false},{isShowCountDown=false},1,,,1,10,,,
80204,1,1,14,50100,192,20250331,0,0,20250408,N.Bao Spending Refund,N.Bao Spending Refund,Hoàn trả chi tiêu N.Bảo,N.Bao Spending Refund,3,tiêu 40k,,city/main/icon_thlb.png,,1,,0,0,,,,,0,"During the event, you can earn rewards by completing the corresponding objectives!  ",ในช่วงเวลากิจกรรม คุณสามารถรับรางวัลได้โดยการทำเป้าหมายที่กำหนดให้สำเร็จ!  ,1,14,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80205,1,1,8,,72,20250408,0,0,20250411,Poster Onoki (Tsuchikage),Poster Onoki (Tsuchikage),Poster Onoki (Tsuchikage),Poster Onoki (Tsuchikage),,,,,,,,0,,,,{res=config/poster/img_limithero_10.png},{res=config/poster/img_limithero_10.png},-1,,,,1,,,
80206,6,1,20,1027,72,20250408,0,0,20250411,Time-Limited Ninja,Time-Limited Ninja,Ninja Hạn Giờ,Time-Limited Ninja,,_BAOHONG_,,city/main/icon_xsss.png,,1,{CheckCardCapacity=0;QualifyServerOpenDays=90;Qualify=0;QualifyTime=2430;RMB1=80;RMB10=680},0,,,,{cardId=3181;key=limitTenText1;priviewId=15},{cardId=3181;key=limitTenText1;priviewId=15},2,Limited-time Ninja  ,นินจาจำกัดเวลา  ,1,17,,,
80207,1,1,17,17001,72,20250408,0,0,20250411,Lucky Cat,Lucky Cat,Mèo chiêu tài,Lucky Cat,,_BAOHONG_,,city/main/icon_zcm@.png,,1,{type=rmb},0,,,,,,1,,,,40,,,
80208,1,0,26,1007,72,20250408,0,0,20250411,World BOSS,World BOSS,BOSS Thế giới,World BOSS,1,_BAOHONG,,city/main/icon_wsjboss.png,,1,{freeCount=3},0,,,,,,1,rDesc,rDesc,1,1,,,
80209,1,1,33,510034,72,20250408,0,0,20250411,Rose Package,Rose Package,Gói Hoa Hồng,Rose Package,1,_BAOHONG,,,,1,{},0,0,,,{},{},1,"During the event, winning battles in Normal and Hard stages has a chance to drop Valentine’s Roses, which can be opened to receive various resources! May our love last forever!  ",ในช่วงเวลากิจกรรม ชนะการต่อสู้ในด่านปกติและด่านยากมีโอกาสดรอปดอกกุหลาบวาเลนไทน์ ซึ่งสามารถเปิดเพื่อรับทรัพยากรต่าง ๆ ได้! ขอให้ความรักของเราอยู่ตลอดไป!  ,1,15,,,
80210,1,1,-3,0,72,20250408,0,0,20250411,Sweep the Stage and Get Roses,Sweep the Stage and Get Roses,Quét Ải Rơi Hoa Hồng,Sweep the Stage and Get Roses,1,_BAOHONG,,,,1,{extraVersion=3},0,0,,,{},{},-1,"During the event, winning battles in Normal and Hard stages has a chance to drop Valentine’s Roses, which can be opened to receive various resources! May our love last forever!  ",ในช่วงเวลากิจกรรม ชนะการต่อสู้ในด่านปกติและด่านยากมีโอกาสดรอปดอกกุหลาบวาเลนไทน์ ซึ่งสามารถเปิดเพื่อรับทรัพยากรต่าง ๆ ได้! ขอให้ความรักของเราอยู่ตลอดไป!  ,1,2,,,
80211,1,1,8,0,72,20250408,0,0,20250411,Sweep the Stage and Get Roses,Sweep the Stage and Get Roses,Quét Ải Rơi Hoa Hồng,Sweep the Stage and Get Roses,3,_BAOHONG,,,,2,{},0,0,,,{},{},0,"During the event, winning battles in Normal and Hard stages has a chance to drop Valentine’s Roses, which can be opened to receive various resources! May our love last forever!  ",ในช่วงเวลากิจกรรม ชนะการต่อสู้ในด่านปกติและด่านยากมีโอกาสดรอปดอกกุหลาบวาเลนไทน์ ซึ่งสามารถเปิดเพื่อรับทรัพยากรต่าง ๆ ได้! ขอให้ความรักของเราอยู่ตลอดไป!  ,1,2,,,
80212,1,1,14,6900,72,20250408,0,0,20250411,Log in to Get Commissions,Log in to Get Commissions,Đăng nhập nhận Hoa Hồng,Log in to Get Commissions,3,_BAOHONG,,,,0,{},0,0,,,{},{},3,"During the event (log in for 3 days), you can earn rewards by completing the corresponding objectives!  ",ในช่วงเวลากิจกรรม (ล็อกอิน 3 วัน) คุณสามารถรับรางวัลได้โดยการทำเป้าหมายที่กำหนดให้สำเร็จ!  ,1,14,,,
80213,1,1,38,1001,168,20250408,0,0,20250415,Lucky Spin,Lucky Spin,Vòng quay may mắn,Lucky Spin,,_BAOHONG,,city/main/icon_xyzzl.png,,1,{dailyScoreMax=15000;free=0;costScore=100;recharge=1;addScore=1},0,,,,{special=1;awards=<{rmb=1000};{rmb=500};{516=5};{28124=5};{521=5};{28124=10};{23061=5};{23061=10}>},{special=1;awards=<{rmb=1000};{rmb=500};{516=5};{28124=5};{521=5};{28124=10};{23061=5};{23061=10}>},1,,,0,2,,,
80214,1,1,39,8001,168,20250408,0,0,20250415,Seize Treasures,Seize Treasures,Đoạt bảo,Seize Treasures,0,_BAOHONG,,city/main/icon_hydb.png,,1,{dailyTasks=<8001;8002;8003;8004;8005;8006;8007;8008;8009;8010;8011>;maxGainTimes=5},0,,,,{awards=<{rmb=1000};{23061=10};{502=10};{521=5};{452=100};{28124=10};{gold=500000};{500=1};{4000=100};{851=100}>},{awards=<{rmb=1000};{23061=10};{502=10};{521=5};{452=100};{28124=10};{gold=500000};{500=1};{4000=100};{851=100}>},1,rDesc,rDesc,1,1,,,
80215,1,1,14,50100,168,20250408,0,0,20250415,Refund N.Bao Spending,Refund N.Bao Spending,Hoàn trả chi tiêu N.Bảo,Refund N.Bao Spending,3,tiêu 40k,,city/main/icon_thlb.png,,1,,0,0,,,,,0,"During the event, you can earn rewards by completing the corresponding objectives!  ",ในช่วงเวลากิจกรรม คุณสามารถรับรางวัลได้โดยการทำเป้าหมายที่กำหนดให้สำเร็จ!  ,1,14,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80216,1,1,8,0,192,20250415,0,0,20250423,Exciting Festival - Poster,Exciting Festival - Poster,Đại lễ sôi động - Poster,Exciting Festival - Poster,3,Carnival,,city/main/icon_thlb.png,,0,{},0,,,,{panelImg=activity/client_show/imag_xiaojiang@.png;panelImgPos={y = 70;x = 0}},{panelImg=activity/client_show/imag_xiaojiang@.png;panelImgPos={y = 70;x = 0}},0,"During the event period, clearing Normal and Hard stages will grant a chance to drop C.N.V and L (which can be exchanged for rare resources)! Keep it up!",ในช่วงเวลากิจกรรม การผ่านด่านปกติและยากจะมีโอกาสได้รับ C.N.V และ L (ซึ่งสามารถแลกเป็นทรัพยากรหายากได้)! สู้ๆ นะ!,1,2,,,
80217,6,1,15,12006,192,20250415,0,0,20250423,Exciting Festival,Exciting Festival,Đại lễ sôi động ,Exciting Festival,0,Carnival,,city/main/icon_khsd.png,,1,{itemId=6334},0,,,,{type=national},{type=national},1,"During the event, you can earn rewards by completing the corresponding objectives!",ในช่วงเวลากิจกรรม สามารถรับรางวัลได้โดยการทำเป้าหมายที่กำหนดให้สำเร็จ!,1,22,,,
80218,1,1,12,10224,192,20250415,0,0,20250423,Exciting Festival Rewards,Exciting Festival Rewards,Đại lễ sôi động đổi thưởng,Exciting Festival Rewards,3,Carnival,,city/main/icon_thlb.png,,1,{},0,,,,{topBg=activity/banner_activity_zhongqiu.png},{topBg=activity/banner_activity_zhongqiu.png},0,rDesc,rDesc,1,13,,,
80219,1,1,-3,0,192,20250415,0,0,20250423,Exchange Items in Exciting Festival,Exchange Items in Exciting Festival,Rơi vật phẩm đổi đồ trong Đại lễ sôi động,Exchange Items in Exciting Festival,0,Carnival,,city/main/icon_thlb.png,,0,{extraVersion=4},0,,,,{panelImg=activity/client_show/imag_xiaojiang@.png;panelImgPos={y = 70;x = 0}},{panelImg=activity/client_show/imag_xiaojiang@.png;panelImgPos={y = 70;x = 0}},-1,rDesc,rDesc,1,2,,,
80220,6,1,17,17010,120,20250415,0,0,20250420,Push Lucky Coins,Push Lucky Coins,Đẩy Xu May Mắn,Push Lucky Coins,0,_BAOHONG,,city/main/icon_xytb.png,,0,{type=gold},1,,,,{},{},1,"During the event, you can earn rewards by completing the corresponding objectives!",ในช่วงเวลากิจกรรม สามารถรับรางวัลได้โดยการทำเป้าหมายที่กำหนดให้สำเร็จ!,1,40,,,
80221,1,1,38,1001,120,20250415,0,0,20250420,Lucky Spin,Lucky Spin,Vòng quay may mắn,Lucky Spin,,_BAOHONG,,city/main/icon_xyzzl.png,,1,{dailyScoreMax=15000;free=0;costScore=100;recharge=1;addScore=1},0,,,,{special=1;awards=<{rmb=1000};{rmb=500};{516=5};{28122=5};{521=5};{28122=10};{23041=5};{23041=10}>},{special=1;awards=<{rmb=1000};{rmb=500};{516=5};{28122=5};{521=5};{28122=10};{23041=5};{23041=10}>},1,,,0,2,,,
80222,1,1,39,8001,120,20250415,0,0,20250420,Seize Treasures,Seize Treasures,Đoạt bảo,Seize Treasures,0,_BAOHONG,,city/main/icon_hydb.png,,1,{dailyTasks=<8001;8002;8003;8004;8005;8006;8007;8008;8009;8010;8011>;maxGainTimes=5},0,,,,{awards=<{rmb=1000};{23041=10};{502=10};{521=5};{452=100};{28122=10};{gold=500000};{500=1};{4000=100};{851=100}>},{awards=<{rmb=1000};{23041=10};{502=10};{521=5};{452=100};{28122=10};{gold=500000};{500=1};{4000=100};{851=100}>},1,rDesc,rDesc,1,1,,,
80223,1,1,14,50100,120,20250415,0,0,20250420,Refund N.Bao Spending,Refund N.Bao Spending,Hoàn trả chi tiêu N.Bảo,Refund N.Bao Spending,3,tiêu 40k,,city/main/icon_thlb.png,,1,,0,0,,,,,0,"During the event, you can earn rewards by completing the corresponding objectives!",ในช่วงเวลากิจกรรม คุณสามารถรับรางวัลได้โดยการทำตามเป้าหมายที่กำหนดไว้!,1,14,,,
80224,1,1,14,50101,120,20250415,0,0,20250420,Refund Recharge (new),Refund Recharge (new),Hoàn trả nạp (new),Refund Recharge (new),2,,,,,,,4,,,,,,,,,,15,,,
80225,1,1,28,3004,120,20250415,0,0,20250420,Ingot Recharge Gift,Ingot Recharge Gift,Quà Nạp Nguyên Bảo,Ingot Recharge Gift,,_BAOHONG_,,city/main/icon_czfz.png,,1,,0,,,,,,1,,,,1,,,
80226,1,1,8,,120,20250415,0,0,20250420,Ingot Recharge Gift - Poster,Ingot Recharge Gift - Poster,Quà Nạp Nguyên Bảo - poster,Ingot Recharge Gift - Poster,,_BAOHONG_,,,,,,3,,,,{res=config/poster/img_hb_czfz@.png},{res=config/poster/img_hb_czfz@.png},-1,,,,1,,,
80227,1,1,33,510038,120,20250415,0,0,20250420,Onoki Equipment Package,Onoki Equipment Package,Gói Trang Bị Onoki,Onoki Equipment Package,1,_BAOHONG_,,,,1,,4,,,,{isShowCountDown=false},{isShowCountDown=false},0,,,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80229,1,1,58,1002,264,20250423,0,0,20250429,N.Bao Refund,N.Bao Refund,Hoàn trả N.Bảo,N.Bao Refund,,_BAOHONG,,city/main/icon_zzfz.png,,1,{type=rmb;limit=20000;returnDays=1},0,0,,,,,1,Diamond Refund  ,คืนเพชร  ,0,1,,,
80230,1,1,58,1003,264,20250423,0,0,20250429,Coin Refund,Coin Refund,Hoàn Trả Đồng Xu,Coin Refund,,_BAOHONG,,city/main/icon_zzfj.png,,1,{type=gold;limit=100000000;returnDays=1},0,0,,,,,1,Gold Refund  ,คืนทอง  ,0,1,,,
80231,1,1,40,10257,144,20250423,0,0,20250429,Gashapon Spin,Gashapon Spin,Vòng quay Gashapon,Gashapon Spin,0,_BAOHONG,,activity/lucky_egg/icon_ndjrk.png,,0,{RMB1=80;RMB10=680;RMB1LIMIT=200;RMB10LIMIT=200},0,0,,,{awards=<6321;502;rmb;604>;priviewId=10},{awards=<6321;502;rmb;604>;priviewId=10},1,Gashapon Spin,หมุนกาชาปอง,1,1,,,
80232,1,1,33,24002,144,20250423,0,0,20250429,Discount Shop,Discount Shop,Shop Giảm Giá,Discount Shop,0,_BAOHONG,,city/main/icon_hgxp.png,,0,,0,0,,,{double11=true;type=item},{double11=true;type=item},1,rDesc,rDesc,1,1,,,
80233,1,1,70,1002,144,20250423,0,0,20250429,Custom Package,Custom Package,Gói Tùy Chỉnh,Custom Package,1,_BAOHONG,,city/main/icon_srdz.png,,1,{rarity=4},0,0,,,{showCountTime=true},{showCountTime=true},1,"During the event, you can choose gifts to purchase accordingly!  ",ในช่วงเวลากิจกรรม คุณสามารถเลือกของรางวัลที่ต้องการซื้อได้ตามลำดับ!  ,1,1,,,
80234,1,1,48,1007,144,20250423,0,0,20250429,Lucky Flip,Lucky Flip,Lật may mắn,Lucky Flip,0,,,city/main/icon_xylft.png,,1,{free=2},0,0,,,{res=activity/flip_card/icon_qiutian},{res=activity/flip_card/icon_qiutian},1,Lucky Flip,เปิดไพ่โชคดี,0,1,,,
80235,6,1,43,1002,144,20250423,0,0,20250429,Ninja Investment,Ninja Investment,Đầu tư Ninja,Ninja Investment,3,_BAOHONG,,city/main/icon_jltz.png,,0,{buyDay=10;recharge=107},0,0,,,"{titleText=VDNG;award2={scale = 0.7;res = ""activity/weekly_card/txt_zs.png"";count = 9000};isShowCountDown=true;award1={scale = 1;res = ""activity/weekly_card/txt_wnsp.png"";count = 23};titleRes=activity/weekly_card/txt_jltz.png}","{titleText=VDNG;award2={scale = 0.7;res = ""activity/weekly_card/txt_zs.png"";count = 9000};isShowCountDown=true;award1={scale = 1;res = ""activity/weekly_card/txt_wnsp.png"";count = 23};titleRes=activity/weekly_card/txt_jltz.png}",4,rDesc,rDesc,1,13,,,
80236,1,1,33,510024,144,20250423,0,0,20250429,Flash Sale Package,Flash Sale Package,Gói Flash Sale,Flash Sale Package,1,_BAOHONG_,,,,1,,4,,,,{isShowCountDown=false},{isShowCountDown=false},1,,,1,10,,,
80237,1,1,14,50100,144,20250423,0,0,20250429,Refund N.Bao Spending,Refund N.Bao Spending,Hoàn trả chi tiêu N.Bảo,Refund N.Bao Spending,3,tiêu 40k,,city/main/icon_thlb.png,,1,,0,0,,,,,0,"During the event, you can earn rewards by completing the corresponding objectives!",ในช่วงเวลากิจกรรม คุณสามารถรับรางวัลได้โดยการทำตามเป้าหมายที่กำหนดไว้!,1,14,,,
80238,1,1,14,50101,144,20250423,0,0,20250429,Refund Recharge (new),Refund Recharge (new),Hoàn trả nạp (new),Refund Recharge (new),2,,,,,,,4,,,,,,,,,,15,,,
80239,1,1,8,,72,20250420,0,0,20250423,Poster ninja,Poster ninja,Poster Rút thẻ ninja - Red,Poster ninja,3,,,,,,,0,,,,{res=config/poster/img_limithero_9.png},{res=config/poster/img_limithero_9.png},0,,,,1,,,
80240,1,1,5,,72,20250420,0,0,20250423,Ninja - Red,Ninja - Red,Rút thẻ ninja - Red,Ninja - Red,,,,,,1,{RMB1=260;Qualify=1;RMB10=2480},0,,,,{limitId=12;priviewId=93},{limitId=12;priviewId=93},-1,,,,10,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80241,1,1,8,,72,20250430,0,0,20250503,Poster Mifune (Tsuchikage),Poster Mifune (Tsuchikage),Poster Mifune (Tsuchikage),Poster Mifune (Tsuchikage),,,,,,,,0,,,,{res=config/poster/img_limithero_11.png},{res=config/poster/img_limithero_11.png},-1,,,,1,,,
80242,6,1,20,1028,72,20250430,0,0,20250503,Time-Limited Ninja,Time-Limited Ninja,Ninja Hạn Giờ,Time-Limited Ninja,,_BAOHONG_,,city/main/icon_xsss.png,,1,{CheckCardCapacity=0;QualifyServerOpenDays=90;Qualify=0;QualifyTime=2430;RMB1=80;RMB10=680},0,,,,{cardId=3191;key=limitTenText1;priviewId=15},{cardId=3191;key=limitTenText1;priviewId=15},2,Limited-time Ninja  ,นินจาจำกัดเวลา  ,1,17,,,
80243,1,1,17,17001,72,20250430,0,0,20250503,Lucky Cat,Lucky Cat,Mèo chiêu tài,Lucky Cat,,_BAOHONG_,,city/main/icon_zcm@.png,,1,{type=rmb},0,,,,,,1,,,,40,,,
