VariableName,huodongID,daySum,themeType,themeName,themeName_en,themeName_th,themeName_in,themeName_ph,themeName_ma,themeName_vn,tabIndex,tabName,tabName_vn,tabName_en,tabName_th,tabName_in,tabName_ph,tabName_ma,countType,taskType,taskParam,taskSpecialParam,desc,desc_tw,desc_vn,desc_en,desc_th,desc_in,desc_ph,desc_ma,award,costMap,priceShow,buyMax
11302,12002,14,13,Day 14,Day 14,วันที่ 14,Hari ke-14,Araw 14,Hari 14,Ngày 14,1,购买体力,Mua năng lượng,Buy Energy,ซื้อพลังงาน,Beli Energi,Bumili ng Enerhiya,Beli Tenaga,3,26,4,,当日起购买体力4次,,Mua năng lượng 4 lần từ hôm nay trở đi,Buy Energy 4 times starting today  ,ซื้อพลังงาน 4 ครั้งตั้งแต่วันนี้  ,Beli Energi 4 kali mulai hari ini  ,Bumili ng Enerhiya 4 beses simula ngayon  ,Beli Tenaga 4 kali bermula hari ini  ,{515=1;gold=20000;rmb=50;502=1},,,
11303,12002,14,13,Day 14,Day 14,วันที่ 14,Hari ke-14,Araw 14,Hari 14,Ngày 14,1,购买体力,Mua năng lượng,Buy Energy,ซื้อพลังงาน,Beli Energi,Bumili ng Enerhiya,Beli Tenaga,3,26,8,,当日起购买体力8次,,Mua năng lượng 8 lần kể từ hôm nay,Buy Energy 8 times starting today  ,ซื้อพลังงาน 8 ครั้งตั้งแต่วันนี้  ,Beli Energi 8 kali mulai hari ini  ,Bumili ng Enerhiya 8 beses simula ngayon  ,Beli Tenaga 8 kali bermula hari ini  ,{515=1;gold=20000;rmb=60;502=1},,,
11304,12002,14,13,Day 14,Day 14,วันที่ 14,Hari ke-14,Araw 14,Hari 14,Ngày 14,1,购买体力,Mua năng lượng,Buy Energy,ซื้อพลังงาน,Beli Energi,Bumili ng Enerhiya,Beli Tenaga,3,26,12,,当日起购买体力12次,,Mua năng lượng 12 lần từ hôm nay trở đi,Buy Energy 12 times starting today  ,ซื้อพลังงาน 12 ครั้งตั้งแต่วันนี้  ,Beli Energi 12 kali mulai hari ini  ,Bumili ng Enerhiya 12 beses simula ngayon  ,Beli Tenaga 12 kali bermula hari ini  ,{515=1;gold=20000;rmb=70;502=1},,,
11305,12002,14,13,Day 14,Day 14,วันที่ 14,Hari ke-14,Araw 14,Hari 14,Ngày 14,1,购买体力,Mua năng lượng,Buy Energy,ซื้อพลังงาน,Beli Energi,Bumili ng Enerhiya,Beli Tenaga,3,26,20,,当日起购买体力20次,,Mua năng lượng 20 lần từ hôm nay trở đi,Buy Energy 20 times starting today  ,ซื้อพลังงาน 20 ครั้งตั้งแต่วันนี้  ,Beli Energi 20 kali mulai hari ini  ,Bumili ng Enerhiya 20 beses simula ngayon  ,Beli Tenaga 20 kali bermula hari ini  ,{515=2;gold=30000;rmb=80;502=2},,,
11306,12002,14,13,Day 14,Day 14,วันที่ 14,Hari ke-14,Araw 14,Hari 14,Ngày 14,1,购买体力,Mua năng lượng,Buy Energy,ซื้อพลังงาน,Beli Energi,Bumili ng Enerhiya,Beli Tenaga,3,26,30,,当日起购买体力30次,,Mua năng lượng 30 lần kể từ hôm nay,Buy Energy 30 times starting today  ,ซื้อพลังงาน 30 ครั้งตั้งแต่วันนี้  ,Beli Energi 30 kali mulai hari ini  ,Bumili ng Enerhiya 30 beses simula ngayon  ,Beli Tenaga 30 kali bermula hari ini  ,{515=2;gold=30000;rmb=90;502=2},,,
11307,12002,14,13,Day 14,Day 14,วันที่ 14,Hari ke-14,Araw 14,Hari 14,Ngày 14,1,购买体力,Mua năng lượng,Buy Energy,ซื้อพลังงาน,Beli Energi,Bumili ng Enerhiya,Beli Tenaga,3,26,40,,当日起购买体力40次,,Mua năng lượng 40 lần kể từ hôm nay,Buy Energy 40 times starting today  ,ซื้อพลังงาน 40 ครั้งตั้งแต่วันนี้  ,Beli Energi 40 kali mulai hari ini  ,Bumili ng Enerhiya 40 beses simula ngayon  ,Beli Tenaga 40 kali bermula hari ini  ,{515=3;gold=50000;rmb=100;502=3},,,
11308,12002,14,13,Day 14,Day 14,วันที่ 14,Hari ke-14,Araw 14,Hari 14,Ngày 14,1,购买体力,Mua năng lượng,Buy Energy,ซื้อพลังงาน,Beli Energi,Bumili ng Enerhiya,Beli Tenaga,3,26,50,,当日起购买体力50次,,Mua năng lượng 50 lần kể từ hôm nay,Buy Energy 50 times starting today  ,ซื้อพลังงาน 50 ครั้งตั้งแต่วันนี้  ,Beli Energi 50 kali mulai hari ini  ,Bumili ng Enerhiya 50 beses simula ngayon  ,Beli Tenaga 50 kali bermula hari ini  ,{515=3;gold=50000;rmb=200;502=3},,,
11401,12002,15,14,Day 15,Day 15,วันที่ 15,Hari ke-15,Araw 15,Hari 15,Ngày 15,,每日福利,Thưởng hàng ngày,Daily Reward,รางวัลรายวัน,Hadiah Harian,Araw-araw na Gantimpala,Ganjaran Harian,,15,8,,每日登录豪礼,,Đăng nhập hàng ngày,Daily Login  ,เข้าสู่ระบบรายวัน  ,Login Harian  ,Araw-araw na Pag-login  ,Log Masuk Harian  ,{gold=100000;5000=50;rmb=100;521=1},,,
11501,12002,16,15,Day 16,Day 16,วันที่ 16,Hari ke-16,Araw 16,Hari 16,Ngày 16,,每日福利,Thưởng hàng ngày,Daily Reward,รางวัลรายวัน,Hadiah Harian,Araw-araw na Gantimpala,Ganjaran Harian,,15,9,,每日登录豪礼,,Đăng nhập hàng ngày,Daily Login  ,เข้าสู่ระบบรายวัน  ,Login Harian  ,Araw-araw na Pag-login  ,Log Masuk Harian  ,{gold=100000;521=1;950=5;rmb=100},,,
11601,12002,17,16,Day 17,Day 17,วันที่ 17,Hari ke-17,Araw 17,Hari 17,Ngày 17,,每日福利,Thưởng hàng ngày,Daily Reward,รางวัลรายวัน,Hadiah Harian,Araw-araw na Gantimpala,Ganjaran Harian,,15,10,,每日登录豪礼,,Đăng nhập hàng ngày,Daily Login  ,เข้าสู่ระบบรายวัน  ,Login Harian  ,Araw-araw na Pag-login  ,Log Masuk Harian  ,{930=10;521=1;gold=100000;rmb=100},,,
11701,12002,18,17,Day 18,Day 18,วันที่ 18,Hari ke-18,Araw 18,Hari 18,Ngày 18,,每日福利,Thưởng hàng ngày,Daily Reward,รางวัลรายวัน,Hadiah Harian,Araw-araw na Gantimpala,Ganjaran Harian,,15,11,,每日登录豪礼,,Đăng nhập hàng ngày,Daily Login  ,เข้าสู่ระบบรายวัน  ,Login Harian  ,Araw-araw na Pag-login  ,Log Masuk Harian  ,{gold=100000;452=20;rmb=100;521=1},,,
11801,12002,19,18,Day 19,Day 19,วันที่ 19,Hari ke-19,Araw 19,Hari 19,Ngày 19,,每日福利,Thưởng hàng ngày,Daily Reward,รางวัลรายวัน,Hadiah Harian,Araw-araw na Gantimpala,Ganjaran Harian,,15,12,,每日登录豪礼,,Đăng nhập hàng ngày,Daily Login  ,เข้าสู่ระบบรายวัน  ,Login Harian  ,Araw-araw na Pag-login  ,Log Masuk Harian  ,{4000=50;gold=100000;521=1;rmb=100},,,
11901,12002,20,19,Day 20,Day 20,วันที่ 20,Hari ke-20,Araw 20,Hari 20,Ngày 20,,每日福利,Thưởng hàng ngày,Daily Reward,รางวัลรายวัน,Hadiah Harian,Araw-araw na Gantimpala,Ganjaran Harian,,15,13,,每日登录豪礼,,Đăng nhập hàng ngày,Daily Login  ,เข้าสู่ระบบรายวัน  ,Login Harian  ,Araw-araw na Pag-login  ,Log Masuk Harian  ,{519=5;gold=100000;521=1;rmb=100},,,
12001,12002,21,20,Day 21,Day 21,วันที่ 21,Hari ke-21,Araw 21,Hari 21,Ngày 21,,每日福利,Thưởng hàng ngày,Daily Reward,รางวัลรายวัน,Hadiah Harian,Araw-araw na Gantimpala,Ganjaran Harian,,15,14,,每日登录豪礼,,Đăng nhập hàng ngày,Daily Login  ,เข้าสู่ระบบรายวัน  ,Login Harian  ,Araw-araw na Pag-login  ,Log Masuk Harian  ,{14=10;gold=100000;521=1;522=3},,,
12101,12002,22,21,Day 22,Day 22,วันที่ 22,Hari ke-22,Araw 22,Hari 22,Ngày 22,,每日福利,Thưởng hàng ngày,Daily Reward,รางวัลรายวัน,Hadiah Harian,Araw-araw na Gantimpala,Ganjaran Harian,,15,8,,每日登录豪礼,,Đăng nhập hàng ngày,Daily Login  ,เข้าสู่ระบบรายวัน  ,Login Harian  ,Araw-araw na Pag-login  ,Log Masuk Harian  ,{gold=100000;5000=10;rmb=100;521=1},,,
12201,12002,23,22,Day 23,Day 23,วันที่ 23,Hari ke-23,Araw 23,Hari 23,Ngày 23,,每日福利,Thưởng hàng ngày,Daily Reward,รางวัลรายวัน,Hadiah Harian,Araw-araw na Gantimpala,Ganjaran Harian,,15,9,,每日登录豪礼,,Đăng nhập hàng ngày,Daily Login  ,เข้าสู่ระบบรายวัน  ,Login Harian  ,Araw-araw na Pag-login  ,Log Masuk Harian  ,{gold=100000;521=1;950=5;rmb=100},,,
12301,12002,24,23,Day 24,Day 24,วันที่ 24,Hari ke-24,Araw 24,Hari 24,Ngày 24,,每日福利,Thưởng hàng ngày,Daily Reward,รางวัลรายวัน,Hadiah Harian,Araw-araw na Gantimpala,Ganjaran Harian,,15,10,,每日登录豪礼,,Đăng nhập hàng ngày,Daily Login  ,เข้าสู่ระบบรายวัน  ,Login Harian  ,Araw-araw na Pag-login  ,Log Masuk Harian  ,{930=10;521=1;gold=100000;rmb=100},,,
12401,12002,25,24,Day 25,Day 25,วันที่ 25,Hari ke-25,Araw 25,Hari 25,Ngày 25,,每日福利,Thưởng hàng ngày,Daily Reward,รางวัลรายวัน,Hadiah Harian,Araw-araw na Gantimpala,Ganjaran Harian,,15,11,,每日登录豪礼,,Đăng nhập hàng ngày,Daily Login  ,เข้าสู่ระบบรายวัน  ,Login Harian  ,Araw-araw na Pag-login  ,Log Masuk Harian  ,{gold=100000;452=20;rmb=10;521=1},,,
12501,12002,26,25,Day 26,Day 26,วันที่ 26,Hari ke-26,Araw 26,Hari 26,Ngày 26,,每日福利,Thưởng hàng ngày,Daily Reward,รางวัลรายวัน,Hadiah Harian,Araw-araw na Gantimpala,Ganjaran Harian,,15,12,,每日登录豪礼,,Đăng nhập hàng ngày,Daily Login  ,เข้าสู่ระบบรายวัน  ,Login Harian  ,Araw-araw na Pag-login  ,Log Masuk Harian  ,{4000=50;gold=100000;521=1;rmb=100},,,
12601,12002,27,26,Day 27,Day 27,วันที่ 27,Hari ke-27,Araw 27,Hari 27,Ngày 27,,每日福利,Thưởng hàng ngày,Daily Reward,รางวัลรายวัน,Hadiah Harian,Araw-araw na Gantimpala,Ganjaran Harian,,15,13,,每日登录豪礼,,Đăng nhập hàng ngày,Daily Login  ,เข้าสู่ระบบรายวัน  ,Login Harian  ,Araw-araw na Pag-login  ,Log Masuk Harian  ,{519=5;gold=100000;521=1;rmb=100},,,
12701,12002,28,27,Day 28,Day 28,วันที่ 28,Hari ke-28,Araw 28,Hari 28,Ngày 28,,每日福利,Thưởng hàng ngày,Daily Reward,รางวัลรายวัน,Hadiah Harian,Araw-araw na Gantimpala,Ganjaran Harian,,15,14,,每日登录豪礼,,Đăng nhập hàng ngày,Daily Login  ,เข้าสู่ระบบรายวัน  ,Login Harian  ,Araw-araw na Pag-login  ,Log Masuk Harian  ,{14=10;gold=100000;521=1;522=3},,,
20001,12003,1,,Day 1,Day 1,วันที่ 1,Hari ke-1,Araw 1,Hari 1,Ngày 1,,副本挑战,Thử thách phụ bản,Instance Challenge,ท้าทายด่าน,Tantangan Instance,Hamong Instance,Cabaran Penjara Bawah Tanah,,29,50,,普通副本挑战50次,,Thử thách vượt ải cốt truyện 50 lần,Challenge story stage 50 times  ,ท้าทายด่านเนื้อเรื่อง 50 ครั้ง  ,Tantang stage cerita 50 kali  ,Subukan ang story dungeon 50 beses  ,Cabaran dungeon cerita 50 kali  ,{930=10;6331=1;5000=10;rmb=10},,,
20002,12003,1,,Day 1,Day 1,วันที่ 1,Hari ke-1,Araw 1,Hari 1,Ngày 1,,副本挑战,Thử thách phụ bản,Instance Challenge,ท้าทายด่าน,Tantangan Instance,Hamong Instance,Cabaran Penjara Bawah Tanah,,29,100,,普通副本挑战100次,,Thử thách vượt ải cốt truyện 100 lần,Challenge story stage 100 times  ,ท้าทายด่านเนื้อเรื่อง 100 ครั้ง  ,Tantang stage cerita 100 kali  ,Subukan ang story dungeon 100 beses  ,Cabaran dungeon cerita 100 kali  ,{930=10;6331=1;5000=12;rmb=20},,,
20003,12003,1,,Day 1,Day 1,วันที่ 1,Hari ke-1,Araw 1,Hari 1,Ngày 1,,副本挑战,Thử thách phụ bản,Instance Challenge,ท้าทายด่าน,Tantangan Instance,Hamong Instance,Cabaran Penjara Bawah Tanah,,29,200,,普通副本挑战200次,,Thử thách vượt ải cốt truyện 200 lần,Challenge story stage 200 times  ,ท้าทายด่านเนื้อเรื่อง 200 ครั้ง  ,Tantang stage cerita 200 kali  ,Subukan ang story dungeon 200 beses  ,Cabaran dungeon cerita 200 kali  ,{930=10;6331=1;5000=14;rmb=30},,,
20004,12003,1,,Day 1,Day 1,วันที่ 1,Hari ke-1,Araw 1,Hari 1,Ngày 1,,副本挑战,Thử thách phụ bản,Instance Challenge,ท้าทายด่าน,Tantangan Instance,Hamong Instance,Cabaran Penjara Bawah Tanah,,29,300,,普通副本挑战300次,,Thử thách vượt ải cốt truyện 300 lần,Challenge story stage 300 times  ,ท้าทายด่านเนื้อเรื่อง 300 ครั้ง  ,Tantang stage cerita 300 kali  ,Subukan ang story dungeon 300 beses  ,Cabaran dungeon cerita 300 kali  ,{930=15;6331=1;5000=16;rmb=40},,,
20005,12003,1,,Day 1,Day 1,วันที่ 1,Hari ke-1,Araw 1,Hari 1,Ngày 1,,副本挑战,Thử thách phụ bản,Instance Challenge,ท้าทายด่าน,Tantangan Instance,Hamong Instance,Cabaran Penjara Bawah Tanah,,29,450,,普通副本挑战450次,,Thử thách vượt ải cốt truyện 450 lần,Challenge story stage 450 times  ,ท้าทายด่านเนื้อเรื่อง 450 ครั้ง  ,Tantang stage cerita 450 kali  ,Subukan ang story dungeon 450 beses  ,Cabaran dungeon cerita 450 kali  ,{930=20;6331=1;5000=18;rmb=50},,,
20006,12003,1,,Day 1,Day 1,วันที่ 1,Hari ke-1,Araw 1,Hari 1,Ngày 1,,副本挑战,Thử thách phụ bản,Instance Challenge,ท้าทายด่าน,Tantangan Instance,Hamong Instance,Cabaran Penjara Bawah Tanah,,29,600,,普通副本挑战600次,,Thử thách vượt ải cốt truyện 600 lần,Challenge story stage 600 times  ,ท้าทายด่านเนื้อเรื่อง 600 ครั้ง  ,Tantang stage cerita 600 kali  ,Subukan ang story dungeon 600 beses  ,Cabaran dungeon cerita 600 kali  ,{930=30;6331=1;5000=20;rmb=60},,,
20007,12003,1,,Day 1,Day 1,วันที่ 1,Hari ke-1,Araw 1,Hari 1,Ngày 1,,副本挑战,Thử thách phụ bản,Instance Challenge,ท้าทายด่าน,Tantangan Instance,Hamong Instance,Cabaran Penjara Bawah Tanah,,29,750,,普通副本挑战750次,,Thử thách vượt ải cốt truyện 750 lần,Challenge story stage 750 times  ,ท้าทายด่านเนื้อเรื่อง 750 ครั้ง  ,Tantang stage cerita 750 kali  ,Subukan ang story dungeon 750 beses  ,Cabaran dungeon cerita 750 kali  ,{930=40;6331=1;5000=30;rmb=90},,,
20008,12003,1,,Day 1,Day 1,วันที่ 1,Hari ke-1,Araw 1,Hari 1,Ngày 1,,副本挑战,Thử thách phụ bản,Instance Challenge,ท้าทายด่าน,Tantangan Instance,Hamong Instance,Cabaran Penjara Bawah Tanah,,29,900,,普通副本挑战900次,,Thử thách vượt ải cốt truyện 900 lần,Challenge story stage 900 times  ,ท้าทายด่านเนื้อเรื่อง 900 ครั้ง  ,Tantang stage cerita 900 kali  ,Subukan ang story dungeon 900 beses  ,Cabaran dungeon cerita 900 kali  ,{930=50;6331=1;5000=50;rmb=120},,,
20009,12003,1,,Day 1,Day 1,วันที่ 1,Hari ke-1,Araw 1,Hari 1,Ngày 1,1,困难挑战,Giai đoạn ưu tú,Elite Stage,ด่านขั้นสูง,Tahap Elit,Elite Stage,Peringkat Elit,,30,20,,困难副本挑战20次,,Thử thách vượt ải Khó 20 lần,Challenge Hard stage 20 times  ,ท้าทายด่านยาก 20 ครั้ง  ,Tantang stage Sulit 20 kali  ,Subukan ang Hard dungeon 20 beses  ,Cabaran dungeon Sukar 20 kali  ,{6331=1;602=2;100=1;503=1},,,
20010,12003,1,,Day 1,Day 1,วันที่ 1,Hari ke-1,Araw 1,Hari 1,Ngày 1,1,困难挑战,Giai đoạn ưu tú,Elite Stage,ด่านขั้นสูง,Tahap Elit,Elite Stage,Peringkat Elit,,30,40,,困难副本挑战40次,,Thử thách vượt ải Khó 40 lần,Challenge Hard stage 40 times  ,ท้าทายด่านยาก 40 ครั้ง  ,Tantang stage Sulit 40 kali  ,Subukan ang Hard dungeon 40 beses  ,Cabaran dungeon Sukar 40 kali  ,{6331=1;602=2;100=2;503=2},,,
20011,12003,1,,Day 1,Day 1,วันที่ 1,Hari ke-1,Araw 1,Hari 1,Ngày 1,1,困难挑战,Giai đoạn ưu tú,Elite Stage,ด่านขั้นสูง,Tahap Elit,Elite Stage,Peringkat Elit,,30,60,,困难副本挑战60次,,Thử thách vượt ải Khó 60 lần,Challenge Hard stage 60 times  ,ท้าทายด่านยาก 60 ครั้ง  ,Tantang stage Sulit 60 kali  ,Subukan ang Hard dungeon 60 beses  ,Cabaran dungeon Sukar 60 kali  ,{6331=1;602=3;100=3;503=2},,,
20012,12003,1,,Day 1,Day 1,วันที่ 1,Hari ke-1,Araw 1,Hari 1,Ngày 1,1,困难挑战,Giai đoạn ưu tú,Elite Stage,ด่านขั้นสูง,Tahap Elit,Elite Stage,Peringkat Elit,,30,90,,困难副本挑战90次,,Thử thách vượt ải Khó 90 lần,Challenge Hard stage 90 times  ,ท้าทายด่านยาก 90 ครั้ง  ,Tantang stage Sulit 90 kali  ,Subukan ang Hard dungeon 90 beses  ,Cabaran dungeon Sukar 90 kali  ,{6331=1;602=3;100=4;503=3},,,
20013,12003,1,,Day 1,Day 1,วันที่ 1,Hari ke-1,Araw 1,Hari 1,Ngày 1,1,困难挑战,Giai đoạn ưu tú,Elite Stage,ด่านขั้นสูง,Tahap Elit,Elite Stage,Peringkat Elit,,30,120,,困难副本挑战120次,,Thử thách vượt ải Khó 120 lần,Challenge Hard stage 120 times  ,ท้าทายด่านยาก 120 ครั้ง  ,Tantang stage Sulit 120 kali  ,Subukan ang Hard dungeon 120 beses  ,Cabaran dungeon Sukar 120 kali  ,{6331=1;602=4;100=5;503=3},,,
20014,12003,1,,Day 1,Day 1,วันที่ 1,Hari ke-1,Araw 1,Hari 1,Ngày 1,1,困难挑战,Giai đoạn ưu tú,Elite Stage,ด่านขั้นสูง,Tahap Elit,Elite Stage,Peringkat Elit,,30,150,,困难副本挑战150次,,Thử thách vượt ải Khó 150 lần,Challenge Hard stage 150 times  ,ท้าทายด่านยาก 150 ครั้ง  ,Tantang stage Sulit 150 kali  ,Subukan ang Hard dungeon 150 beses  ,Cabaran dungeon Sukar 150 kali  ,{6331=1;602=5;100=6;503=4},,,
20015,12003,1,,Day 1,Day 1,วันที่ 1,Hari ke-1,Araw 1,Hari 1,Ngày 1,1,困难挑战,Giai đoạn ưu tú,Elite Stage,ด่านขั้นสูง,Tahap Elit,Elite Stage,Peringkat Elit,,30,200,,困难副本挑战200次,,Thử thách vượt ải Khó 200 lần,Challenge Hard stage 200 times  ,ท้าทายด่านยาก 200 ครั้ง  ,Tantang stage Sulit 200 kali  ,Subukan ang Hard dungeon 200 beses  ,Cabaran dungeon Sukar 200 kali  ,{6331=1;602=6;100=7;503=5},,,
20101,12003,2,1,Day 2,Day 2,วันที่ 2,Hari ke-2,Araw 2,Hari 2,Ngày 2,,派遣任务,Nhiệm vụ điều phái,Dispatch Mission,ภารกิจส่งตัว,Misi Penugasan,Misyon ng Pagtatalaga,Misi Tugasan,3,85,5,,当日起完成派遣任务5次,,Hoàn thành nhiệm vụ điều phái 5 lần kể từ hôm nay,Complete Dispatch Missions 5 times starting today  ,ทำภารกิจส่ง 5 ครั้งตั้งแต่วันนี้  ,Selesaikan misi pengiriman 5 kali mulai hari ini  ,Kumpletuhin ang Dispatch Mission 5 beses simula ngayon  ,Selesaikan Misi Penghantaran 5 kali bermula hari ini  ,{6331=1;2101=10;gold=10000},,,
20102,12003,2,1,Day 2,Day 2,วันที่ 2,Hari ke-2,Araw 2,Hari 2,Ngày 2,,派遣任务,Nhiệm vụ điều phái,Dispatch Mission,ภารกิจส่งตัว,Misi Penugasan,Misyon ng Pagtatalaga,Misi Tugasan,3,85,10,,当日起完成派遣任务10次,,Hoàn thành nhiệm vụ điều phái 10 lần kể từ hôm nay,Complete Dispatch Missions 10 times starting today  ,ทำภารกิจส่ง 10 ครั้งตั้งแต่วันนี้  ,Selesaikan misi pengiriman 10 kali mulai hari ini  ,Kumpletuhin ang Dispatch Mission 10 beses simula ngayon  ,Selesaikan Misi Penghantaran 10 kali bermula hari ini  ,{6331=1;2101=10;gold=20000},,,
20103,12003,2,1,Day 2,Day 2,วันที่ 2,Hari ke-2,Araw 2,Hari 2,Ngày 2,,派遣任务,Nhiệm vụ điều phái,Dispatch Mission,ภารกิจส่งตัว,Misi Penugasan,Misyon ng Pagtatalaga,Misi Tugasan,3,85,20,,当日起完成派遣任务20次,,Hoàn thành nhiệm vụ điều phái 20 lần kể từ hôm nay,Complete Dispatch Missions 20 times starting today  ,ทำภารกิจส่ง 20 ครั้งตั้งแต่วันนี้  ,Selesaikan misi pengiriman 20 kali mulai hari ini  ,Kumpletuhin ang Dispatch Mission 20 beses simula ngayon  ,Selesaikan Misi Penghantaran 20 kali bermula hari ini  ,{6331=1;2101=10;gold=30000},,,
20104,12003,2,1,Day 2,Day 2,วันที่ 2,Hari ke-2,Araw 2,Hari 2,Ngày 2,,派遣任务,Nhiệm vụ điều phái,Dispatch Mission,ภารกิจส่งตัว,Misi Penugasan,Misyon ng Pagtatalaga,Misi Tugasan,3,85,30,,当日起完成派遣任务30次,,Hoàn thành nhiệm vụ điều phái 30 lần kể từ hôm nay,Complete Dispatch Missions 30 times starting today  ,ทำภารกิจส่ง 30 ครั้งตั้งแต่วันนี้  ,Selesaikan misi pengiriman 30 kali mulai hari ini  ,Kumpletuhin ang Dispatch Mission 30 beses simula ngayon  ,Selesaikan Misi Penghantaran 30 kali bermula hari ini  ,{6331=1;2102=10;gold=40000},,,
20105,12003,2,1,Day 2,Day 2,วันที่ 2,Hari ke-2,Araw 2,Hari 2,Ngày 2,,派遣任务,Nhiệm vụ điều phái,Dispatch Mission,ภารกิจส่งตัว,Misi Penugasan,Misyon ng Pagtatalaga,Misi Tugasan,3,85,40,,当日起完成派遣任务40次,,Hoàn thành nhiệm vụ điều phái 40 lần kể từ hôm nay,Complete Dispatch Missions 40 times starting today  ,ทำภารกิจส่ง 40 ครั้งตั้งแต่วันนี้  ,Selesaikan misi pengiriman 40 kali mulai hari ini  ,Kumpletuhin ang Dispatch Mission 40 beses simula ngayon  ,Selesaikan Misi Penghantaran 40 kali bermula hari ini  ,{6331=1;2102=10;gold=50000},,,
20106,12003,2,1,Day 2,Day 2,วันที่ 2,Hari ke-2,Araw 2,Hari 2,Ngày 2,,派遣任务,Nhiệm vụ điều phái,Dispatch Mission,ภารกิจส่งตัว,Misi Penugasan,Misyon ng Pagtatalaga,Misi Tugasan,3,85,50,,当日起完成派遣任务50次,,Hoàn thành nhiệm vụ điều phái 50 lần kể từ hôm nay,Complete Dispatch Missions 50 times starting today  ,ทำภารกิจส่ง 50 ครั้งตั้งแต่วันนี้  ,Selesaikan misi pengiriman 50 kali mulai hari ini  ,Kumpletuhin ang Dispatch Mission 50 beses simula ngayon  ,Selesaikan Misi Penghantaran 50 kali bermula hari ini  ,{6331=1;2103=6;gold=60000},,,
20107,12003,2,1,Day 2,Day 2,วันที่ 2,Hari ke-2,Araw 2,Hari 2,Ngày 2,,派遣任务,Nhiệm vụ điều phái,Dispatch Mission,ภารกิจส่งตัว,Misi Penugasan,Misyon ng Pagtatalaga,Misi Tugasan,3,85,60,,当日起完成派遣任务60次,,Hoàn thành nhiệm vụ điều phái 60 lần kể từ hôm nay,Complete Dispatch Missions 60 times starting today  ,ทำภารกิจส่ง 60 ครั้งตั้งแต่วันนี้  ,Selesaikan misi pengiriman 60 kali mulai hari ini  ,Kumpletuhin ang Dispatch Mission 60 beses simula ngayon  ,Selesaikan Misi Penghantaran 60 kali bermula hari ini  ,{6331=1;2103=6;gold=70000},,,
20108,12003,2,1,Day 2,Day 2,วันที่ 2,Hari ke-2,Araw 2,Hari 2,Ngày 2,1,忍者突破,Nâng cấp Hero,Hero Upgrade,อัปเกรดนินจา,Upgrade Hero,Pag-upgrade ng Hero,Naik Taraf Hero,3,35,2,,当日起忍者突破2次,,Đột phá Hero của bạn 2 lần kể từ hôm nay,Breakthrough your Hero 2 times starting today  ,ฝ่าแดนให้ Hero ของคุณ 2 ครั้งตั้งแต่วันนี้  ,Breakthrough Hero kamu 2 kali mulai hari ini  ,Mag-breakthrough sa Hero mo 2 beses simula ngayon  ,Lakukan penembusan Hero anda 2 kali bermula hari ini  ,{850=20;6331=1;gold=20000},,,
20109,12003,2,1,Day 2,Day 2,วันที่ 2,Hari ke-2,Araw 2,Hari 2,Ngày 2,1,忍者突破,Nâng cấp Hero,Hero Upgrade,อัปเกรดนินจา,Upgrade Hero,Pag-upgrade ng Hero,Naik Taraf Hero,3,35,4,,当日起忍者突破4次,,Đột phá Hero của bạn 4 lần kể từ hôm nay,Breakthrough your Hero 4 times starting today  ,ฝ่าแดนให้ Hero ของคุณ 4 ครั้งตั้งแต่วันนี้  ,Breakthrough Hero kamu 4 kali mulai hari ini  ,Mag-breakthrough sa Hero mo 4 beses simula ngayon  ,Lakukan penembusan Hero anda 4 kali bermula hari ini  ,{850=30;6331=1;gold=40000},,,
20110,12003,2,1,Day 2,Day 2,วันที่ 2,Hari ke-2,Araw 2,Hari 2,Ngày 2,1,忍者突破,Nâng cấp Hero,Hero Upgrade,อัปเกรดนินจา,Upgrade Hero,Pag-upgrade ng Hero,Naik Taraf Hero,3,35,6,,当日起忍者突破6次,,Đột phá Hero của bạn 6 lần kể từ hôm nay,Breakthrough your Hero 6 times starting today  ,ฝ่าแดนให้ Hero ของคุณ 6 ครั้งตั้งแต่วันนี้  ,Breakthrough Hero kamu 6 kali mulai hari ini  ,Mag-breakthrough sa Hero mo 6 beses simula ngayon  ,Lakukan penembusan Hero anda 6 kali bermula hari ini  ,{850=40;6331=1;gold=60000},,,
20111,12003,2,1,Day 2,Day 2,วันที่ 2,Hari ke-2,Araw 2,Hari 2,Ngày 2,1,忍者突破,Nâng cấp Hero,Hero Upgrade,อัปเกรดนินจา,Upgrade Hero,Pag-upgrade ng Hero,Naik Taraf Hero,3,35,8,,当日起忍者突破8次,,Đột phá Hero của bạn 8 lần kể từ hôm nay,Breakthrough your Hero 8 times starting today  ,ฝ่าแดนให้ Hero ของคุณ 8 ครั้งตั้งแต่วันนี้  ,Breakthrough Hero kamu 8 kali mulai hari ini  ,Mag-breakthrough sa Hero mo 8 beses simula ngayon  ,Lakukan penembusan Hero anda 8 kali bermula hari ini  ,{850=50;6331=1;gold=80000},,,
